item,category,frequency
doll,toy,1.15e-05
top,toy,0.000372
jack-in-the-box,toy,4.11e-05
toy soldier,toy,1.18e-05
yo-yo,toy,1.41e-05
block,toy,7.59e-05
marbles,toy,1.55e-06
rattle,toy,2.24e-06
stuffed animal,toy,7.99e-06
water pistol,toy,8.3e-06
teddy bear,toy,6.61e-06
rocking horse,toy,4.81e-06
doll house,toy,1.12e-05
ball,toy,0.00011
jacks,toy,2.57e-06
paper dolls,toy,6.12e-06
erector set,toy,1.55e-07
hula hoop,toy,7.32e-07
jump rope,toy,9.3e-06
pogo stick,toy,6.53e-07
clay,toy,1.95e-05
wagon,toy,7.94e-06
kite,toy,3.55e-06
train,toy,9.12e-05
tricycle,toy,6.17e-07
coloring book,toy,3.84e-06
crayons,toy,1.02e-06
truck,toy,4.37e-05
puzzle,toy,9.12e-06
fire engine,toy,5.14e-05
balloon,toy,7.94e-06
skates,toy,1.95e-06
baseball,toy,3.47e-05
drum,toy,1.29e-05
football,toy,0.000129
game,toy,0.000525
swing,toy,2.19e-05
boat,toy,5.13e-05
monopoly,toy,6.92e-06
sled,toy,1.7e-06
seesaw,toy,2.95e-07
stilts,toy,5.62e-07
checkers,toy,1.26e-06
bat,toy,2e-05
car,toy,0.000282
airplane,toy,8.32e-06
bicycle,toy,9.55e-06
tractor,toy,6.03e-06
sandbox,toy,1.05e-06
bike,toy,3.39e-05
bow and arrow,toy,8.05e-06
rope,toy,1.15e-05
dishes,toy,1.35e-05
cards,toy,5.75e-05
mitt,toy,2.14e-06
horse,toy,5.75e-05
gun,toy,9.12e-05
animals,toy,6.92e-05
tennis racket,toy,1.95e-06
books,toy,0.000141
robin,bird,2.14e-05
sparrow,bird,3.02e-06
bluejay,bird,6.31e-08
bluebird,bird,8.13e-07
canary,bird,2.75e-06
blackbird,bird,8.13e-07
dove,bird,4.68e-06
lark,bird,1.38e-06
swallow,bird,7.41e-06
parakeet,bird,3.02e-07
oriole,bird,2.24e-07
mockingbird,bird,9.55e-07
redbird,bird,9.12e-08
wren,bird,1.23e-06
finch,bird,3.55e-06
starling,bird,1.07e-06
cardinal,bird,7.94e-06
eagle,bird,1.35e-05
hummingbird,bird,9.12e-07
seagull,bird,1.05e-06
