premise,conclusion,control,item,category,blankpredicate,item_word,category_word,predicate_id,argument_id,score,conclusion_only,control_score,shuffled_diff,shuffled_diff_sd,params,model
Dolls can be daxed.,All toys can be daxed.,All birds can be daxed.,doll,toy,can be,Dolls,toys,1,1,-12.640165328979492,-101.68580293655396,-12.461531639099121,-0.04462480545043945,1.921155333518982,11812272,albert-base-v1
Dolls can be wiffed.,All toys can be wiffed.,All birds can be wiffed.,doll,toy,can be,Dolls,toys,1,2,-11.539182186126709,-106.36493110656738,-12.345597267150879,0.26312875747680664,1.3485909700393677,11812272,albert-base-v1
Dolls can be blicked.,All toys can be blicked.,All birds can be blicked.,doll,toy,can be,Dolls,toys,1,3,-11.174127101898193,-107.59184837341309,-12.691946983337402,1.4184303283691406,1.9643982648849487,11812272,albert-base-v1
Dolls can be gyred.,All toys can be gyred.,All birds can be gyred.,doll,toy,can be,Dolls,toys,1,4,-11.834561347961426,-98.5951509475708,-11.835521221160889,0.4280180037021637,1.567609429359436,11812272,albert-base-v1
Dolls can be gimbled.,All toys can be gimbled.,All birds can be gimbled.,doll,toy,can be,Dolls,toys,1,5,-11.702287673950195,-113.09384155273438,-12.9194655418396,0.023195743560791016,1.9878604412078857,11812272,albert-base-v1
Dolls are beamish.,All toys are beamish.,All birds are beamish.,doll,toy,are,Dolls,toys,2,1,-10.36693811416626,-72.77926921844482,-12.84883451461792,-1.270601749420166,0.3525361120700836,11812272,albert-base-v1
Dolls are slithy.,All toys are slithy.,All birds are slithy.,doll,toy,are,Dolls,toys,2,2,-10.482812881469727,-79.00749826431274,-11.820110321044922,-0.7284291982650757,0.43784040212631226,11812272,albert-base-v1
Dolls are mimsy.,All toys are mimsy.,All birds are mimsy.,doll,toy,are,Dolls,toys,2,3,-10.022370338439941,-87.38846015930176,-12.577061653137207,-0.02759246900677681,0.6950954794883728,11812272,albert-base-v1
Dolls are vorpal.,All toys are vorpal.,All birds are vorpal.,doll,toy,are,Dolls,toys,2,4,-10.19042682647705,-92.08772706985474,-11.909719467163086,-0.7485859990119934,1.235102653503418,11812272,albert-base-v1
Dolls are frabjous.,All toys are frabjous.,All birds are frabjous.,doll,toy,are,Dolls,toys,2,5,-9.969685554504395,-97.33837604522705,-12.743657112121582,-0.4711637496948242,1.1042300462722778,11812272,albert-base-v1
Dolls have wugs.,All toys have wugs.,All birds have wugs.,doll,toy,have,Dolls,toys,3,1,-10.054378509521484,-85.297682762146,-11.656122207641602,4.750357151031494,1.0429952144622803,11812272,albert-base-v1
Dolls have feps.,All toys have feps.,All birds have feps.,doll,toy,have,Dolls,toys,3,2,-10.494626998901367,-78.028883934021,-11.54172134399414,3.4017510414123535,1.1912484169006348,11812272,albert-base-v1
Dolls have blickets.,All toys have blickets.,All birds have blickets.,doll,toy,have,Dolls,toys,3,3,-9.73537540435791,-101.86761283874512,-11.701010704040527,4.418674945831299,0.9025366902351379,11812272,albert-base-v1
Dolls have jabberwocks.,All toys have jabberwocks.,All birds have jabberwocks.,doll,toy,have,Dolls,toys,3,4,-10.67214822769165,-112.95287704467773,-11.553898811340332,8.196986198425293,3.0283937454223633,11812272,albert-base-v1
Dolls have toves.,All toys have toves.,All birds have toves.,doll,toy,have,Dolls,toys,3,5,-11.18073034286499,-81.15483570098877,-11.86156702041626,4.028449058532715,2.30031681060791,11812272,albert-base-v1
Dolls use a wug.,All toys use a wug.,All birds use a wug.,doll,toy,use a,Dolls,toys,4,1,-9.140639305114746,-96.55090570449829,-11.638531684875488,4.709753036499023,2.66456937789917,11812272,albert-base-v1
Dolls use a fep.,All toys use a fep.,All birds use a fep.,doll,toy,use a,Dolls,toys,4,2,-9.912486553192139,-96.80686569213867,-12.131805419921875,6.574481010437012,2.780933380126953,11812272,albert-base-v1
Dolls use a blicket.,All toys use a blicket.,All birds use a blicket.,doll,toy,use a,Dolls,toys,4,3,-9.811338424682617,-109.01360988616943,-12.21914291381836,4.310349464416504,2.862386465072632,11812272,albert-base-v1
Dolls use a jabberwock.,All toys use a jabberwock.,All birds use a jabberwock.,doll,toy,use a,Dolls,toys,4,4,-9.841784000396729,-113.8695182800293,-12.21593189239502,6.257569789886475,3.393859624862671,11812272,albert-base-v1
Dolls use a tove.,All toys use a tove.,All birds use a tove.,doll,toy,use a,Dolls,toys,4,5,-11.647380352020264,-85.63467311859131,-13.402241706848145,2.819122314453125,2.0234010219573975,11812272,albert-base-v1
Tops can be daxed.,All toys can be daxed.,All birds can be daxed.,top,toy,can be,Tops,toys,1,1,-17.065464973449707,-101.68580293655396,-15.030018329620361,1.0784717798233032,2.6939785480499268,11812272,albert-base-v1
Tops can be wiffed.,All toys can be wiffed.,All birds can be wiffed.,top,toy,can be,Tops,toys,1,2,-15.80424690246582,-106.36493110656738,-15.314958095550537,-0.8394747972488403,0.9332545399665833,11812272,albert-base-v1
Tops can be blicked.,All toys can be blicked.,All birds can be blicked.,top,toy,can be,Tops,toys,1,3,-15.993839263916016,-107.59184837341309,-15.504743099212646,-1.065080165863037,1.1558234691619873,11812272,albert-base-v1
Tops can be gyred.,All toys can be gyred.,All birds can be gyred.,top,toy,can be,Tops,toys,1,4,-17.057268142700195,-98.5951509475708,-14.784383773803711,-0.29893627762794495,1.3585206270217896,11812272,albert-base-v1
