premise,conclusion,control,item,category,blankpredicate,item_word,category_word,predicate_id,argument_id,score,conclusion_only,control_score,shuffled_diff,shuffled_diff_sd,params,model
Dolls can be daxed.,All toys can be daxed.,All birds can be daxed.,doll,toy,can be,Dolls,toys,1,1,-10.7142653465271,-107.22405052185059,-10.932610034942627,0.03195752948522568,1.243217945098877,17845424,albert-large-v1
Dolls can be wiffed.,All toys can be wiffed.,All birds can be wiffed.,doll,toy,can be,Dolls,toys,1,2,-9.588796138763428,-118.99929332733154,-10.855402946472168,2.044247627258301,1.3899478912353516,17845424,albert-large-v1
Dolls can be blicked.,All toys can be blicked.,All birds can be blicked.,doll,toy,can be,Dolls,toys,1,3,-10.028722286224365,-119.57207679748535,-11.454651355743408,0.8039747476577759,2.3186373710632324,17845424,albert-large-v1
Dolls can be gyred.,All toys can be gyred.,All birds can be gyred.,doll,toy,can be,Dolls,toys,1,4,-9.894651412963867,-107.77004146575928,-10.381802558898926,0.9061024785041809,1.1728267669677734,17845424,albert-large-v1
Dolls can be gimbled.,All toys can be gimbled.,All birds can be gimbled.,doll,toy,can be,Dolls,toys,1,5,-10.004703521728516,-116.89250183105469,-11.223977088928223,0.704873263835907,2.267915964126587,17845424,albert-large-v1
Dolls are beamish.,All toys are beamish.,All birds are beamish.,doll,toy,are,Dolls,toys,2,1,-9.689947605133057,-85.6026029586792,-10.682757377624512,0.37585869431495667,0.5374780297279358,17845424,albert-large-v1
Dolls are slithy.,All toys are slithy.,All birds are slithy.,doll,toy,are,Dolls,toys,2,2,-8.950078964233398,-94.61880302429199,-10.331394672393799,1.2949719429016113,1.2452590465545654,17845424,albert-large-v1
Dolls are mimsy.,All toys are mimsy.,All birds are mimsy.,doll,toy,are,Dolls,toys,2,3,-7.072525978088379,-91.31545782089233,-11.30945634841919,2.655580520629883,1.5201213359832764,17845424,albert-large-v1
Dolls are vorpal.,All toys are vorpal.,All birds are vorpal.,doll,toy,are,Dolls,toys,2,4,-9.21267318725586,-90.71521091461182,-12.459521770477295,1.8695369958877563,2.8048181533813477,17845424,albert-large-v1
Dolls are frabjous.,All toys are frabjous.,All birds are frabjous.,doll,toy,are,Dolls,toys,2,5,-8.449862480163574,-98.16763114929199,-11.787310123443604,0.6793678402900696,2.231792449951172,17845424,albert-large-v1
Dolls have wugs.,All toys have wugs.,All birds have wugs.,doll,toy,have,Dolls,toys,3,1,-8.389501094818115,-83.47298336029053,-9.73350191116333,6.914436340332031,2.228184461593628,17845424,albert-large-v1
Dolls have feps.,All toys have feps.,All birds have feps.,doll,toy,have,Dolls,toys,3,2,-8.215662479400635,-85.84240245819092,-9.68912410736084,4.6790995597839355,2.9763927459716797,17845424,albert-large-v1
Dolls have blickets.,All toys have blickets.,All birds have blickets.,doll,toy,have,Dolls,toys,3,3,-8.361221313476562,-101.20903587341309,-9.58539867401123,3.842398166656494,2.172870397567749,17845424,albert-large-v1
Dolls have jabberwocks.,All toys have jabberwocks.,All birds have jabberwocks.,doll,toy,have,Dolls,toys,3,4,-8.83041763305664,-130.63998889923096,-9.55166244506836,5.555056571960449,3.5158581733703613,17845424,albert-large-v1
Dolls have toves.,All toys have toves.,All birds have toves.,doll,toy,have,Dolls,toys,3,5,-8.923858165740967,-101.16023445129395,-9.753103256225586,8.531621932983398,2.5729384422302246,17845424,albert-large-v1
Dolls use a wug.,All toys use a wug.,All birds use a wug.,doll,toy,use a,Dolls,toys,4,1,-8.429715156555176,-106.36908340454102,-9.89905595779419,4.432980537414551,3.2544894218444824,17845424,albert-large-v1
Dolls use a fep.,All toys use a fep.,All birds use a fep.,doll,toy,use a,Dolls,toys,4,2,-7.872970104217529,-102.75391006469727,-9.932593822479248,7.425058841705322,5.1519951820373535,17845424,albert-large-v1
Dolls use a blicket.,All toys use a blicket.,All birds use a blicket.,doll,toy,use a,Dolls,toys,4,3,-8.495448112487793,-120.22423076629639,-10.607914924621582,2.9449260234832764,2.1486752033233643,17845424,albert-large-v1
Dolls use a jabberwock.,All toys use a jabberwock.,All birds use a jabberwock.,doll,toy,use a,Dolls,toys,4,4,-7.9122538566589355,-136.56118965148926,-10.34971809387207,4.957985877990723,2.788649797439575,17845424,albert-large-v1
Dolls use a tove.,All toys use a tove.,All birds use a tove.,doll,toy,use a,Dolls,toys,4,5,-8.273082733154297,-100.53956699371338,-10.142209529876709,4.352963447570801,2.4786088466644287,17845424,albert-large-v1
Tops can be daxed.,All toys can be daxed.,All birds can be daxed.,top,toy,can be,Tops,toys,1,1,-17.035950183868408,-107.22405052185059,-14.413761138916016,-3.117549419403076,1.8164136409759521,17845424,albert-large-v1
Tops can be wiffed.,All toys can be wiffed.,All birds can be wiffed.,top,toy,can be,Tops,toys,1,2,-16.573691368103027,-118.99929332733154,-14.141025066375732,-3.517526626586914,1.3972318172454834,17845424,albert-large-v1
Tops can be blicked.,All toys can be blicked.,All birds can be blicked.,top,toy,can be,Tops,toys,1,3,-15.7613205909729,-119.57207679748535,-13.40939712524414,-2.6929047107696533,1.5081000328063965,17845424,albert-large-v1
Tops can be gyred.,All toys can be gyred.,All birds can be gyred.,top,toy,can be,Tops,toys,1,4,-15.856703758239746,-107.77004146575928,-12.89204454421997,-1.9555572271347046,1.3493221998214722,17845424,albert-large-v1
Tops can be gimbled.,All toys can be gimbled.,All birds can be gimbled.,top,toy,can be,Tops,toys,1,5,-17.094435691833496,-116.89250183105469,-14.230695247650146,-4.745037078857422,1.3229409456253052,17845424,albert-large-v1
Tops are beamish.,All toys are beamish.,All birds are beamish.,top,toy,are,Tops,toys,2,1,-15.48319149017334,-85.6026029586792,-14.317299842834473,-0.9334217309951782,3.023303270339966,17845424,albert-large-v1
Tops are slithy.,All toys are slithy.,All birds are slithy.,top,toy,are,Tops,toys,2,2,-14.94229793548584,-94.61880302429199,-12.625873565673828,-2.214285373687744,2.0678114891052246,17845424,albert-large-v1
Tops are mimsy.,All toys are mimsy.,All birds are mimsy.,top,toy,are,Tops,toys,2,3,-16.73912239074707,-91.31545782089233,-12.452842712402344,-3.650235652923584,2.0871331691741943,17845424,albert-large-v1
Tops are vorpal.,All toys are vorpal.,All birds are vorpal.,top,toy,are,Tops,toys,2,4,-16.27133560180664,-90.71521091461182,-12.575455665588379,-1.3575481176376343,3.3275463581085205,17845424,albert-large-v1
Tops are frabjous.,All toys are frabjous.,All birds are frabjous.,top,toy,are,Tops,toys,2,5,-19.51738691329956,-98.16763114929199,-14.341792106628418,-5.519876956939697,2.1744818687438965,17845424,albert-large-v1
Tops have wugs.,All toys have wugs.,All birds have wugs.,top,toy,have,Tops,toys,3,1,-15.1752347946167,-83.47298336029053,-11.689698219299316,-1.3574351072311401,2.652867317199707,17845424,albert-large-v1
Tops have feps.,All toys have feps.,All birds have feps.,top,toy,have,Tops,toys,3,2,-14.644833087921143,-85.84240245819092,-9.77793025970459,-2.608097553253174,3.1184499263763428,17845424,albert-large-v1
Tops have blickets.,All toys have blickets.,All birds have blickets.,top,toy,have,Tops,toys,3,3,-15.344096660614014,-101.20903587341309,-11.247453689575195,-1.8464107513427734,1.640305757522583,17845424,albert-large-v1
Tops have jabberwocks.,All toys have jabberwocks.,All birds have jabberwocks.,top,toy,have,Tops,toys,3,4,-15.891202926635742,-130.63998889923096,-11.594271659851074,0.55674809217453,2.899336814880371,17845424,albert-large-v1
Tops have toves.,All toys have toves.,All birds have toves.,top,toy,have,Tops,toys,3,5,-13.557262897491455,-101.16023445129395,-10.76896858215332,2.4046120643615723,2.053011655807495,17845424,albert-large-v1
Tops use a wug.,All toys use a wug.,All birds use a wug.,top,toy,use a,Tops,toys,4,1,-16.555055618286133,-106.36908340454102,-13.825962543487549,-1.9548454284667969,1.906071424484253,17845424,albert-large-v1
Tops use a fep.,All toys use a fep.,All birds use a fep.,top,toy,use a,Tops,toys,4,2,-16.006202220916748,-102.75391006469727,-13.299018383026123,-0.5327498316764832,2.900784730911255,17845424,albert-large-v1
Tops use a blicket.,All toys use a blicket.,All birds use a blicket.,top,toy,use a,Tops,toys,4,3,-16.88386106491089,-120.22423076629639,-12.798688888549805,-1.8640400171279907,2.9287874698638916,17845424,albert-large-v1
Tops use a jabberwock.,All toys use a jabberwock.,All birds use a jabberwock.,top,toy,use a,Tops,toys,4,4,-15.387577533721924,-136.56118965148926,-12.384023666381836,-0.3291509747505188,1.9012526273727417,17845424,albert-large-v1
Tops use a tove.,All toys use a tove.,All birds use a tove.,top,toy,use a,Tops,toys,4,5,-16.33229160308838,-100.53956699371338,-12.991705894470215,0.09479093551635742,3.8059229850769043,17845424,albert-large-v1
Jacks-in-the box can be daxed.,All toys can be daxed.,All birds can be daxed.,jack-in-the-box,toy,can be,Jacks-in-the box,toys,1,1,-13.717219829559326,-107.22405052185059,-12.726905822753906,3.2157013416290283,7.094851493835449,17845424,albert-large-v1
Jacks-in-the box can be wiffed.,All toys can be wiffed.,All birds can be wiffed.,jack-in-the-box,toy,can be,Jacks-in-the box,toys,1,2,-12.304304122924805,-118.99929332733154,-12.330102443695068,0.8952690958976746,1.730264663696289,17845424,albert-large-v1
Jacks-in-the box can be blicked.,All toys can be blicked.,All birds can be blicked.,jack-in-the-box,toy,can be,Jacks-in-the box,toys,1,3,-11.594782829284668,-119.57207679748535,-12.484643936157227,0.8908074498176575,1.0214362144470215,17845424,albert-large-v1
Jacks-in-the box can be gyred.,All toys can be gyred.,All birds can be gyred.,jack-in-the-box,toy,can be,Jacks-in-the box,toys,1,4,-13.120172023773193,-107.77004146575928,-12.151522159576416,0.8532586097717285,4.137688159942627,17845424,albert-large-v1
Jacks-in-the box can be gimbled.,All toys can be gimbled.,All birds can be gimbled.,jack-in-the-box,toy,can be,Jacks-in-the box,toys,1,5,-12.36107587814331,-116.89250183105469,-12.762286186218262,-0.4583183228969574,1.0806576013565063,17845424,albert-large-v1
Jacks-in-the box are beamish.,All toys are beamish.,All birds are beamish.,jack-in-the-box,toy,are,Jacks-in-the box,toys,2,1,-11.699120044708252,-85.6026029586792,-11.219407558441162,0.6447164416313171,2.8850739002227783,17845424,albert-large-v1
Jacks-in-the box are slithy.,All toys are slithy.,All birds are slithy.,jack-in-the-box,toy,are,Jacks-in-the box,toys,2,2,-11.772314548492432,-94.61880302429199,-10.996357440948486,0.126063734292984,2.6585586071014404,17845424,albert-large-v1
Jacks-in-the box are mimsy.,All toys are mimsy.,All birds are mimsy.,jack-in-the-box,toy,are,Jacks-in-the box,toys,2,3,-13.131895065307617,-91.31545782089233,-12.735989093780518,0.5113168954849243,3.3076412677764893,17845424,albert-large-v1
Jacks-in-the box are vorpal.,All toys are vorpal.,All birds are vorpal.,jack-in-the-box,toy,are,Jacks-in-the box,toys,2,4,-11.906739234924316,-90.71521091461182,-13.398766994476318,1.44785737991333,3.231189727783203,17845424,albert-large-v1
Jacks-in-the box are frabjous.,All toys are frabjous.,All birds are frabjous.,jack-in-the-box,toy,are,Jacks-in-the box,toys,2,5,-11.981258869171143,-98.16763114929199,-11.324861526489258,-0.4231123924255371,2.271113157272339,17845424,albert-large-v1
Jacks-in-the box have wugs.,All toys have wugs.,All birds have wugs.,jack-in-the-box,toy,have,Jacks-in-the box,toys,3,1,-12.418074131011963,-83.47298336029053,-10.906603813171387,4.283291816711426,2.6443753242492676,17845424,albert-large-v1
Jacks-in-the box have feps.,All toys have feps.,All birds have feps.,jack-in-the-box,toy,have,Jacks-in-the box,toys,3,2,-12.139795303344727,-85.84240245819092,-10.692496299743652,-0.43203288316726685,2.8633382320404053,17845424,albert-large-v1
Jacks-in-the box have blickets.,All toys have blickets.,All birds have blickets.,jack-in-the-box,toy,have,Jacks-in-the box,toys,3,3,-10.585115432739258,-101.20903587341309,-9.49116325378418,3.605051040649414,4.510369777679443,17845424,albert-large-v1
Jacks-in-the box have jabberwocks.,All toys have jabberwocks.,All birds have jabberwocks.,jack-in-the-box,toy,have,Jacks-in-the box,toys,3,4,-11.913917541503906,-130.63998889923096,-10.210951805114746,6.516022682189941,4.911693572998047,17845424,albert-large-v1
Jacks-in-the box have toves.,All toys have toves.,All birds have toves.,jack-in-the-box,toy,have,Jacks-in-the box,toys,3,5,-12.137121200561523,-101.16023445129395,-10.082159042358398,3.6272454261779785,1.8123126029968262,17845424,albert-large-v1
Jacks-in-the box use a wug.,All toys use a wug.,All birds use a wug.,jack-in-the-box,toy,use a,Jacks-in-the box,toys,4,1,-10.109275341033936,-106.36908340454102,-11.173189163208008,2.5185818672180176,2.1272358894348145,17845424,albert-large-v1
Jacks-in-the box use a fep.,All toys use a fep.,All birds use a fep.,jack-in-the-box,toy,use a,Jacks-in-the box,toys,4,2,-10.253111839294434,-102.75391006469727,-11.667040824890137,3.8621697425842285,1.9949054718017578,17845424,albert-large-v1
Jacks-in-the box use a blicket.,All toys use a blicket.,All birds use a blicket.,jack-in-the-box,toy,use a,Jacks-in-the box,toys,4,3,-10.290396690368652,-120.22423076629639,-11.008256912231445,1.891100525856018,1.582651972770691,17845424,albert-large-v1
Jacks-in-the box use a jabberwock.,All toys use a jabberwock.,All birds use a jabberwock.,jack-in-the-box,toy,use a,Jacks-in-the box,toys,4,4,-10.789631366729736,-136.56118965148926,-10.882926940917969,4.943553447723389,6.680433750152588,17845424,albert-large-v1
Jacks-in-the box use a tove.,All toys use a tove.,All birds use a tove.,jack-in-the-box,toy,use a,Jacks-in-the box,toys,4,5,-12.746492385864258,-100.53956699371338,-11.74734115600586,3.237144947052002,2.0639231204986572,17845424,albert-large-v1
Toy soldiers can be daxed.,All toys can be daxed.,All birds can be daxed.,toy soldier,toy,can be,Toy soldiers,toys,1,1,-16.097312927246094,-107.22405052185059,-13.233067989349365,-0.0026577948592603207,1.3775593042373657,17845424,albert-large-v1
Toy soldiers can be wiffed.,All toys can be wiffed.,All birds can be wiffed.,toy soldier,toy,can be,Toy soldiers,toys,1,2,-17.07221031188965,-118.99929332733154,-13.574368476867676,-1.272639274597168,0.8275590538978577,17845424,albert-large-v1
Toy soldiers can be blicked.,All toys can be blicked.,All birds can be blicked.,toy soldier,toy,can be,Toy soldiers,toys,1,3,-15.775963306427002,-119.57207679748535,-13.084725856781006,-2.7122673988342285,1.5728288888931274,17845424,albert-large-v1
Toy soldiers can be gyred.,All toys can be gyred.,All birds can be gyred.,toy soldier,toy,can be,Toy soldiers,toys,1,4,-16.677910804748535,-107.77004146575928,-13.18132209777832,-1.5249613523483276,1.7078568935394287,17845424,albert-large-v1
Toy soldiers can be gimbled.,All toys can be gimbled.,All birds can be gimbled.,toy soldier,toy,can be,Toy soldiers,toys,1,5,-16.028910160064697,-116.89250183105469,-13.45923900604248,-1.3304544687271118,1.399574875831604,17845424,albert-large-v1
Toy soldiers are beamish.,All toys are beamish.,All birds are beamish.,toy soldier,toy,are,Toy soldiers,toys,2,1,-15.395076751708984,-85.6026029586792,-12.466139793395996,-0.4398164749145508,2.7429323196411133,17845424,albert-large-v1
Toy soldiers are slithy.,All toys are slithy.,All birds are slithy.,toy soldier,toy,are,Toy soldiers,toys,2,2,-15.50072956085205,-94.61880302429199,-12.600407600402832,-0.4182431101799011,1.2517157793045044,17845424,albert-large-v1
Toy soldiers are mimsy.,All toys are mimsy.,All birds are mimsy.,toy soldier,toy,are,Toy soldiers,toys,2,3,-14.694026947021484,-91.31545782089233,-12.732195854187012,2.331387996673584,2.9448184967041016,17845424,albert-large-v1
