premise,conclusion,control,item,category,blankpredicate,item_word,category_word,predicate_id,argument_id,score,conclusion_only,control_score,shuffled_diff,shuffled_diff_sd,params,model
Robins can dax.,All birds can dax.,All vegetables can dax.,robin,bird,can,Robins,birds,1,1,-29.833197593688965,-81.01590156555176,-38.86417007446289,1.8480560779571533,4.311131477355957,59017392,albert-xlarge-v1
Robins can wif.,All birds can wif.,All vegetables can wif.,robin,bird,can,Robins,birds,1,2,-13.021472930908203,-94.63906145095825,-18.66642665863037,-2.806090831756592,0.8038501739501953,59017392,albert-xlarge-v1
Robins can blick.,All birds can blick.,All vegetables can blick.,robin,bird,can,Robins,birds,1,3,-11.231841087341309,-94.02969551086426,-19.45115089416504,-2.1425983905792236,1.699868083000183,59017392,albert-xlarge-v1
Robins can gyre.,All birds can gyre.,All vegetables can gyre.,robin,bird,can,Robins,birds,1,4,-11.01953125,-98.52497577667236,-17.1712589263916,4.12243127822876,2.5150246620178223,59017392,albert-xlarge-v1
Robins can gimble.,All birds can gimble.,All vegetables can gimble.,robin,bird,can,Robins,birds,1,5,-11.187090873718262,-92.40330982208252,-17.267963886260986,-0.8261281847953796,2.0953056812286377,59017392,albert-xlarge-v1
Robins can be daxed.,All birds can be daxed.,All vegetables can be daxed.,robin,bird,can be,Robins,birds,2,1,-12.410762786865234,-145.7886028289795,-25.337430000305176,0.8363836407661438,1.409010887145996,59017392,albert-xlarge-v1
Robins can be wiffed.,All birds can be wiffed.,All vegetables can be wiffed.,robin,bird,can be,Robins,birds,2,2,-12.119532585144043,-157.96424293518066,-15.616275787353516,-1.4798698425292969,2.692218780517578,59017392,albert-xlarge-v1
Robins can be blicked.,All birds can be blicked.,All vegetables can be blicked.,robin,bird,can be,Robins,birds,2,3,-13.26384449005127,-148.60895156860352,-16.019853591918945,-2.0878994464874268,2.1725034713745117,59017392,albert-xlarge-v1
Robins can be gyred.,All birds can be gyred.,All vegetables can be gyred.,robin,bird,can be,Robins,birds,2,4,-13.036371231079102,-156.17283821105957,-22.106032371520996,-3.7537035942077637,1.8355464935302734,59017392,albert-xlarge-v1
Robins can be gimbled.,All birds can be gimbled.,All vegetables can be gimbled.,robin,bird,can be,Robins,birds,2,5,-20.10930061340332,-145.32294273376465,-21.94872808456421,-6.658167839050293,3.604792833328247,59017392,albert-xlarge-v1
Robins are beamish.,All birds are beamish.,All vegetables are beamish.,robin,bird,are,Robins,birds,3,1,-7.221281051635742,-83.88506555557251,-15.152950286865234,-1.2205901145935059,0.8139523863792419,59017392,albert-xlarge-v1
Robins are slithy.,All birds are slithy.,All vegetables are slithy.,robin,bird,are,Robins,birds,3,2,-8.067445755004883,-83.07663202285767,-27.728153228759766,-1.6762663125991821,0.8140928149223328,59017392,albert-xlarge-v1
Robins are mimsy.,All birds are mimsy.,All vegetables are mimsy.,robin,bird,are,Robins,birds,3,3,-11.929762363433838,-102.19867515563965,-16.270760536193848,-4.922695159912109,2.7557010650634766,59017392,albert-xlarge-v1
Robins are vorpal.,All birds are vorpal.,All vegetables are vorpal.,robin,bird,are,Robins,birds,3,4,-13.160851955413818,-98.12353992462158,-20.97362995147705,-4.460331916809082,2.324279308319092,59017392,albert-xlarge-v1
Robins are frabjous.,All birds are frabjous.,All vegetables are frabjous.,robin,bird,are,Robins,birds,3,5,-13.203766345977783,-105.59170961380005,-17.79489517211914,-2.7322750091552734,6.107871055603027,59017392,albert-xlarge-v1
Robins use a wug.,All birds use a wug.,All vegetables use a wug.,robin,bird,use a,Robins,birds,4,1,-16.99013614654541,-116.89282321929932,-23.055777072906494,-1.2091706991195679,3.1492719650268555,59017392,albert-xlarge-v1
Robins use a fep.,All birds use a fep.,All vegetables use a fep.,robin,bird,use a,Robins,birds,4,2,-14.998410701751709,-118.41918849945068,-22.303038597106934,2.3650431632995605,2.9393484592437744,59017392,albert-xlarge-v1
