premise,conclusion,control,item,category,blankpredicate,item_word,category_word,predicate_id,argument_id,score,conclusion_only,control_score,shuffled_diff,shuffled_diff_sd,params,model
Dolls can be daxed.,All toys can be daxed.,All birds can be daxed.,doll,toy,can be,Dolls,toys,1,1,-13.677772521972656,-94.54064416885376,-18.749324798583984,0.7013123631477356,2.0244107246398926,223150256,albert-xxlarge-v1
Dolls can be wiffed.,All toys can be wiffed.,All birds can be wiffed.,doll,toy,can be,Dolls,toys,1,2,-16.007132530212402,-106.81747579574585,-19.529069900512695,-1.4946061372756958,1.1316328048706055,223150256,albert-xxlarge-v1
Dolls can be blicked.,All toys can be blicked.,All birds can be blicked.,doll,toy,can be,Dolls,toys,1,3,-13.268378257751465,-119.01898241043091,-19.334461212158203,-0.26541051268577576,2.1307992935180664,223150256,albert-xxlarge-v1
Dolls can be gyred.,All toys can be gyred.,All birds can be gyred.,doll,toy,can be,Dolls,toys,1,4,-14.04917049407959,-106.13913917541504,-19.186721801757812,-0.6355996131896973,2.0614867210388184,223150256,albert-xxlarge-v1
Dolls can be gimbled.,All toys can be gimbled.,All birds can be gimbled.,doll,toy,can be,Dolls,toys,1,5,-12.457062721252441,-117.41626644134521,-20.789066314697266,3.074463367462158,2.47739839553833,223150256,albert-xxlarge-v1
Dolls are beamish.,All toys are beamish.,All birds are beamish.,doll,toy,are,Dolls,toys,2,1,-16.172813415527344,-80.22226476669312,-18.54203224182129,-3.069981336593628,0.5747739672660828,223150256,albert-xxlarge-v1
Dolls are slithy.,All toys are slithy.,All birds are slithy.,doll,toy,are,Dolls,toys,2,2,-17.37718105316162,-75.6036729812622,-22.464353561401367,-2.4132564067840576,1.9490514993667603,223150256,albert-xxlarge-v1
Dolls are mimsy.,All toys are mimsy.,All birds are mimsy.,doll,toy,are,Dolls,toys,2,3,-15.14848518371582,-88.43209934234619,-22.23970317840576,-1.5097970962524414,2.5092720985412598,223150256,albert-xxlarge-v1
Dolls are vorpal.,All toys are vorpal.,All birds are vorpal.,doll,toy,are,Dolls,toys,2,4,-14.29153060913086,-78.36478805541992,-20.684650421142578,1.9942262172698975,3.1265311241149902,223150256,albert-xxlarge-v1
Dolls are frabjous.,All toys are frabjous.,All birds are frabjous.,doll,toy,are,Dolls,toys,2,5,-16.663691520690918,-89.58824348449707,-23.30370330810547,0.0838439017534256,2.891105890274048,223150256,albert-xxlarge-v1
Dolls have wugs.,All toys have wugs.,All birds have wugs.,doll,toy,have,Dolls,toys,3,1,-14.940852165222168,-89.68046569824219,-20.695880889892578,1.6799415349960327,2.2823290824890137,223150256,albert-xxlarge-v1
Dolls have feps.,All toys have feps.,All birds have feps.,doll,toy,have,Dolls,toys,3,2,-14.496194839477539,-76.72327089309692,-15.591791152954102,0.9788963198661804,2.0395021438598633,223150256,albert-xxlarge-v1
Dolls have blickets.,All toys have blickets.,All birds have blickets.,doll,toy,have,Dolls,toys,3,3,-12.70234489440918,-85.03313541412354,-18.72519874572754,1.842977523803711,2.283872604370117,223150256,albert-xxlarge-v1
Dolls have jabberwocks.,All toys have jabberwocks.,All birds have jabberwocks.,doll,toy,have,Dolls,toys,3,4,-17.209373474121094,-127.14048147201538,-22.034343719482422,7.416690826416016,2.764502763748169,223150256,albert-xxlarge-v1
