premise,conclusion,control,item,category,blankpredicate,item_word,category_word,predicate_id,argument_id,score,conclusion_only,control_score,shuffled_diff,shuffled_diff_sd,params,model
Dolls can be daxed.,All toys can be daxed.,All birds can be daxed.,doll,toy,can be,Dolls,toys,1,1,-18.4041428565979,-99.86814403533936,-24.47781229019165,4.13511848449707,2.8918306827545166,110104890,bert-base-uncased
Dolls can be wiffed.,All toys can be wiffed.,All birds can be wiffed.,doll,toy,can be,Dolls,toys,1,2,-5.477166175842285,-106.1878490447998,-12.40654182434082,2.1732072830200195,0.6961017847061157,110104890,bert-base-uncased
Dolls can be blicked.,All toys can be blicked.,All birds can be blicked.,doll,toy,can be,Dolls,toys,1,3,-5.9832353591918945,-112.7055230140686,-13.872404098510742,2.63395619392395,2.6799886226654053,110104890,bert-base-uncased
Dolls can be gyred.,All toys can be gyred.,All birds can be gyred.,doll,toy,can be,Dolls,toys,1,4,-5.888638973236084,-111.2446174621582,-11.366758823394775,2.6792967319488525,2.1173810958862305,110104890,bert-base-uncased
Dolls can be gimbled.,All toys can be gimbled.,All birds can be gimbled.,doll,toy,can be,Dolls,toys,1,5,-5.6839280128479,-101.49129009246826,-12.505779266357422,2.928813934326172,2.537282943725586,110104890,bert-base-uncased
Dolls are beamish.,All toys are beamish.,All birds are beamish.,doll,toy,are,Dolls,toys,2,1,-4.837642192840576,-78.17851305007935,-12.473729133605957,1.1312694549560547,1.1998311281204224,110104890,bert-base-uncased
Dolls are slithy.,All toys are slithy.,All birds are slithy.,doll,toy,are,Dolls,toys,2,2,-6.1593828201293945,-86.33491706848145,-9.812539100646973,5.216634750366211,3.5816490650177,110104890,bert-base-uncased
Dolls are mimsy.,All toys are mimsy.,All birds are mimsy.,doll,toy,are,Dolls,toys,2,3,-6.1128926277160645,-96.61518335342407,-9.005443572998047,3.1465935707092285,4.103185176849365,110104890,bert-base-uncased
Dolls are vorpal.,All toys are vorpal.,All birds are vorpal.,doll,toy,are,Dolls,toys,2,4,-5.156339645385742,-97.05487442016602,-9.567922115325928,4.713742733001709,3.750554323196411,110104890,bert-base-uncased
Dolls are frabjous.,All toys are frabjous.,All birds are frabjous.,doll,toy,are,Dolls,toys,2,5,-6.642581462860107,-114.82349824905396,-11.130095958709717,2.099966526031494,3.779325485229492,110104890,bert-base-uncased
Dolls have wugs.,All toys have wugs.,All birds have wugs.,doll,toy,have,Dolls,toys,3,1,-5.426407337188721,-96.55840158462524,-10.337124824523926,4.086745262145996,1.8829145431518555,110104890,bert-base-uncased
Dolls have feps.,All toys have feps.,All birds have feps.,doll,toy,have,Dolls,toys,3,2,-5.554815769195557,-88.80265665054321,-9.279207706451416,5.180838108062744,3.56784987449646,110104890,bert-base-uncased
Dolls have blickets.,All toys have blickets.,All birds have blickets.,doll,toy,have,Dolls,toys,3,3,-6.394766807556152,-102.4822325706482,-14.474234580993652,3.1013894081115723,2.3773481845855713,110104890,bert-base-uncased
Dolls have jabberwocks.,All toys have jabberwocks.,All birds have jabberwocks.,doll,toy,have,Dolls,toys,3,4,-5.379096984863281,-121.56898593902588,-11.686111450195312,2.7615346908569336,1.0744000673294067,110104890,bert-base-uncased
Dolls have toves.,All toys have toves.,All birds have toves.,doll,toy,have,Dolls,toys,3,5,-21.118602752685547,-92.1322455406189,-28.66764545440674,-0.020773697644472122,2.4283559322357178,110104890,bert-base-uncased
Dolls use a wug.,All toys use a wug.,All birds use a wug.,doll,toy,use a,Dolls,toys,4,1,-6.241950511932373,-103.69493675231934,-10.413602828979492,5.80177116394043,3.2255938053131104,110104890,bert-base-uncased
Dolls use a fep.,All toys use a fep.,All birds use a fep.,doll,toy,use a,Dolls,toys,4,2,-6.217877388000488,-98.23110437393188,-9.966888904571533,9.511247634887695,5.090916633605957,110104890,bert-base-uncased
Dolls use a blicket.,All toys use a blicket.,All birds use a blicket.,doll,toy,use a,Dolls,toys,4,3,-6.2292022705078125,-110.85061120986938,-11.635189056396484,5.311767578125,3.831160545349121,110104890,bert-base-uncased
Dolls use a jabberwock.,All toys use a jabberwock.,All birds use a jabberwock.,doll,toy,use a,Dolls,toys,4,4,-5.672602653503418,-134.95713090896606,-11.10330057144165,6.02004337310791,3.859947919845581,110104890,bert-base-uncased
Dolls use a tove.,All toys use a tove.,All birds use a tove.,doll,toy,use a,Dolls,toys,4,5,-6.622344970703125,-91.8396348953247,-11.78986120223999,4.498381614685059,3.1968703269958496,110104890,bert-base-uncased
Tops can be daxed.,All toys can be daxed.,All birds can be daxed.,top,toy,can be,Tops,toys,1,1,-24.837779998779297,-99.86814403533936,-22.35076665878296,-0.888008713722229,3.7660911083221436,110104890,bert-base-uncased
Tops can be wiffed.,All toys can be wiffed.,All birds can be wiffed.,top,toy,can be,Tops,toys,1,2,-10.735880851745605,-106.1878490447998,-12.776475429534912,2.177947998046875,1.2140440940856934,110104890,bert-base-uncased
Tops can be blicked.,All toys can be blicked.,All birds can be blicked.,top,toy,can be,Tops,toys,1,3,-11.10792350769043,-112.7055230140686,-12.623706817626953,1.8419889211654663,1.2409125566482544,110104890,bert-base-uncased
Tops can be gyred.,All toys can be gyred.,All birds can be gyred.,top,toy,can be,Tops,toys,1,4,-11.385919094085693,-111.2446174621582,-11.475189208984375,0.9774490594863892,1.341430425643921,110104890,bert-base-uncased
Tops can be gimbled.,All toys can be gimbled.,All birds can be gimbled.,top,toy,can be,Tops,toys,1,5,-10.846810817718506,-101.49129009246826,-11.711553573608398,2.346472978591919,0.8921720385551453,110104890,bert-base-uncased
Tops are beamish.,All toys are beamish.,All birds are beamish.,top,toy,are,Tops,toys,2,1,-12.27710485458374,-78.17851305007935,-13.678207874298096,-1.2092952728271484,0.8540676236152649,110104890,bert-base-uncased
Tops are slithy.,All toys are slithy.,All birds are slithy.,top,toy,are,Tops,toys,2,2,-14.756399154663086,-86.33491706848145,-12.38860273361206,-0.9024246335029602,0.9781332015991211,110104890,bert-base-uncased
Tops are mimsy.,All toys are mimsy.,All birds are mimsy.,top,toy,are,Tops,toys,2,3,-11.769508361816406,-96.61518335342407,-9.092976093292236,0.37448185682296753,0.7865543961524963,110104890,bert-base-uncased
Tops are vorpal.,All toys are vorpal.,All birds are vorpal.,top,toy,are,Tops,toys,2,4,-11.851030349731445,-97.05487442016602,-9.954706192016602,0.3870956301689148,0.730871856212616,110104890,bert-base-uncased
Tops are frabjous.,All toys are frabjous.,All birds are frabjous.,top,toy,are,Tops,toys,2,5,-13.433656215667725,-114.82349824905396,-10.835571765899658,-0.5071521997451782,0.7464491128921509,110104890,bert-base-uncased
Tops have wugs.,All toys have wugs.,All birds have wugs.,top,toy,have,Tops,toys,3,1,-10.401855945587158,-96.55840158462524,-9.708376407623291,1.2362558841705322,0.778680145740509,110104890,bert-base-uncased
Tops have feps.,All toys have feps.,All birds have feps.,top,toy,have,Tops,toys,3,2,-10.34053087234497,-88.80265665054321,-7.809073448181152,0.7256452441215515,0.7993112802505493,110104890,bert-base-uncased
Tops have blickets.,All toys have blickets.,All birds have blickets.,top,toy,have,Tops,toys,3,3,-10.846977233886719,-102.4822325706482,-12.226834774017334,-0.32326412200927734,0.5625100135803223,110104890,bert-base-uncased
Tops have jabberwocks.,All toys have jabberwocks.,All birds have jabberwocks.,top,toy,have,Tops,toys,3,4,-8.906388759613037,-121.56898593902588,-9.771308898925781,2.4160516262054443,1.2371861934661865,110104890,bert-base-uncased
Tops have toves.,All toys have toves.,All birds have toves.,top,toy,have,Tops,toys,3,5,-23.82092523574829,-92.1322455406189,-24.073573112487793,-4.115946292877197,2.3712680339813232,110104890,bert-base-uncased
Tops use a wug.,All toys use a wug.,All birds use a wug.,top,toy,use a,Tops,toys,4,1,-11.898149490356445,-103.69493675231934,-9.961921215057373,3.473921298980713,1.181807279586792,110104890,bert-base-uncased
Tops use a fep.,All toys use a fep.,All birds use a fep.,top,toy,use a,Tops,toys,4,2,-11.539419174194336,-98.23110437393188,-10.309564590454102,2.8211281299591064,0.989874005317688,110104890,bert-base-uncased
Tops use a blicket.,All toys use a blicket.,All birds use a blicket.,top,toy,use a,Tops,toys,4,3,-10.91260290145874,-110.85061120986938,-11.380000114440918,3.4928016662597656,1.7344393730163574,110104890,bert-base-uncased
Tops use a jabberwock.,All toys use a jabberwock.,All birds use a jabberwock.,top,toy,use a,Tops,toys,4,4,-10.182682991027832,-134.95713090896606,-8.280716896057129,2.6275827884674072,1.734727144241333,110104890,bert-base-uncased
Tops use a tove.,All toys use a tove.,All birds use a tove.,top,toy,use a,Tops,toys,4,5,-12.842634677886963,-91.8396348953247,-10.096331119537354,2.5077321529388428,1.4955559968948364,110104890,bert-base-uncased
Jacks-in-the box can be daxed.,All toys can be daxed.,All birds can be daxed.,jack-in-the-box,toy,can be,Jacks-in-the box,toys,1,1,-23.43200397491455,-99.86814403533936,-22.568583011627197,0.9712995290756226,4.140981674194336,110104890,bert-base-uncased
Jacks-in-the box can be wiffed.,All toys can be wiffed.,All birds can be wiffed.,jack-in-the-box,toy,can be,Jacks-in-the box,toys,1,2,-8.301195621490479,-106.1878490447998,-11.388922691345215,2.5556814670562744,0.9105724096298218,110104890,bert-base-uncased
