premise,conclusion,control,item,category,blankpredicate,item_word,category_word,predicate_id,argument_id,score,conclusion_only,control_score,shuffled_diff,shuffled_diff_sd,params,model
Dolls can be daxed.,All toys can be daxed.,All birds can be daxed.,doll,toy,can be,Dolls,toys,1,1,-20.53274393081665,-36.921671867370605,-23.810282707214355,1.5309927463531494,1.946783185005188,66985530,distilbert-base-uncased
Dolls can be wiffed.,All toys can be wiffed.,All birds can be wiffed.,doll,toy,can be,Dolls,toys,1,2,-9.624340057373047,-27.89523220062256,-15.060015201568604,2.3079190254211426,1.861862301826477,66985530,distilbert-base-uncased
Dolls can be blicked.,All toys can be blicked.,All birds can be blicked.,doll,toy,can be,Dolls,toys,1,3,-9.605487823486328,-29.199976444244385,-15.169711112976074,3.4797203540802,2.1575217247009277,66985530,distilbert-base-uncased
Dolls can be gyred.,All toys can be gyred.,All birds can be gyred.,doll,toy,can be,Dolls,toys,1,4,-9.938373565673828,-32.85766077041626,-14.409362316131592,3.5930793285369873,2.0664608478546143,66985530,distilbert-base-uncased
Dolls can be gimbled.,All toys can be gimbled.,All birds can be gimbled.,doll,toy,can be,Dolls,toys,1,5,-12.807792663574219,-36.29053974151611,-17.599899291992188,2.759568691253662,1.847319483757019,66985530,distilbert-base-uncased
Dolls are beamish.,All toys are beamish.,All birds are beamish.,doll,toy,are,Dolls,toys,2,1,-7.794274806976318,-28.535285472869873,-11.224413871765137,0.5345364809036255,1.1723887920379639,66985530,distilbert-base-uncased
Dolls are slithy.,All toys are slithy.,All birds are slithy.,doll,toy,are,Dolls,toys,2,2,-8.54722785949707,-34.12889528274536,-10.267686367034912,4.217780113220215,2.7353522777557373,66985530,distilbert-base-uncased
Dolls are mimsy.,All toys are mimsy.,All birds are mimsy.,doll,toy,are,Dolls,toys,2,3,-8.600911617279053,-30.948938846588135,-10.09119987487793,2.3261284828186035,2.328340530395508,66985530,distilbert-base-uncased
Dolls are vorpal.,All toys are vorpal.,All birds are vorpal.,doll,toy,are,Dolls,toys,2,4,-8.865753650665283,-37.552600383758545,-9.983582973480225,5.022583961486816,2.4088222980499268,66985530,distilbert-base-uncased
Dolls are frabjous.,All toys are frabjous.,All birds are frabjous.,doll,toy,are,Dolls,toys,2,5,-9.029370307922363,-48.64252042770386,-10.869720935821533,2.940443754196167,2.3220887184143066,66985530,distilbert-base-uncased
Dolls have wugs.,All toys have wugs.,All birds have wugs.,doll,toy,have,Dolls,toys,3,1,-8.3609619140625,-31.625824451446533,-11.536042213439941,3.3261756896972656,1.0464688539505005,66985530,distilbert-base-uncased
Dolls have feps.,All toys have feps.,All birds have feps.,doll,toy,have,Dolls,toys,3,2,-7.6033549308776855,-35.40937852859497,-11.488542079925537,4.185669898986816,2.062272071838379,66985530,distilbert-base-uncased
Dolls have blickets.,All toys have blickets.,All birds have blickets.,doll,toy,have,Dolls,toys,3,3,-8.429050922393799,-40.284791469573975,-13.483601093292236,2.9954593181610107,1.4487273693084717,66985530,distilbert-base-uncased
Dolls have jabberwocks.,All toys have jabberwocks.,All birds have jabberwocks.,doll,toy,have,Dolls,toys,3,4,-8.429247856140137,-20.608455181121826,-11.602736949920654,1.9764591455459595,0.8566609025001526,66985530,distilbert-base-uncased
Dolls have toves.,All toys have toves.,All birds have toves.,doll,toy,have,Dolls,toys,3,5,-24.403139114379883,-46.168001651763916,-30.265873908996582,-3.979121446609497,2.8152904510498047,66985530,distilbert-base-uncased
Dolls use a wug.,All toys use a wug.,All birds use a wug.,doll,toy,use a,Dolls,toys,4,1,-8.696372985839844,-34.579747676849365,-12.53897762298584,6.388981342315674,3.1048519611358643,66985530,distilbert-base-uncased
Dolls use a fep.,All toys use a fep.,All birds use a fep.,doll,toy,use a,Dolls,toys,4,2,-8.812142372131348,-37.6476788520813,-12.351556777954102,9.275927543640137,3.340189218521118,66985530,distilbert-base-uncased
Dolls use a blicket.,All toys use a blicket.,All birds use a blicket.,doll,toy,use a,Dolls,toys,4,3,-8.903554916381836,-44.44168663024902,-13.48769760131836,5.677931785583496,3.3408753871917725,66985530,distilbert-base-uncased
Dolls use a jabberwock.,All toys use a jabberwock.,All birds use a jabberwock.,doll,toy,use a,Dolls,toys,4,4,-8.399197578430176,-23.34467363357544,-13.16257095336914,4.208669662475586,2.0824761390686035,66985530,distilbert-base-uncased
Dolls use a tove.,All toys use a tove.,All birds use a tove.,doll,toy,use a,Dolls,toys,4,5,-12.168807983398438,-42.93362808227539,-15.389134883880615,5.100157260894775,4.008554458618164,66985530,distilbert-base-uncased
Tops can be daxed.,All toys can be daxed.,All birds can be daxed.,top,toy,can be,Tops,toys,1,1,-27.240116119384766,-36.921671867370605,-25.925411701202393,-0.5994001626968384,2.424109935760498,66985530,distilbert-base-uncased
Tops can be wiffed.,All toys can be wiffed.,All birds can be wiffed.,top,toy,can be,Tops,toys,1,2,-15.029496669769287,-27.89523220062256,-16.704076766967773,0.40750378370285034,1.6807518005371094,66985530,distilbert-base-uncased
Tops can be blicked.,All toys can be blicked.,All birds can be blicked.,top,toy,can be,Tops,toys,1,3,-13.866291999816895,-29.199976444244385,-15.28359317779541,1.5038758516311646,1.2115720510482788,66985530,distilbert-base-uncased
Tops can be gyred.,All toys can be gyred.,All birds can be gyred.,top,toy,can be,Tops,toys,1,4,-14.930907726287842,-32.85766077041626,-15.094064235687256,1.3041446208953857,1.2505024671554565,66985530,distilbert-base-uncased
Tops can be gimbled.,All toys can be gimbled.,All birds can be gimbled.,top,toy,can be,Tops,toys,1,5,-17.17672872543335,-36.29053974151611,-18.480865001678467,2.317918539047241,0.5449236631393433,66985530,distilbert-base-uncased
Tops are beamish.,All toys are beamish.,All birds are beamish.,top,toy,are,Tops,toys,2,1,-15.522804260253906,-28.535285472869873,-14.603461742401123,-0.33484020829200745,0.4922255277633667,66985530,distilbert-base-uncased
Tops are slithy.,All toys are slithy.,All birds are slithy.,top,toy,are,Tops,toys,2,2,-17.34995174407959,-34.12889528274536,-13.822934627532959,0.7891176342964172,0.3313969075679779,66985530,distilbert-base-uncased
Tops are mimsy.,All toys are mimsy.,All birds are mimsy.,top,toy,are,Tops,toys,2,3,-14.47438383102417,-30.948938846588135,-13.39358377456665,1.2134292125701904,0.3394709527492523,66985530,distilbert-base-uncased
Tops are vorpal.,All toys are vorpal.,All birds are vorpal.,top,toy,are,Tops,toys,2,4,-15.657339572906494,-37.552600383758545,-12.841196060180664,2.6355152130126953,0.8934916853904724,66985530,distilbert-base-uncased
Tops are frabjous.,All toys are frabjous.,All birds are frabjous.,top,toy,are,Tops,toys,2,5,-15.535357475280762,-48.64252042770386,-13.322654247283936,1.03281569480896,0.3267079293727875,66985530,distilbert-base-uncased
Tops have wugs.,All toys have wugs.,All birds have wugs.,top,toy,have,Tops,toys,3,1,-13.867900848388672,-31.625824451446533,-12.872734069824219,2.1835787296295166,0.8321519494056702,66985530,distilbert-base-uncased
Tops have feps.,All toys have feps.,All birds have feps.,top,toy,have,Tops,toys,3,2,-12.664211750030518,-35.40937852859497,-12.337173461914062,1.8583190441131592,0.26705071330070496,66985530,distilbert-base-uncased
Tops have blickets.,All toys have blickets.,All birds have blickets.,top,toy,have,Tops,toys,3,3,-13.385307788848877,-40.284791469573975,-14.419964790344238,1.6669933795928955,0.3698420524597168,66985530,distilbert-base-uncased
Tops have jabberwocks.,All toys have jabberwocks.,All birds have jabberwocks.,top,toy,have,Tops,toys,3,4,-12.130033493041992,-20.608455181121826,-11.087203025817871,1.7400314807891846,0.6554893851280212,66985530,distilbert-base-uncased
Tops have toves.,All toys have toves.,All birds have toves.,top,toy,have,Tops,toys,3,5,-28.090882778167725,-46.168001651763916,-28.432501792907715,-2.3475048542022705,2.197361707687378,66985530,distilbert-base-uncased
Tops use a wug.,All toys use a wug.,All birds use a wug.,top,toy,use a,Tops,toys,4,1,-13.574339866638184,-34.579747676849365,-13.86604118347168,6.387267112731934,2.135544776916504,66985530,distilbert-base-uncased
Tops use a fep.,All toys use a fep.,All birds use a fep.,top,toy,use a,Tops,toys,4,2,-14.124148845672607,-37.6476788520813,-14.302528381347656,4.814974784851074,2.7778215408325195,66985530,distilbert-base-uncased
Tops use a blicket.,All toys use a blicket.,All birds use a blicket.,top,toy,use a,Tops,toys,4,3,-13.80411148071289,-44.44168663024902,-14.62852430343628,4.255874156951904,1.2285587787628174,66985530,distilbert-base-uncased
Tops use a jabberwock.,All toys use a jabberwock.,All birds use a jabberwock.,top,toy,use a,Tops,toys,4,4,-11.646942615509033,-23.34467363357544,-13.123074054718018,4.388345241546631,2.1578805446624756,66985530,distilbert-base-uncased
Tops use a tove.,All toys use a tove.,All birds use a tove.,top,toy,use a,Tops,toys,4,5,-17.336434364318848,-42.93362808227539,-16.796557426452637,3.734281063079834,2.324101448059082,66985530,distilbert-base-uncased
Jacks-in-the box can be daxed.,All toys can be daxed.,All birds can be daxed.,jack-in-the-box,toy,can be,Jacks-in-the box,toys,1,1,-23.948099613189697,-36.921671867370605,-24.5453462600708,0.19609984755516052,2.8549575805664062,66985530,distilbert-base-uncased
Jacks-in-the box can be wiffed.,All toys can be wiffed.,All birds can be wiffed.,jack-in-the-box,toy,can be,Jacks-in-the box,toys,1,2,-11.653173446655273,-27.89523220062256,-15.158652782440186,1.7788829803466797,0.9656857848167419,66985530,distilbert-base-uncased
Jacks-in-the box can be blicked.,All toys can be blicked.,All birds can be blicked.,jack-in-the-box,toy,can be,Jacks-in-the box,toys,1,3,-11.35749626159668,-29.199976444244385,-14.23042345046997,1.241823434829712,0.8625806570053101,66985530,distilbert-base-uncased
Jacks-in-the box can be gyred.,All toys can be gyred.,All birds can be gyred.,jack-in-the-box,toy,can be,Jacks-in-the box,toys,1,4,-11.763803482055664,-32.85766077041626,-14.01676321029663,0.9511270523071289,0.9882411956787109,66985530,distilbert-base-uncased
Jacks-in-the box can be gimbled.,All toys can be gimbled.,All birds can be gimbled.,jack-in-the-box,toy,can be,Jacks-in-the box,toys,1,5,-14.919123649597168,-36.29053974151611,-17.41578197479248,1.7087446451187134,1.2478337287902832,66985530,distilbert-base-uncased
Jacks-in-the box are beamish.,All toys are beamish.,All birds are beamish.,jack-in-the-box,toy,are,Jacks-in-the box,toys,2,1,-9.253989696502686,-28.535285472869873,-11.708022594451904,0.5254738926887512,0.4239277243614197,66985530,distilbert-base-uncased
Jacks-in-the box are slithy.,All toys are slithy.,All birds are slithy.,jack-in-the-box,toy,are,Jacks-in-the box,toys,2,2,-11.656553268432617,-34.12889528274536,-10.069112300872803,1.938417673110962,0.8874738216400146,66985530,distilbert-base-uncased
Jacks-in-the box are mimsy.,All toys are mimsy.,All birds are mimsy.,jack-in-the-box,toy,are,Jacks-in-the box,toys,2,3,-9.486054420471191,-30.948938846588135,-11.199931621551514,1.568359136581421,0.6380128860473633,66985530,distilbert-base-uncased
Jacks-in-the box are vorpal.,All toys are vorpal.,All birds are vorpal.,jack-in-the-box,toy,are,Jacks-in-the box,toys,2,4,-9.061208248138428,-37.552600383758545,-9.713040351867676,2.211646556854248,1.2264763116836548,66985530,distilbert-base-uncased
Jacks-in-the box are frabjous.,All toys are frabjous.,All birds are frabjous.,jack-in-the-box,toy,are,Jacks-in-the box,toys,2,5,-10.299777030944824,-48.64252042770386,-11.941754341125488,1.8325351476669312,0.20094895362854004,66985530,distilbert-base-uncased
Jacks-in-the box have wugs.,All toys have wugs.,All birds have wugs.,jack-in-the-box,toy,have,Jacks-in-the box,toys,3,1,-10.480023384094238,-31.625823497772217,-11.977488994598389,2.2478528022766113,0.6221168637275696,66985530,distilbert-base-uncased
Jacks-in-the box have feps.,All toys have feps.,All birds have feps.,jack-in-the-box,toy,have,Jacks-in-the box,toys,3,2,-9.058665752410889,-35.40937852859497,-10.992099285125732,1.6702921390533447,0.9960277080535889,66985530,distilbert-base-uncased
Jacks-in-the box have blickets.,All toys have blickets.,All birds have blickets.,jack-in-the-box,toy,have,Jacks-in-the box,toys,3,3,-10.355559349060059,-40.284791469573975,-13.740139484405518,1.0496954917907715,0.4562084972858429,66985530,distilbert-base-uncased
Jacks-in-the box have jabberwocks.,All toys have jabberwocks.,All birds have jabberwocks.,jack-in-the-box,toy,have,Jacks-in-the box,toys,3,4,-9.380892753601074,-20.608455181121826,-10.593111515045166,2.0805301666259766,0.8191158175468445,66985530,distilbert-base-uncased
Jacks-in-the box have toves.,All toys have toves.,All birds have toves.,jack-in-the-box,toy,have,Jacks-in-the box,toys,3,5,-25.245794773101807,-46.168001651763916,-28.721766471862793,-0.49750423431396484,3.0735654830932617,66985530,distilbert-base-uncased
Jacks-in-the box use a wug.,All toys use a wug.,All birds use a wug.,jack-in-the-box,toy,use a,Jacks-in-the box,toys,4,1,-11.231955528259277,-34.579747676849365,-13.643614292144775,4.744414806365967,1.766349196434021,66985530,distilbert-base-uncased
Jacks-in-the box use a fep.,All toys use a fep.,All birds use a fep.,jack-in-the-box,toy,use a,Jacks-in-the box,toys,4,2,-10.931550979614258,-37.6476788520813,-13.574260234832764,5.061096668243408,1.7892961502075195,66985530,distilbert-base-uncased
Jacks-in-the box use a blicket.,All toys use a blicket.,All birds use a blicket.,jack-in-the-box,toy,use a,Jacks-in-the box,toys,4,3,-11.658782005310059,-44.44168663024902,-14.505468368530273,4.381600856781006,1.3408259153366089,66985530,distilbert-base-uncased
Jacks-in-the box use a jabberwock.,All toys use a jabberwock.,All birds use a jabberwock.,jack-in-the-box,toy,use a,Jacks-in-the box,toys,4,4,-9.921627521514893,-23.34467363357544,-13.207992553710938,4.66152286529541,1.5173169374465942,66985530,distilbert-base-uncased
Jacks-in-the box use a tove.,All toys use a tove.,All birds use a tove.,jack-in-the-box,toy,use a,Jacks-in-the box,toys,4,5,-13.029592037200928,-42.93362808227539,-14.898684024810791,4.115134239196777,1.6781796216964722,66985530,distilbert-base-uncased
Toy soldiers can be daxed.,All toys can be daxed.,All birds can be daxed.,toy soldier,toy,can be,Toy soldiers,toys,1,1,-20.69505739212036,-36.921671867370605,-25.36883020401001,-0.05256366729736328,2.8719699382781982,66985530,distilbert-base-uncased
Toy soldiers can be wiffed.,All toys can be wiffed.,All birds can be wiffed.,toy soldier,toy,can be,Toy soldiers,toys,1,2,-10.261073112487793,-27.895233154296875,-15.645293712615967,0.47815075516700745,1.0903042554855347,66985530,distilbert-base-uncased
Toy soldiers can be blicked.,All toys can be blicked.,All birds can be blicked.,toy soldier,toy,can be,Toy soldiers,toys,1,3,-9.312565326690674,-29.199974536895752,-17.119182109832764,0.49681979417800903,1.2370601892471313,66985530,distilbert-base-uncased
Toy soldiers can be gyred.,All toys can be gyred.,All birds can be gyred.,toy soldier,toy,can be,Toy soldiers,toys,1,4,-9.714979648590088,-32.85766077041626,-16.782963752746582,0.5997109413146973,1.4011430740356445,66985530,distilbert-base-uncased
Toy soldiers can be gimbled.,All toys can be gimbled.,All birds can be gimbled.,toy soldier,toy,can be,Toy soldiers,toys,1,5,-13.185670852661133,-36.29053974151611,-20.011396884918213,0.8982800245285034,1.6432247161865234,66985530,distilbert-base-uncased
Toy soldiers are beamish.,All toys are beamish.,All birds are beamish.,toy soldier,toy,are,Toy soldiers,toys,2,1,-8.172202587127686,-28.53528642654419,-12.749563694000244,0.5315842628479004,0.9748502373695374,66985530,distilbert-base-uncased
Toy soldiers are slithy.,All toys are slithy.,All birds are slithy.,toy soldier,toy,are,Toy soldiers,toys,2,2,-9.410837650299072,-34.12889528274536,-13.633661270141602,1.109017014503479,1.272487759590149,66985530,distilbert-base-uncased
Toy soldiers are mimsy.,All toys are mimsy.,All birds are mimsy.,toy soldier,toy,are,Toy soldiers,toys,2,3,-7.413510799407959,-30.948938846588135,-12.541703701019287,1.5159597396850586,0.5303146839141846,66985530,distilbert-base-uncased
Toy soldiers are vorpal.,All toys are vorpal.,All birds are vorpal.,toy soldier,toy,are,Toy soldiers,toys,2,4,-6.9074811935424805,-37.552600383758545,-13.062624454498291,2.127610683441162,0.9704049229621887,66985530,distilbert-base-uncased
Toy soldiers are frabjous.,All toys are frabjous.,All birds are frabjous.,toy soldier,toy,are,Toy soldiers,toys,2,5,-8.296027183532715,-48.64252042770386,-13.31305456161499,0.8898851275444031,0.283735990524292,66985530,distilbert-base-uncased
Toy soldiers have wugs.,All toys have wugs.,All birds have wugs.,toy soldier,toy,have,Toy soldiers,toys,3,1,-8.551113605499268,-31.625823497772217,-13.371394157409668,2.2475810050964355,0.8683004379272461,66985530,distilbert-base-uncased
Toy soldiers have feps.,All toys have feps.,All birds have feps.,toy soldier,toy,have,Toy soldiers,toys,3,2,-7.78435754776001,-35.40937852859497,-14.376489639282227,1.7260665893554688,0.1757276952266693,66985530,distilbert-base-uncased
Toy soldiers have blickets.,All toys have blickets.,All birds have blickets.,toy soldier,toy,have,Toy soldiers,toys,3,3,-8.547566890716553,-40.284791469573975,-15.248708248138428,0.6334825754165649,0.47905322909355164,66985530,distilbert-base-uncased
Toy soldiers have jabberwocks.,All toys have jabberwocks.,All birds have jabberwocks.,toy soldier,toy,have,Toy soldiers,toys,3,4,-8.941027641296387,-20.608455181121826,-14.142563819885254,1.7520347833633423,0.29128599166870117,66985530,distilbert-base-uncased
Toy soldiers have toves.,All toys have toves.,All birds have toves.,toy soldier,toy,have,Toy soldiers,toys,3,5,-29.67764949798584,-46.168001651763916,-37.07289361953735,-2.731062889099121,2.644350528717041,66985530,distilbert-base-uncased
Toy soldiers use a wug.,All toys use a wug.,All birds use a wug.,toy soldier,toy,use a,Toy soldiers,toys,4,1,-9.586775779724121,-34.579747676849365,-14.203227996826172,3.0234434604644775,1.868437647819519,66985530,distilbert-base-uncased
Toy soldiers use a fep.,All toys use a fep.,All birds use a fep.,toy soldier,toy,use a,Toy soldiers,toys,4,2,-9.500743389129639,-37.6476788520813,-14.84591007232666,3.0469748973846436,1.7512611150741577,66985530,distilbert-base-uncased
Toy soldiers use a blicket.,All toys use a blicket.,All birds use a blicket.,toy soldier,toy,use a,Toy soldiers,toys,4,3,-9.64298963546753,-44.44168663024902,-15.665211200714111,2.8470511436462402,1.5844978094100952,66985530,distilbert-base-uncased
Toy soldiers use a jabberwock.,All toys use a jabberwock.,All birds use a jabberwock.,toy soldier,toy,use a,Toy soldiers,toys,4,4,-9.715024948120117,-23.34467363357544,-15.775305271148682,3.8471322059631348,1.7977604866027832,66985530,distilbert-base-uncased
Toy soldiers use a tove.,All toys use a tove.,All birds use a tove.,toy soldier,toy,use a,Toy soldiers,toys,4,5,-13.432578563690186,-42.93362808227539,-16.98000955581665,3.2567665576934814,2.65982985496521,66985530,distilbert-base-uncased
Yo-yos can be daxed.,All toys can be daxed.,All birds can be daxed.,yo-yo,toy,can be,Yo-yos,toys,1,1,-25.21087646484375,-36.921671867370605,-20.76121711730957,-0.4219450056552887,2.055490732192993,66985530,distilbert-base-uncased
Yo-yos can be wiffed.,All toys can be wiffed.,All birds can be wiffed.,yo-yo,toy,can be,Yo-yos,toys,1,2,-13.026668548583984,-27.895233154296875,-13.632630348205566,0.6971939206123352,0.7531574964523315,66985530,distilbert-base-uncased
Yo-yos can be blicked.,All toys can be blicked.,All birds can be blicked.,yo-yo,toy,can be,Yo-yos,toys,1,3,-13.713521003723145,-29.199974536895752,-13.590285301208496,0.4105558395385742,0.6926565766334534,66985530,distilbert-base-uncased
Yo-yos can be gyred.,All toys can be gyred.,All birds can be gyred.,yo-yo,toy,can be,Yo-yos,toys,1,4,-14.571285247802734,-32.85766077041626,-12.579405307769775,0.3197043538093567,0.3518590033054352,66985530,distilbert-base-uncased
Yo-yos can be gimbled.,All toys can be gimbled.,All birds can be gimbled.,yo-yo,toy,can be,Yo-yos,toys,1,5,-15.81101942062378,-36.29053974151611,-16.11183786392212,1.8502660989761353,1.8056998252868652,66985530,distilbert-base-uncased
Yo-yos are beamish.,All toys are beamish.,All birds are beamish.,yo-yo,toy,are,Yo-yos,toys,2,1,-12.578147411346436,-28.53528642654419,-9.622203350067139,0.007957076653838158,0.40313956141471863,66985530,distilbert-base-uncased
Yo-yos are slithy.,All toys are slithy.,All birds are slithy.,yo-yo,toy,are,Yo-yos,toys,2,2,-14.880980491638184,-34.12889528274536,-9.700881958007812,0.5734696388244629,0.8856246471405029,66985530,distilbert-base-uncased
Yo-yos are mimsy.,All toys are mimsy.,All birds are mimsy.,yo-yo,toy,are,Yo-yos,toys,2,3,-14.164996147155762,-30.948938846588135,-10.606463432312012,0.5524899363517761,0.572470486164093,66985530,distilbert-base-uncased
Yo-yos are vorpal.,All toys are vorpal.,All birds are vorpal.,yo-yo,toy,are,Yo-yos,toys,2,4,-14.559344291687012,-37.552600383758545,-10.439758777618408,1.376348614692688,0.4496903121471405,66985530,distilbert-base-uncased
