premise,conclusion,control,item,category,blankpredicate,item_word,category_word,predicate_id,argument_id,score,conclusion_only,control_score,shuffled_diff,shuffled_diff_sd,params,model
Dolls can be daxed.,All toys can be daxed.,All birds can be daxed.,doll,toy,can be,Dolls,toys,1,1,-21.834861755371094,-42.54133987426758,-20.642303466796875,-1.6373283863067627,2.8596291542053223,81913344,distilgpt2
Dolls can be wiffed.,All toys can be wiffed.,All birds can be wiffed.,doll,toy,can be,Dolls,toys,1,2,-22.576274871826172,-39.607479095458984,-22.207714080810547,-0.9538170099258423,3.0702741146087646,81913344,distilgpt2
Dolls can be blicked.,All toys can be blicked.,All birds can be blicked.,doll,toy,can be,Dolls,toys,1,3,-25.323551177978516,-44.436241149902344,-25.190929412841797,-2.619088649749756,4.626615047454834,81913344,distilgpt2
Dolls can be gyred.,All toys can be gyred.,All birds can be gyred.,doll,toy,can be,Dolls,toys,1,4,-25.15521240234375,-45.81547164916992,-24.096759796142578,-1.0614001750946045,2.801119327545166,81913344,distilgpt2
Dolls can be gimbled.,All toys can be gimbled.,All birds can be gimbled.,doll,toy,can be,Dolls,toys,1,5,-23.379871368408203,-45.7430534362793,-22.906394958496094,-1.424055814743042,2.617096185684204,81913344,distilgpt2
Dolls are beamish.,All toys are beamish.,All birds are beamish.,doll,toy,are,Dolls,toys,2,1,-23.3724365234375,-41.662559509277344,-22.4306697845459,6.261235237121582,3.5529768466949463,81913344,distilgpt2
Dolls are slithy.,All toys are slithy.,All birds are slithy.,doll,toy,are,Dolls,toys,2,2,-24.330373764038086,-40.25617599487305,-21.871295928955078,-3.9569480419158936,3.55940318107605,81913344,distilgpt2
Dolls are mimsy.,All toys are mimsy.,All birds are mimsy.,doll,toy,are,Dolls,toys,2,3,-23.230104446411133,-44.39756774902344,-20.09356117248535,4.372340679168701,8.005342483520508,81913344,distilgpt2
Dolls are vorpal.,All toys are vorpal.,All birds are vorpal.,doll,toy,are,Dolls,toys,2,4,-21.81319236755371,-39.59756088256836,-19.193069458007812,1.1839805841445923,3.3142855167388916,81913344,distilgpt2
Dolls are frabjous.,All toys are frabjous.,All birds are frabjous.,doll,toy,are,Dolls,toys,2,5,-21.95648956298828,-52.68651580810547,-21.081432342529297,0.8351375460624695,2.8534135818481445,81913344,distilgpt2
Dolls have wugs.,All toys have wugs.,All birds have wugs.,doll,toy,have,Dolls,toys,3,1,-21.30136489868164,-39.68620300292969,-20.31804656982422,-0.13116303086280823,2.606452226638794,81913344,distilgpt2
Dolls have feps.,All toys have feps.,All birds have feps.,doll,toy,have,Dolls,toys,3,2,-23.863502502441406,-44.5440673828125,-21.642581939697266,0.34449464082717896,2.758275270462036,81913344,distilgpt2
Dolls have blickets.,All toys have blickets.,All birds have blickets.,doll,toy,have,Dolls,toys,3,3,-24.868350982666016,-43.76272201538086,-20.864482879638672,-1.7921644449234009,2.131040096282959,81913344,distilgpt2
Dolls have jabberwocks.,All toys have jabberwocks.,All birds have jabberwocks.,doll,toy,have,Dolls,toys,3,4,-26.645050048828125,-53.254249572753906,-23.794822692871094,1.9364488124847412,1.8289475440979004,81913344,distilgpt2
Dolls have toves.,All toys have toves.,All birds have toves.,doll,toy,have,Dolls,toys,3,5,-26.796693801879883,-40.430931091308594,-25.055225372314453,6.456850528717041,4.923547744750977,81913344,distilgpt2
Dolls use a wug.,All toys use a wug.,All birds use a wug.,doll,toy,use a,Dolls,toys,4,1,-22.978191375732422,-45.689754486083984,-21.04513931274414,3.231858491897583,5.707004070281982,81913344,distilgpt2
Dolls use a fep.,All toys use a fep.,All birds use a fep.,doll,toy,use a,Dolls,toys,4,2,-23.701004028320312,-47.0559196472168,-21.665586471557617,5.61454963684082,3.7556071281433105,81913344,distilgpt2
Dolls use a blicket.,All toys use a blicket.,All birds use a blicket.,doll,toy,use a,Dolls,toys,4,3,-23.874034881591797,-49.37581253051758,-21.341861724853516,4.220355987548828,3.5726606845855713,81913344,distilgpt2
Dolls use a jabberwock.,All toys use a jabberwock.,All birds use a jabberwock.,doll,toy,use a,Dolls,toys,4,4,-22.962017059326172,-51.76921844482422,-21.397600173950195,5.237359046936035,5.535603046417236,81913344,distilgpt2
Dolls use a tove.,All toys use a tove.,All birds use a tove.,doll,toy,use a,Dolls,toys,4,5,-24.926417350769043,-45.12953567504883,-23.319552421569824,6.741422176361084,3.472735643386841,81913344,distilgpt2
Tops can be daxed.,All toys can be daxed.,All birds can be daxed.,top,toy,can be,Tops,toys,1,1,-20.399539947509766,-42.54133987426758,-19.59233856201172,6.036140441894531,2.826026439666748,81913344,distilgpt2
Tops can be wiffed.,All toys can be wiffed.,All birds can be wiffed.,top,toy,can be,Tops,toys,1,2,-20.236766815185547,-39.607479095458984,-20.202896118164062,5.905914306640625,1.2664084434509277,81913344,distilgpt2
Tops can be blicked.,All toys can be blicked.,All birds can be blicked.,top,toy,can be,Tops,toys,1,3,-23.366973876953125,-44.436241149902344,-23.795013427734375,4.096961498260498,1.8008828163146973,81913344,distilgpt2
Tops can be gyred.,All toys can be gyred.,All birds can be gyred.,top,toy,can be,Tops,toys,1,4,-23.933639526367188,-45.81547164916992,-23.804489135742188,4.444528579711914,2.4757790565490723,81913344,distilgpt2
Tops can be gimbled.,All toys can be gimbled.,All birds can be gimbled.,top,toy,can be,Tops,toys,1,5,-21.390735626220703,-45.7430534362793,-21.25057029724121,4.855496406555176,1.0835802555084229,81913344,distilgpt2
Tops are beamish.,All toys are beamish.,All birds are beamish.,top,toy,are,Tops,toys,2,1,-23.460281372070312,-41.662559509277344,-23.536617279052734,7.323982238769531,4.177172660827637,81913344,distilgpt2
Tops are slithy.,All toys are slithy.,All birds are slithy.,top,toy,are,Tops,toys,2,2,-21.796756744384766,-40.25617599487305,-19.994062423706055,2.265671491622925,1.5332145690917969,81913344,distilgpt2
Tops are mimsy.,All toys are mimsy.,All birds are mimsy.,top,toy,are,Tops,toys,2,3,-21.57549285888672,-44.39756774902344,-18.34099006652832,12.580602645874023,7.659062385559082,81913344,distilgpt2
Tops are vorpal.,All toys are vorpal.,All birds are vorpal.,top,toy,are,Tops,toys,2,4,-20.64129114151001,-39.59756088256836,-18.097517013549805,5.636649131774902,1.5399012565612793,81913344,distilgpt2
Tops are frabjous.,All toys are frabjous.,All birds are frabjous.,top,toy,are,Tops,toys,2,5,-20.381359100341797,-52.68651580810547,-19.595914840698242,5.31586217880249,1.9599573612213135,81913344,distilgpt2
Tops have wugs.,All toys have wugs.,All birds have wugs.,top,toy,have,Tops,toys,3,1,-19.80270767211914,-39.68620300292969,-19.689239501953125,3.522273302078247,1.399232268333435,81913344,distilgpt2
Tops have feps.,All toys have feps.,All birds have feps.,top,toy,have,Tops,toys,3,2,-21.140235900878906,-44.5440673828125,-20.511634826660156,4.936094284057617,1.827184796333313,81913344,distilgpt2
Tops have blickets.,All toys have blickets.,All birds have blickets.,top,toy,have,Tops,toys,3,3,-23.559829711914062,-43.76272201538086,-20.996849060058594,3.3503875732421875,1.8014205694198608,81913344,distilgpt2
