premise,conclusion,control,item,category,blankpredicate,item_word,category_word,predicate_id,argument_id,score,conclusion_only,control_score,shuffled_diff,shuffled_diff_sd,params,model
Robins can dax.,All birds can dax.,All vegetables can dax.,robin,bird,can,Robins,birds,1,1,-9.65129566192627,-135.22972583770752,-15.06092643737793,4.0723876953125,1.5422685146331787,82760793,distilroberta-base
Robins can wif.,All birds can wif.,All vegetables can wif.,robin,bird,can,Robins,birds,1,2,-10.266891479492188,-132.89285373687744,-12.442914962768555,2.3860952854156494,2.6002838611602783,82760793,distilroberta-base
Robins can blick.,All birds can blick.,All vegetables can blick.,robin,bird,can,Robins,birds,1,3,-11.944215774536133,-141.90283012390137,-13.731377601623535,0.09457778930664062,1.8125308752059937,82760793,distilroberta-base
Robins can gyre.,All birds can gyre.,All vegetables can gyre.,robin,bird,can,Robins,birds,1,4,-9.073697090148926,-137.52664279937744,-13.030976295471191,6.200841903686523,6.461019515991211,82760793,distilroberta-base
Robins can gimble.,All birds can gimble.,All vegetables can gimble.,robin,bird,can,Robins,birds,1,5,-10.641115188598633,-138.9756727218628,-12.35733699798584,2.4052340984344482,3.0294017791748047,82760793,distilroberta-base
Robins can be daxed.,All birds can be daxed.,All vegetables can be daxed.,robin,bird,can be,Robins,birds,2,1,-8.576560974121094,-181.18311214447021,-11.58745288848877,2.1373209953308105,1.6109414100646973,82760793,distilroberta-base
Robins can be wiffed.,All birds can be wiffed.,All vegetables can be wiffed.,robin,bird,can be,Robins,birds,2,2,-10.285959243774414,-185.5357208251953,-13.240546226501465,1.4365609884262085,0.9672162532806396,82760793,distilroberta-base
Robins can be blicked.,All birds can be blicked.,All vegetables can be blicked.,robin,bird,can be,Robins,birds,2,3,-12.413472175598145,-166.7554817199707,-12.212714195251465,1.4998053312301636,1.5892915725708008,82760793,distilroberta-base
Robins can be gyred.,All birds can be gyred.,All vegetables can be gyred.,robin,bird,can be,Robins,birds,2,4,-9.128485679626465,-167.82061576843262,-11.728931903839111,2.1899242401123047,1.2859231233596802,82760793,distilroberta-base
Robins can be gimbled.,All birds can be gimbled.,All vegetables can be gimbled.,robin,bird,can be,Robins,birds,2,5,-10.24146556854248,-184.3012981414795,-11.619344234466553,0.6278578639030457,1.1730258464813232,82760793,distilroberta-base
Robins are beamish.,All birds are beamish.,All vegetables are beamish.,robin,bird,are,Robins,birds,3,1,-15.279444694519043,-139.94278240203857,-20.52913236618042,5.829951286315918,1.4446676969528198,82760793,distilroberta-base
Robins are slithy.,All birds are slithy.,All vegetables are slithy.,robin,bird,are,Robins,birds,3,2,-9.071768760681152,-171.57358169555664,-10.312248229980469,0.1163119301199913,0.6117454171180725,82760793,distilroberta-base
Robins are mimsy.,All birds are mimsy.,All vegetables are mimsy.,robin,bird,are,Robins,birds,3,3,-8.404438972473145,-148.37195014953613,-9.344736099243164,8.383550643920898,10.00491714477539,82760793,distilroberta-base
Robins are vorpal.,All birds are vorpal.,All vegetables are vorpal.,robin,bird,are,Robins,birds,3,4,-7.501829147338867,-170.6318016052246,-9.841551780700684,1.1639831066131592,0.697424590587616,82760793,distilroberta-base
Robins are frabjous.,All birds are frabjous.,All vegetables are frabjous.,robin,bird,are,Robins,birds,3,5,-9.304478645324707,-184.8127155303955,-10.558866500854492,0.490121454000473,0.7950335741043091,82760793,distilroberta-base
Robins use a wug.,All birds use a wug.,All vegetables use a wug.,robin,bird,use a,Robins,birds,4,1,-9.170005798339844,-168.75459671020508,-13.21967887878418,4.225336074829102,1.9926074743270874,82760793,distilroberta-base
Robins use a fep.,All birds use a fep.,All vegetables use a fep.,robin,bird,use a,Robins,birds,4,2,-10.221027374267578,-170.2410306930542,-12.988968849182129,12.906405448913574,5.81282377243042,82760793,distilroberta-base
Robins use a blicket.,All birds use a blicket.,All vegetables use a blicket.,robin,bird,use a,Robins,birds,4,3,-13.933642387390137,-174.69732666015625,-22.776037216186523,4.007563591003418,2.8215715885162354,82760793,distilroberta-base
Robins use a jabberwock.,All birds use a jabberwock.,All vegetables use a jabberwock.,robin,bird,use a,Robins,birds,4,4,-11.875572204589844,-202.7931365966797,-15.97179889678955,1.9867051839828491,2.017181158065796,82760793,distilroberta-base
Robins use a tove.,All birds use a tove.,All vegetables use a tove.,robin,bird,use a,Robins,birds,4,5,-11.230350494384766,-161.62739276885986,-13.002407550811768,10.141098022460938,7.9480085372924805,82760793,distilroberta-base
Robins love wugs.,All birds love wugs.,All vegetables love wugs.,robin,bird,love,Robins,birds,5,1,-9.14275074005127,-145.19598007202148,-14.731391906738281,1.1960198879241943,0.5265170335769653,82760793,distilroberta-base
Robins love feps.,All birds love feps.,All vegetables love feps.,robin,bird,love,Robins,birds,5,2,-11.114609718322754,-140.5727825164795,-14.292927742004395,9.211376190185547,5.760265827178955,82760793,distilroberta-base
Robins love blickets.,All birds love blickets.,All vegetables love blickets.,robin,bird,love,Robins,birds,5,3,-12.131063461303711,-152.15188789367676,-14.82623291015625,0.3890986442565918,1.5219438076019287,82760793,distilroberta-base
Robins love jabberwocks.,All birds love jabberwocks.,All vegetables love jabberwocks.,robin,bird,love,Robins,birds,5,4,-11.028369903564453,-185.39507484436035,-14.61767292022705,0.33415013551712036,1.2671345472335815,82760793,distilroberta-base
Robins love toves.,All birds love toves.,All vegetables love toves.,robin,bird,love,Robins,birds,5,5,-22.314998626708984,-138.2771577835083,-23.91654872894287,3.9409031867980957,4.847970485687256,82760793,distilroberta-base
Robins have wugs.,All birds have wugs.,All vegetables have wugs.,robin,bird,have,Robins,birds,6,1,-7.735451698303223,-149.50980854034424,-11.755837440490723,3.9192111492156982,3.493645429611206,82760793,distilroberta-base
Robins have feps.,All birds have feps.,All vegetables have feps.,robin,bird,have,Robins,birds,6,2,-9.721343040466309,-149.8422565460205,-10.941483497619629,15.519866943359375,6.147980213165283,82760793,distilroberta-base
Robins have blickets.,All birds have blickets.,All vegetables have blickets.,robin,bird,have,Robins,birds,6,3,-12.947568893432617,-145.24437522888184,-16.481901168823242,2.461639881134033,3.6199779510498047,82760793,distilroberta-base
Robins have jabberwocks.,All birds have jabberwocks.,All vegetables have jabberwocks.,robin,bird,have,Robins,birds,6,4,-12.205857276916504,-187.40540409088135,-15.43455696105957,0.33780163526535034,0.344340056180954,82760793,distilroberta-base
Robins have toves.,All birds have toves.,All vegetables have toves.,robin,bird,have,Robins,birds,6,5,-20.323367595672607,-137.1661262512207,-24.651382446289062,7.4227471351623535,5.628477096557617,82760793,distilroberta-base
Sparrows can dax.,All birds can dax.,All vegetables can dax.,sparrow,bird,can,Sparrows,birds,1,1,-9.146109580993652,-135.22972583770752,-14.955002784729004,4.245960712432861,1.3521438837051392,82760793,distilroberta-base
Sparrows can wif.,All birds can wif.,All vegetables can wif.,sparrow,bird,can,Sparrows,birds,1,2,-9.6152925491333,-132.89285373687744,-12.1878023147583,0.24714402854442596,0.2634086310863495,82760793,distilroberta-base
Sparrows can blick.,All birds can blick.,All vegetables can blick.,sparrow,bird,can,Sparrows,birds,1,3,-12.034234046936035,-141.90283012390137,-15.4115629196167,-0.2796615660190582,1.1407285928726196,82760793,distilroberta-base
Sparrows can gyre.,All birds can gyre.,All vegetables can gyre.,sparrow,bird,can,Sparrows,birds,1,4,-9.065951347351074,-137.5266466140747,-12.980987548828125,6.284659385681152,6.624547004699707,82760793,distilroberta-base
Sparrows can gimble.,All birds can gimble.,All vegetables can gimble.,sparrow,bird,can,Sparrows,birds,1,5,-11.628807067871094,-138.9756727218628,-14.250652313232422,0.8712669610977173,2.624910354614258,82760793,distilroberta-base
Sparrows can be daxed.,All birds can be daxed.,All vegetables can be daxed.,sparrow,bird,can be,Sparrows,birds,2,1,-7.838693618774414,-181.18311595916748,-11.181766510009766,1.6439697742462158,1.163792610168457,82760793,distilroberta-base
Sparrows can be wiffed.,All birds can be wiffed.,All vegetables can be wiffed.,sparrow,bird,can be,Sparrows,birds,2,2,-8.915414810180664,-185.5357208251953,-11.993029594421387,1.6408058404922485,1.326305866241455,82760793,distilroberta-base
Sparrows can be blicked.,All birds can be blicked.,All vegetables can be blicked.,sparrow,bird,can be,Sparrows,birds,2,3,-9.944710731506348,-166.7554817199707,-11.538681030273438,1.5584533214569092,1.2410942316055298,82760793,distilroberta-base
Sparrows can be gyred.,All birds can be gyred.,All vegetables can be gyred.,sparrow,bird,can be,Sparrows,birds,2,4,-8.463202476501465,-167.82061576843262,-10.269508361816406,1.5421931743621826,0.7242105603218079,82760793,distilroberta-base
Sparrows can be gimbled.,All birds can be gimbled.,All vegetables can be gimbled.,sparrow,bird,can be,Sparrows,birds,2,5,-10.112751960754395,-184.3012981414795,-11.69299602508545,0.5759882926940918,0.9004421234130859,82760793,distilroberta-base
Sparrows are beamish.,All birds are beamish.,All vegetables are beamish.,sparrow,bird,are,Sparrows,birds,3,1,-14.219725608825684,-139.94278240203857,-20.336515426635742,4.016525745391846,2.377020835876465,82760793,distilroberta-base
Sparrows are slithy.,All birds are slithy.,All vegetables are slithy.,sparrow,bird,are,Sparrows,birds,3,2,-8.486611366271973,-171.57358169555664,-10.18170166015625,-0.5340206027030945,0.29482731223106384,82760793,distilroberta-base
Sparrows are mimsy.,All birds are mimsy.,All vegetables are mimsy.,sparrow,bird,are,Sparrows,birds,3,3,-8.530548095703125,-148.37195014953613,-9.366802215576172,7.173734188079834,9.726679801940918,82760793,distilroberta-base
Sparrows are vorpal.,All birds are vorpal.,All vegetables are vorpal.,sparrow,bird,are,Sparrows,birds,3,4,-7.578948020935059,-170.6318016052246,-10.379486083984375,0.09843683242797852,0.8014000058174133,82760793,distilroberta-base
Sparrows are frabjous.,All birds are frabjous.,All vegetables are frabjous.,sparrow,bird,are,Sparrows,birds,3,5,-8.44694709777832,-184.8127155303955,-9.77517032623291,-0.8646560907363892,0.687527060508728,82760793,distilroberta-base
Sparrows use a wug.,All birds use a wug.,All vegetables use a wug.,sparrow,bird,use a,Sparrows,birds,4,1,-8.461479187011719,-168.75460052490234,-12.327351570129395,2.5162978172302246,1.3191654682159424,82760793,distilroberta-base
Sparrows use a fep.,All birds use a fep.,All vegetables use a fep.,sparrow,bird,use a,Sparrows,birds,4,2,-8.847764015197754,-170.2410306930542,-11.982580184936523,7.036356449127197,3.090132236480713,82760793,distilroberta-base
Sparrows use a blicket.,All birds use a blicket.,All vegetables use a blicket.,sparrow,bird,use a,Sparrows,birds,4,3,-14.590262413024902,-174.69732666015625,-21.408782958984375,0.7413243055343628,3.7449698448181152,82760793,distilroberta-base
Sparrows use a jabberwock.,All birds use a jabberwock.,All vegetables use a jabberwock.,sparrow,bird,use a,Sparrows,birds,4,4,-11.15392017364502,-202.7931365966797,-15.840429306030273,1.2142812013626099,1.7322458028793335,82760793,distilroberta-base
Sparrows use a tove.,All birds use a tove.,All vegetables use a tove.,sparrow,bird,use a,Sparrows,birds,4,5,-10.866915702819824,-161.62739276885986,-11.97459602355957,6.641198635101318,7.710445404052734,82760793,distilroberta-base
Sparrows love wugs.,All birds love wugs.,All vegetables love wugs.,sparrow,bird,love,Sparrows,birds,5,1,-9.130354881286621,-145.1960391998291,-15.091752052307129,0.5826302766799927,0.6902923583984375,82760793,distilroberta-base
Sparrows love feps.,All birds love feps.,All vegetables love feps.,sparrow,bird,love,Sparrows,birds,5,2,-11.056215286254883,-140.57279300689697,-13.86016845703125,9.31885051727295,6.465570449829102,82760793,distilroberta-base
Sparrows love blickets.,All birds love blickets.,All vegetables love blickets.,sparrow,bird,love,Sparrows,birds,5,3,-12.992134094238281,-152.15189361572266,-16.580089569091797,-0.8554179072380066,1.3546779155731201,82760793,distilroberta-base
Sparrows love jabberwocks.,All birds love jabberwocks.,All vegetables love jabberwocks.,sparrow,bird,love,Sparrows,birds,5,4,-10.31078052520752,-185.39502429962158,-14.603537559509277,-0.8953790664672852,0.38195282220840454,82760793,distilroberta-base
Sparrows love toves.,All birds love toves.,All vegetables love toves.,sparrow,bird,love,Sparrows,birds,5,5,-19.51757526397705,-138.27718257904053,-21.837739944458008,2.6758995056152344,9.638291358947754,82760793,distilroberta-base
Sparrows have wugs.,All birds have wugs.,All vegetables have wugs.,sparrow,bird,have,Sparrows,birds,6,1,-8.476836204528809,-149.5098352432251,-12.066119194030762,5.040801048278809,3.7185208797454834,82760793,distilroberta-base
Sparrows have feps.,All birds have feps.,All vegetables have feps.,sparrow,bird,have,Sparrows,birds,6,2,-10.244261741638184,-149.8423023223877,-10.891366958618164,5.168976306915283,5.4035563468933105,82760793,distilroberta-base
Sparrows have blickets.,All birds have blickets.,All vegetables have blickets.,sparrow,bird,have,Sparrows,birds,6,3,-14.103154182434082,-145.2443790435791,-18.111291885375977,2.7504520416259766,3.827338457107544,82760793,distilroberta-base
Sparrows have jabberwocks.,All birds have jabberwocks.,All vegetables have jabberwocks.,sparrow,bird,have,Sparrows,birds,6,4,-11.686493873596191,-187.40540504455566,-15.408288955688477,-1.9534046649932861,0.8645976781845093,82760793,distilroberta-base
Sparrows have toves.,All birds have toves.,All vegetables have toves.,sparrow,bird,have,Sparrows,birds,6,5,-16.9865403175354,-137.16611289978027,-21.360754013061523,7.596104621887207,8.302783012390137,82760793,distilroberta-base
Bluejays can dax.,All birds can dax.,All vegetables can dax.,bluejay,bird,can,Bluejays,birds,1,1,-12.562249183654785,-135.22974586486816,-19.184566497802734,0.665206253528595,1.3771755695343018,82760793,distilroberta-base
Bluejays can wif.,All birds can wif.,All vegetables can wif.,bluejay,bird,can,Bluejays,birds,1,2,-13.09960412979126,-132.89282608032227,-15.33710765838623,0.06543874740600586,1.2905247211456299,82760793,distilroberta-base
Bluejays can blick.,All birds can blick.,All vegetables can blick.,bluejay,bird,can,Bluejays,birds,1,3,-13.960541248321533,-141.9028491973877,-16.10745906829834,-0.45089951157569885,0.6754637360572815,82760793,distilroberta-base
Bluejays can gyre.,All birds can gyre.,All vegetables can gyre.,bluejay,bird,can,Bluejays,birds,1,4,-12.666318893432617,-137.52662563323975,-18.19234848022461,3.272693634033203,5.518946647644043,82760793,distilroberta-base
Bluejays can gimble.,All birds can gimble.,All vegetables can gimble.,bluejay,bird,can,Bluejays,birds,1,5,-13.066664695739746,-138.97571659088135,-15.288459777832031,0.3266691267490387,2.0290868282318115,82760793,distilroberta-base
Bluejays can be daxed.,All birds can be daxed.,All vegetables can be daxed.,bluejay,bird,can be,Bluejays,birds,2,1,-10.240031242370605,-181.18310928344727,-13.13211727142334,1.9601560831069946,1.3272396326065063,82760793,distilroberta-base
Bluejays can be wiffed.,All birds can be wiffed.,All vegetables can be wiffed.,bluejay,bird,can be,Bluejays,birds,2,2,-11.95915412902832,-185.5357551574707,-14.55807876586914,0.571323037147522,1.3842496871948242,82760793,distilroberta-base
Bluejays can be blicked.,All birds can be blicked.,All vegetables can be blicked.,bluejay,bird,can be,Bluejays,birds,2,3,-13.813055992126465,-166.75544834136963,-13.700316429138184,1.838538408279419,1.256859540939331,82760793,distilroberta-base
Bluejays can be gyred.,All birds can be gyred.,All vegetables can be gyred.,bluejay,bird,can be,Bluejays,birds,2,4,-11.69288969039917,-167.82055282592773,-13.86652660369873,1.6811788082122803,1.3615721464157104,82760793,distilroberta-base
Bluejays can be gimbled.,All birds can be gimbled.,All vegetables can be gimbled.,bluejay,bird,can be,Bluejays,birds,2,5,-12.567937850952148,-184.3013162612915,-13.427521705627441,0.27982673048973083,0.989276647567749,82760793,distilroberta-base
Bluejays are beamish.,All birds are beamish.,All vegetables are beamish.,bluejay,bird,are,Bluejays,birds,3,1,-16.707924842834473,-139.94274997711182,-21.5149188041687,5.74419641494751,1.41911780834198,82760793,distilroberta-base
Bluejays are slithy.,All birds are slithy.,All vegetables are slithy.,bluejay,bird,are,Bluejays,birds,3,2,-11.726999282836914,-171.57362747192383,-11.80601453781128,-0.48355627059936523,0.6395178437232971,82760793,distilroberta-base
Bluejays are mimsy.,All birds are mimsy.,All vegetables are mimsy.,bluejay,bird,are,Bluejays,birds,3,3,-11.441593170166016,-148.37202262878418,-10.967552185058594,7.536796569824219,9.656363487243652,82760793,distilroberta-base
Bluejays are vorpal.,All birds are vorpal.,All vegetables are vorpal.,bluejay,bird,are,Bluejays,birds,3,4,-10.536354064941406,-170.6318874359131,-12.953896522521973,-0.47228699922561646,0.7461981773376465,82760793,distilroberta-base
Bluejays are frabjous.,All birds are frabjous.,All vegetables are frabjous.,bluejay,bird,are,Bluejays,birds,3,5,-11.09835147857666,-184.8126678466797,-11.43150806427002,-0.1442907303571701,0.6948797106742859,82760793,distilroberta-base
Bluejays use a wug.,All birds use a wug.,All vegetables use a wug.,bluejay,bird,use a,Bluejays,birds,4,1,-11.7548189163208,-168.7545747756958,-15.393598556518555,2.3867263793945312,1.7967615127563477,82760793,distilroberta-base
Bluejays use a fep.,All birds use a fep.,All vegetables use a fep.,bluejay,bird,use a,Bluejays,birds,4,2,-12.65982437133789,-170.24106311798096,-15.321940422058105,10.44521713256836,6.872544765472412,82760793,distilroberta-base
