premise,conclusion,control,item,category,blankpredicate,item_word,category_word,predicate_id,argument_id,score,conclusion_only,control_score,shuffled_diff,shuffled_diff_sd,params,model
Robins can dax.,All birds can dax.,All vegetables can dax.,robin,bird,can,Robins,birds,1,1,-14.742074012756348,-157.6062469482422,-16.62476634979248,14.527621269226074,5.101779937744141,33740602,google_electra-base-generator
Robins can wif.,All birds can wif.,All vegetables can wif.,robin,bird,can,Robins,birds,1,2,-8.940091609954834,-166.28421783447266,-13.67040729522705,1.6466175317764282,0.8105305433273315,33740602,google_electra-base-generator
Robins can blick.,All birds can blick.,All vegetables can blick.,robin,bird,can,Robins,birds,1,3,-9.571499824523926,-182.69703102111816,-13.460031509399414,1.9266607761383057,1.5098652839660645,33740602,google_electra-base-generator
Robins can gyre.,All birds can gyre.,All vegetables can gyre.,robin,bird,can,Robins,birds,1,4,-8.401711463928223,-167.9938850402832,-13.726825714111328,0.18067073822021484,0.336304634809494,33740602,google_electra-base-generator
Robins can gimble.,All birds can gimble.,All vegetables can gimble.,robin,bird,can,Robins,birds,1,5,-9.859443664550781,-190.27838516235352,-14.796701431274414,0.9374095797538757,1.2295361757278442,33740602,google_electra-base-generator
Robins can be daxed.,All birds can be daxed.,All vegetables can be daxed.,robin,bird,can be,Robins,birds,2,1,-15.486425876617432,-206.05583953857422,-18.60093879699707,-0.6904923319816589,1.4698718786239624,33740602,google_electra-base-generator
Robins can be wiffed.,All birds can be wiffed.,All vegetables can be wiffed.,robin,bird,can be,Robins,birds,2,2,-10.173812866210938,-194.12535095214844,-14.906717300415039,-0.4596785604953766,0.8249004483222961,33740602,google_electra-base-generator
Robins can be blicked.,All birds can be blicked.,All vegetables can be blicked.,robin,bird,can be,Robins,birds,2,3,-8.146873474121094,-230.9243221282959,-12.941130638122559,0.1917719841003418,0.9369716644287109,33740602,google_electra-base-generator
Robins can be gyred.,All birds can be gyred.,All vegetables can be gyred.,robin,bird,can be,Robins,birds,2,4,-7.378091812133789,-226.3474884033203,-12.272427558898926,-0.5835236310958862,0.530746340751648,33740602,google_electra-base-generator
Robins can be gimbled.,All birds can be gimbled.,All vegetables can be gimbled.,robin,bird,can be,Robins,birds,2,5,-10.936799049377441,-210.14563751220703,-17.247909545898438,-1.3123328685760498,1.3465244770050049,33740602,google_electra-base-generator
Robins are beamish.,All birds are beamish.,All vegetables are beamish.,robin,bird,are,Robins,birds,3,1,-10.91744327545166,-189.71295356750488,-17.24984836578369,-1.5322363376617432,0.9327864050865173,33740602,google_electra-base-generator
Robins are slithy.,All birds are slithy.,All vegetables are slithy.,robin,bird,are,Robins,birds,3,2,-8.025178909301758,-204.1165008544922,-12.76170539855957,-0.7182806134223938,0.5771411061286926,33740602,google_electra-base-generator
Robins are mimsy.,All birds are mimsy.,All vegetables are mimsy.,robin,bird,are,Robins,birds,3,3,-8.74736213684082,-190.8978614807129,-14.1402587890625,-0.33090344071388245,0.37704965472221375,33740602,google_electra-base-generator
Robins are vorpal.,All birds are vorpal.,All vegetables are vorpal.,robin,bird,are,Robins,birds,3,4,-7.134778022766113,-200.51378440856934,-12.621711730957031,-1.2863490581512451,0.3476462960243225,33740602,google_electra-base-generator
Robins are frabjous.,All birds are frabjous.,All vegetables are frabjous.,robin,bird,are,Robins,birds,3,5,-8.524368286132812,-249.2060832977295,-13.049212455749512,-1.2799255847930908,0.33621180057525635,33740602,google_electra-base-generator
Robins use a wug.,All birds use a wug.,All vegetables use a wug.,robin,bird,use a,Robins,birds,4,1,-7.75899600982666,-202.23627090454102,-14.97912311553955,3.18074369430542,2.009202003479004,33740602,google_electra-base-generator
Robins use a fep.,All birds use a fep.,All vegetables use a fep.,robin,bird,use a,Robins,birds,4,2,-7.4166717529296875,-200.05415153503418,-14.50147533416748,2.0152974128723145,1.2448872327804565,33740602,google_electra-base-generator
Robins use a blicket.,All birds use a blicket.,All vegetables use a blicket.,robin,bird,use a,Robins,birds,4,3,-7.337766647338867,-234.44930267333984,-13.783260345458984,1.9878009557724,0.9296448826789856,33740602,google_electra-base-generator
Robins use a jabberwock.,All birds use a jabberwock.,All vegetables use a jabberwock.,robin,bird,use a,Robins,birds,4,4,-8.35706615447998,-288.6679935455322,-14.592660903930664,2.5682132244110107,1.9664194583892822,33740602,google_electra-base-generator
Robins use a tove.,All birds use a tove.,All vegetables use a tove.,robin,bird,use a,Robins,birds,4,5,-7.529783248901367,-197.43839263916016,-15.048439025878906,1.4465692043304443,1.266016960144043,33740602,google_electra-base-generator
Robins love wugs.,All birds love wugs.,All vegetables love wugs.,robin,bird,love,Robins,birds,5,1,-7.452506065368652,-169.4516258239746,-16.714293479919434,1.6261203289031982,0.7478198409080505,33740602,google_electra-base-generator
Robins love feps.,All birds love feps.,All vegetables love feps.,robin,bird,love,Robins,birds,5,2,-8.018634796142578,-178.11978912353516,-19.09634494781494,2.188689947128296,1.718963384628296,33740602,google_electra-base-generator
Robins love blickets.,All birds love blickets.,All vegetables love blickets.,robin,bird,love,Robins,birds,5,3,-7.845057487487793,-215.36562156677246,-18.203975677490234,2.434896230697632,1.1530338525772095,33740602,google_electra-base-generator
Robins love jabberwocks.,All birds love jabberwocks.,All vegetables love jabberwocks.,robin,bird,love,Robins,birds,5,4,-9.323741436004639,-260.16532707214355,-16.08753204345703,1.153416395187378,1.179996132850647,33740602,google_electra-base-generator
Robins love toves.,All birds love toves.,All vegetables love toves.,robin,bird,love,Robins,birds,5,5,-8.8941068649292,-181.26182746887207,-18.34158229827881,1.8989861011505127,1.0289300680160522,33740602,google_electra-base-generator
Robins have wugs.,All birds have wugs.,All vegetables have wugs.,robin,bird,have,Robins,birds,6,1,-6.976358413696289,-181.74782180786133,-14.285472869873047,0.868672251701355,0.5919951796531677,33740602,google_electra-base-generator
Robins have feps.,All birds have feps.,All vegetables have feps.,robin,bird,have,Robins,birds,6,2,-6.802036285400391,-180.0491123199463,-13.935911178588867,-0.76427161693573,0.4212041199207306,33740602,google_electra-base-generator
Robins have blickets.,All birds have blickets.,All vegetables have blickets.,robin,bird,have,Robins,birds,6,3,-6.873030662536621,-225.4639015197754,-13.240489959716797,1.5108126401901245,0.7993055582046509,33740602,google_electra-base-generator
Robins have jabberwocks.,All birds have jabberwocks.,All vegetables have jabberwocks.,robin,bird,have,Robins,birds,6,4,-8.071341514587402,-270.92151641845703,-13.40169620513916,0.5173079371452332,0.8713473081588745,33740602,google_electra-base-generator
Robins have toves.,All birds have toves.,All vegetables have toves.,robin,bird,have,Robins,birds,6,5,-7.178028106689453,-195.10389137268066,-13.325395584106445,9.578691482543945,6.797576904296875,33740602,google_electra-base-generator
Sparrows can dax.,All birds can dax.,All vegetables can dax.,sparrow,bird,can,Sparrows,birds,1,1,-9.899119853973389,-157.6062469482422,-14.54650592803955,16.372705459594727,3.5201780796051025,33740602,google_electra-base-generator
Sparrows can wif.,All birds can wif.,All vegetables can wif.,sparrow,bird,can,Sparrows,birds,1,2,-6.671093940734863,-166.28421783447266,-15.097833633422852,0.6210300326347351,0.5399470329284668,33740602,google_electra-base-generator
Sparrows can blick.,All birds can blick.,All vegetables can blick.,sparrow,bird,can,Sparrows,birds,1,3,-7.712488174438477,-182.69703102111816,-15.416630744934082,1.3760367631912231,1.0134608745574951,33740602,google_electra-base-generator
Sparrows can gyre.,All birds can gyre.,All vegetables can gyre.,sparrow,bird,can,Sparrows,birds,1,4,-7.749290943145752,-167.9938850402832,-15.55509090423584,-0.23035988211631775,0.30448001623153687,33740602,google_electra-base-generator
Sparrows can gimble.,All birds can gimble.,All vegetables can gimble.,sparrow,bird,can,Sparrows,birds,1,5,-7.370335578918457,-190.27838516235352,-15.376090049743652,1.1014765501022339,0.6207956075668335,33740602,google_electra-base-generator
Sparrows can be daxed.,All birds can be daxed.,All vegetables can be daxed.,sparrow,bird,can be,Sparrows,birds,2,1,-11.984344005584717,-206.05583953857422,-19.95626163482666,-1.559655785560608,2.135185956954956,33740602,google_electra-base-generator
Sparrows can be wiffed.,All birds can be wiffed.,All vegetables can be wiffed.,sparrow,bird,can be,Sparrows,birds,2,2,-7.574721336364746,-194.12535095214844,-15.172903060913086,-0.20014610886573792,1.0696467161178589,33740602,google_electra-base-generator
Sparrows can be blicked.,All birds can be blicked.,All vegetables can be blicked.,sparrow,bird,can be,Sparrows,birds,2,3,-6.7815093994140625,-230.9243221282959,-14.879142761230469,-0.38000231981277466,0.7705309987068176,33740602,google_electra-base-generator
Sparrows can be gyred.,All birds can be gyred.,All vegetables can be gyred.,sparrow,bird,can be,Sparrows,birds,2,4,-6.793232440948486,-226.3474884033203,-14.294008255004883,-0.6789705157279968,0.5522933602333069,33740602,google_electra-base-generator
Sparrows can be gimbled.,All birds can be gimbled.,All vegetables can be gimbled.,sparrow,bird,can be,Sparrows,birds,2,5,-8.717889785766602,-210.14563751220703,-18.207247734069824,-2.3431129455566406,0.3526545763015747,33740602,google_electra-base-generator
Sparrows are beamish.,All birds are beamish.,All vegetables are beamish.,sparrow,bird,are,Sparrows,birds,3,1,-9.081005096435547,-189.71295356750488,-18.72689723968506,-2.2101669311523438,1.1836284399032593,33740602,google_electra-base-generator
Sparrows are slithy.,All birds are slithy.,All vegetables are slithy.,sparrow,bird,are,Sparrows,birds,3,2,-6.274048805236816,-204.1165008544922,-13.435782432556152,-0.5989325642585754,0.3941276967525482,33740602,google_electra-base-generator
Sparrows are mimsy.,All birds are mimsy.,All vegetables are mimsy.,sparrow,bird,are,Sparrows,birds,3,3,-5.965109825134277,-190.8978614807129,-14.0203857421875,-0.7077552080154419,0.43301382660865784,33740602,google_electra-base-generator
Sparrows are vorpal.,All birds are vorpal.,All vegetables are vorpal.,sparrow,bird,are,Sparrows,birds,3,4,-6.061079978942871,-200.51378440856934,-14.857236862182617,-1.6901664733886719,0.39961859583854675,33740602,google_electra-base-generator
Sparrows are frabjous.,All birds are frabjous.,All vegetables are frabjous.,sparrow,bird,are,Sparrows,birds,3,5,-6.796409606933594,-249.2060832977295,-14.269546508789062,-1.8694393634796143,0.23941798508167267,33740602,google_electra-base-generator
Sparrows use a wug.,All birds use a wug.,All vegetables use a wug.,sparrow,bird,use a,Sparrows,birds,4,1,-5.578360557556152,-202.23627090454102,-16.51919937133789,1.5140056610107422,1.1685200929641724,33740602,google_electra-base-generator
Sparrows use a fep.,All birds use a fep.,All vegetables use a fep.,sparrow,bird,use a,Sparrows,birds,4,2,-5.216599464416504,-200.05415153503418,-16.563572883605957,1.0404013395309448,1.3402308225631714,33740602,google_electra-base-generator
Sparrows use a blicket.,All birds use a blicket.,All vegetables use a blicket.,sparrow,bird,use a,Sparrows,birds,4,3,-4.792915344238281,-234.44930267333984,-15.809427261352539,1.7265716791152954,0.970893919467926,33740602,google_electra-base-generator
Sparrows use a jabberwock.,All birds use a jabberwock.,All vegetables use a jabberwock.,sparrow,bird,use a,Sparrows,birds,4,4,-5.627449035644531,-288.6679935455322,-15.530757904052734,1.366814136505127,1.1514619588851929,33740602,google_electra-base-generator
Sparrows use a tove.,All birds use a tove.,All vegetables use a tove.,sparrow,bird,use a,Sparrows,birds,4,5,-5.325078964233398,-197.43839263916016,-16.58365249633789,1.7534370422363281,1.6849349737167358,33740602,google_electra-base-generator
Sparrows love wugs.,All birds love wugs.,All vegetables love wugs.,sparrow,bird,love,Sparrows,birds,5,1,-5.119596481323242,-169.4516258239746,-16.38833999633789,2.0863304138183594,0.799223780632019,33740602,google_electra-base-generator
Sparrows love feps.,All birds love feps.,All vegetables love feps.,sparrow,bird,love,Sparrows,birds,5,2,-5.359551429748535,-178.11978912353516,-17.892786979675293,1.0341657400131226,1.3314180374145508,33740602,google_electra-base-generator
Sparrows love blickets.,All birds love blickets.,All vegetables love blickets.,sparrow,bird,love,Sparrows,birds,5,3,-5.075538635253906,-215.36562156677246,-17.126580238342285,1.1605385541915894,0.7720271944999695,33740602,google_electra-base-generator
Sparrows love jabberwocks.,All birds love jabberwocks.,All vegetables love jabberwocks.,sparrow,bird,love,Sparrows,birds,5,4,-6.425363540649414,-260.16532707214355,-15.877626419067383,1.0789531469345093,1.263859510421753,33740602,google_electra-base-generator
Sparrows love toves.,All birds love toves.,All vegetables love toves.,sparrow,bird,love,Sparrows,birds,5,5,-6.086858749389648,-181.26182746887207,-17.614212036132812,1.6490682363510132,1.0823770761489868,33740602,google_electra-base-generator
Sparrows have wugs.,All birds have wugs.,All vegetables have wugs.,sparrow,bird,have,Sparrows,birds,6,1,-5.623334884643555,-181.74782180786133,-15.899601936340332,0.5610391497612,0.8809468150138855,33740602,google_electra-base-generator
Sparrows have feps.,All birds have feps.,All vegetables have feps.,sparrow,bird,have,Sparrows,birds,6,2,-5.434574127197266,-180.0491123199463,-15.446150779724121,-0.25194501876831055,0.5065101385116577,33740602,google_electra-base-generator
Sparrows have blickets.,All birds have blickets.,All vegetables have blickets.,sparrow,bird,have,Sparrows,birds,6,3,-5.183833122253418,-225.4639015197754,-14.844560623168945,-0.02360820770263672,0.7596672177314758,33740602,google_electra-base-generator
Sparrows have jabberwocks.,All birds have jabberwocks.,All vegetables have jabberwocks.,sparrow,bird,have,Sparrows,birds,6,4,-6.082584381103516,-270.92151641845703,-14.454182624816895,-0.15734338760375977,0.9856735467910767,33740602,google_electra-base-generator
Sparrows have toves.,All birds have toves.,All vegetables have toves.,sparrow,bird,have,Sparrows,birds,6,5,-5.8991804122924805,-195.10389137268066,-14.920494079589844,8.704086303710938,6.214828968048096,33740602,google_electra-base-generator
Bluejays can dax.,All birds can dax.,All vegetables can dax.,bluejay,bird,can,Bluejays,birds,1,1,-14.600269317626953,-157.6062469482422,-16.363039016723633,16.137060165405273,2.497767925262451,33740602,google_electra-base-generator
Bluejays can wif.,All birds can wif.,All vegetables can wif.,bluejay,bird,can,Bluejays,birds,1,2,-10.187650680541992,-166.28421783447266,-14.202466011047363,2.2820510864257812,1.236565113067627,33740602,google_electra-base-generator
Bluejays can blick.,All birds can blick.,All vegetables can blick.,bluejay,bird,can,Bluejays,birds,1,3,-10.780045509338379,-182.69703102111816,-14.959571838378906,2.3706650733947754,1.4528838396072388,33740602,google_electra-base-generator
Bluejays can gyre.,All birds can gyre.,All vegetables can gyre.,bluejay,bird,can,Bluejays,birds,1,4,-9.495088577270508,-167.9938850402832,-14.222169876098633,-0.05366487428545952,0.6339578032493591,33740602,google_electra-base-generator
Bluejays can gimble.,All birds can gimble.,All vegetables can gimble.,bluejay,bird,can,Bluejays,birds,1,5,-10.658541679382324,-190.27838516235352,-16.63638973236084,1.228398084640503,1.5606191158294678,33740602,google_electra-base-generator
