premise,conclusion,control,item,category,blankpredicate,item_word,category_word,predicate_id,argument_id,score,conclusion_only,control_score,shuffled_diff,shuffled_diff_sd,params,model
Dolls can be daxed.,All toys can be daxed.,All birds can be daxed.,doll,toy,can be,Dolls,toys,1,1,-8.531723976135254,-36.5513916015625,-13.672975540161133,1.1047396659851074,1.209151268005371,13546682,google_electra-small-generator
Dolls can be wiffed.,All toys can be wiffed.,All birds can be wiffed.,doll,toy,can be,Dolls,toys,1,2,-6.519399642944336,-24.7849760055542,-11.491130828857422,3.6633877754211426,1.1161222457885742,13546682,google_electra-small-generator
Dolls can be blicked.,All toys can be blicked.,All birds can be blicked.,doll,toy,can be,Dolls,toys,1,3,-6.340439796447754,-26.625548362731934,-11.126639366149902,1.7185356616973877,1.2195981740951538,13546682,google_electra-small-generator
Dolls can be gyred.,All toys can be gyred.,All birds can be gyred.,doll,toy,can be,Dolls,toys,1,4,-6.291348457336426,-23.574527740478516,-11.752613067626953,2.396088123321533,0.6192181706428528,13546682,google_electra-small-generator
Dolls can be gimbled.,All toys can be gimbled.,All birds can be gimbled.,doll,toy,can be,Dolls,toys,1,5,-6.740222930908203,-39.579410552978516,-12.888556480407715,2.457998275756836,0.7122967839241028,13546682,google_electra-small-generator
Dolls are beamish.,All toys are beamish.,All birds are beamish.,doll,toy,are,Dolls,toys,2,1,-10.241777896881104,-35.47895050048828,-14.855759620666504,-1.7289268970489502,0.579517126083374,13546682,google_electra-small-generator
Dolls are slithy.,All toys are slithy.,All birds are slithy.,doll,toy,are,Dolls,toys,2,2,-6.089877128601074,-24.887788772583008,-11.322826385498047,1.986873984336853,1.0440342426300049,13546682,google_electra-small-generator
Dolls are mimsy.,All toys are mimsy.,All birds are mimsy.,doll,toy,are,Dolls,toys,2,3,-5.793673515319824,-29.228538513183594,-10.09499740600586,2.1576359272003174,0.9670400619506836,13546682,google_electra-small-generator
Dolls are vorpal.,All toys are vorpal.,All birds are vorpal.,doll,toy,are,Dolls,toys,2,4,-5.749690055847168,-33.52447271347046,-10.314776420593262,1.8976844549179077,0.6490974426269531,13546682,google_electra-small-generator
Dolls are frabjous.,All toys are frabjous.,All birds are frabjous.,doll,toy,are,Dolls,toys,2,5,-6.935576438903809,-46.4616641998291,-10.693765640258789,1.9157543182373047,0.6003463268280029,13546682,google_electra-small-generator
