preamble,stimulus,item,category,rank,score,params,model
A doll,is a toy.,doll,toy,1,-5.707228660583496,13546682,google_electra-small-generator
A top,is a toy.,top,toy,2,-13.209795951843262,13546682,google_electra-small-generator
A jack-in-the-box,is a toy.,jack-in-the-box,toy,3,-5.341141700744629,13546682,google_electra-small-generator
A toy soldier,is a toy.,toy soldier,toy,4,-2.236400604248047,13546682,google_electra-small-generator
A yo-yo,is a toy.,yo-yo,toy,5,-9.146932601928711,13546682,google_electra-small-generator
A block,is a toy.,block,toy,6,-14.108388900756836,13546682,google_electra-small-generator
Marbles,are toys.,marbles,toy,7,-14.125612258911133,13546682,google_electra-small-generator
A rattle,is a toy.,rattle,toy,8,-9.517206192016602,13546682,google_electra-small-generator
A stuffed animal,is a toy.,stuffed animal,toy,9,-4.149025917053223,13546682,google_electra-small-generator
A water pistol,is a toy.,water pistol,toy,10,-7.27114200592041,13546682,google_electra-small-generator
A teddy bear,is a toy.,teddy bear,toy,11,-5.471200942993164,13546682,google_electra-small-generator
A rocking horse,is a toy.,rocking horse,toy,12,-6.624353408813477,13546682,google_electra-small-generator
A doll house,is a toy.,doll house,toy,13,-5.26591682434082,13546682,google_electra-small-generator
A ball,is a toy.,ball,toy,14,-7.914336204528809,13546682,google_electra-small-generator
Jacks,are toys.,jacks,toy,15,-12.537904739379883,13546682,google_electra-small-generator
Paper dolls,are toys.,paper dolls,toy,16,-11.28857946395874,13546682,google_electra-small-generator
An erector set,is a toy.,erector set,toy,17,-8.0277099609375,13546682,google_electra-small-generator
A hula hoop,is a toy.,hula hoop,toy,18,-5.978475570678711,13546682,google_electra-small-generator
A jump rope,is a toy.,jump rope,toy,19,-6.912691116333008,13546682,google_electra-small-generator
A pogo stick,is a toy.,pogo stick,toy,20,-5.504712104797363,13546682,google_electra-small-generator
A clay,is a toy.,clay,toy,21,-11.142738342285156,13546682,google_electra-small-generator
A wagon,is a toy.,wagon,toy,22,-6.865421295166016,13546682,google_electra-small-generator
A kite,is a toy.,kite,toy,23,-6.419075012207031,13546682,google_electra-small-generator
A train,is a toy.,train,toy,24,-8.842931747436523,13546682,google_electra-small-generator
A tricycle,is a toy.,tricycle,toy,25,-7.3570146560668945,13546682,google_electra-small-generator
A coloring book,is a toy.,coloring book,toy,26,-6.158140182495117,13546682,google_electra-small-generator
Crayons,are toys.,crayons,toy,27,-13.387749671936035,13546682,google_electra-small-generator
A truck,is a toy.,truck,toy,28,-6.637207984924316,13546682,google_electra-small-generator
A puzzle,is a toy.,puzzle,toy,29,-10.116209030151367,13546682,google_electra-small-generator
A fire engine,is a toy.,fire engine,toy,30,-7.816128253936768,13546682,google_electra-small-generator
A balloon,is a toy.,balloon,toy,31,-7.511320114135742,13546682,google_electra-small-generator
Skates,are toys.,skates,toy,32,-11.09962272644043,13546682,google_electra-small-generator
A baseball,is a toy.,baseball,toy,33,-9.932154655456543,13546682,google_electra-small-generator
A drum,is a toy.,drum,toy,34,-7.555830001831055,13546682,google_electra-small-generator
A football,is a toy.,football,toy,35,-7.351183891296387,13546682,google_electra-small-generator
A game,is a toy.,game,toy,36,-9.163392066955566,13546682,google_electra-small-generator
A swing,is a toy.,swing,toy,37,-10.378129959106445,13546682,google_electra-small-generator
A boat,is a toy.,boat,toy,38,-7.013014316558838,13546682,google_electra-small-generator
A monopoly,is a toy.,monopoly,toy,39,-11.749792098999023,13546682,google_electra-small-generator
A sled,is a toy.,sled,toy,40,-7.392834186553955,13546682,google_electra-small-generator
A seesaw,is a toy.,seesaw,toy,41,-5.977878093719482,13546682,google_electra-small-generator
Stilts,are toys.,stilts,toy,42,-15.076809883117676,13546682,google_electra-small-generator
Checkers,are toys.,checkers,toy,43,-16.175392150878906,13546682,google_electra-small-generator
A bat,is a toy.,bat,toy,44,-8.766687393188477,13546682,google_electra-small-generator
A car,is a toy.,car,toy,45,-6.978646278381348,13546682,google_electra-small-generator
An airplane,is a toy.,airplane,toy,46,-7.120433807373047,13546682,google_electra-small-generator
A bicycle,is a toy.,bicycle,toy,47,-7.191010475158691,13546682,google_electra-small-generator
A tractor,is a toy.,tractor,toy,48,-6.054717063903809,13546682,google_electra-small-generator
A sandbox,is a toy.,sandbox,toy,49,-6.294203758239746,13546682,google_electra-small-generator
A bike,is a toy.,bike,toy,50,-6.953058242797852,13546682,google_electra-small-generator
A bow and arrow,is a toy.,bow and arrow,toy,51,-7.879586219787598,13546682,google_electra-small-generator
A rope,is a toy.,rope,toy,52,-8.332581043243408,13546682,google_electra-small-generator
Dishes,are toys.,dishes,toy,53,-15.962048530578613,13546682,google_electra-small-generator
