stimulus,item,category,rank,logprob,normalized_logprob,params,model
a doll is a toy.,doll,toy,1,-34.45729637145996,-4.922470910208566,774031360,gpt2-large
a top is a toy.,top,toy,2,-42.289631366729736,-6.041375909532819,774031360,gpt2-large
a jack-in-the-box is a toy.,jack-in-the-box,toy,3,-41.3488450050354,-3.180680385002723,774031360,gpt2-large
a toy soldier is a toy.,toy soldier,toy,4,-42.40694618225098,-5.300868272781372,774031360,gpt2-large
a yo-yo is a toy.,yo-yo,toy,5,-37.67228412628174,-4.185809347364637,774031360,gpt2-large
a block is a toy.,block,toy,6,-40.8418550491333,-5.834550721304757,774031360,gpt2-large
marbles are toys.,marbles,toy,7,-37.48746728897095,-6.247911214828491,774031360,gpt2-large
a rattle is a toy.,rattle,toy,8,-39.17219161987305,-4.896523952484131,774031360,gpt2-large
a stuffed animal is a toy.,stuffed animal,toy,9,-37.960790157318115,-4.745098769664764,774031360,gpt2-large
a water pistol is a toy.,water pistol,toy,10,-44.030460357666016,-5.503807544708252,774031360,gpt2-large
a teddy bear is a toy.,teddy bear,toy,11,-36.149571895599365,-4.016619099511041,774031360,gpt2-large
a rocking horse is a toy.,rocking horse,toy,12,-44.58408880233765,-5.573011100292206,774031360,gpt2-large
a doll house is a toy.,doll house,toy,13,-41.42986726760864,-5.17873340845108,774031360,gpt2-large
a ball is a toy.,ball,toy,14,-36.358484745025635,-5.1940692492893765,774031360,gpt2-large
jacks are toys.,jacks,toy,15,-40.901448249816895,-6.816908041636149,774031360,gpt2-large
paper dolls are toys.,paper dolls,toy,16,-41.372525691986084,-6.895420948664348,774031360,gpt2-large
an erector set is a toy.,erector set,toy,17,-45.192030906677246,-5.021336767408583,774031360,gpt2-large
a hula hoop is a toy.,hula hoop,toy,18,-41.77938938140869,-4.642154375712077,774031360,gpt2-large
a jump rope is a toy.,jump rope,toy,19,-43.559194564819336,-5.444899320602417,774031360,gpt2-large
a pogo stick is a toy.,pogo stick,toy,20,-37.071136474609375,-4.119015163845486,774031360,gpt2-large
a clay is a toy.,clay,toy,21,-41.74271774291992,-5.963245391845703,774031360,gpt2-large
a wagon is a toy.,wagon,toy,22,-41.96659708023071,-5.995228154318673,774031360,gpt2-large
a kite is a toy.,kite,toy,23,-37.983989238739014,-4.747998654842377,774031360,gpt2-large
a train is a toy.,train,toy,24,-39.408363819122314,-5.629766259874616,774031360,gpt2-large
a tricycle is a toy.,tricycle,toy,25,-40.280842304229736,-5.035105288028717,774031360,gpt2-large
a coloring book is a toy.,coloring book,toy,26,-39.728108406066895,-4.966013550758362,774031360,gpt2-large
crayons are toys.,crayons,toy,27,-36.83560132980347,-5.262228761400495,774031360,gpt2-large
a truck is a toy.,truck,toy,28,-39.16690635681152,-5.59527233668736,774031360,gpt2-large
a puzzle is a toy.,puzzle,toy,29,-39.31647300720215,-5.6166390010288785,774031360,gpt2-large
a fire engine is a toy.,fire engine,toy,30,-41.45720958709717,-5.182151198387146,774031360,gpt2-large
a balloon is a toy.,balloon,toy,31,-37.104586601257324,-5.300655228751046,774031360,gpt2-large
skates are toys.,skates,toy,32,-40.61499309539795,-6.769165515899658,774031360,gpt2-large
a baseball is a toy.,baseball,toy,33,-37.88717842102051,-5.4124540601457864,774031360,gpt2-large
a drum is a toy.,drum,toy,34,-39.43060874938965,-5.632944107055664,774031360,gpt2-large
a football is a toy.,football,toy,35,-36.60642433166504,-5.229489190237863,774031360,gpt2-large
a game is a toy.,game,toy,36,-35.700456619262695,-5.100065231323242,774031360,gpt2-large
a swing is a toy.,swing,toy,37,-40.96495723724365,-5.8521367481776645,774031360,gpt2-large
a boat is a toy.,boat,toy,38,-37.671706676483154,-5.381672382354736,774031360,gpt2-large
a monopoly is a toy.,monopoly,toy,39,-42.630860328674316,-6.090122904096331,774031360,gpt2-large
a sled is a toy.,sled,toy,40,-40.161038398742676,-5.737291199820382,774031360,gpt2-large
a seesaw is a toy.,seesaw,toy,41,-42.57007837295532,-5.321259796619415,774031360,gpt2-large
stilts are toys.,stilts,toy,42,-42.76386022567749,-7.127310037612915,774031360,gpt2-large
checkers are toys.,checkers,toy,43,-43.46955394744873,-7.244925657908122,774031360,gpt2-large
a bat is a toy.,bat,toy,44,-40.576181411743164,-5.796597344534738,774031360,gpt2-large
a car is a toy.,car,toy,45,-34.705735206604004,-4.957962172372,774031360,gpt2-large
an airplane is a toy.,airplane,toy,46,-37.45839786529541,-5.351199695042202,774031360,gpt2-large
a bicycle is a toy.,bicycle,toy,47,-35.24226427078247,-5.034609181540353,774031360,gpt2-large
a tractor is a toy.,tractor,toy,48,-41.413936138153076,-5.916276591164725,774031360,gpt2-large
a sandbox is a toy.,sandbox,toy,49,-41.80119609832764,-5.971599442618234,774031360,gpt2-large
a bike is a toy.,bike,toy,50,-35.61022233963013,-5.087174619947161,774031360,gpt2-large
a bow and arrow is a toy.,bow and arrow,toy,51,-39.76144552230835,-4.417938391367595,774031360,gpt2-large
a rope is a toy.,rope,toy,52,-39.87366056442261,-5.696237223488944,774031360,gpt2-large
dishes are toys.,dishes,toy,53,-42.49420881271362,-7.0823681354522705,774031360,gpt2-large
cards are toys.,cards,toy,54,-36.02864456176758,-7.205728912353516,774031360,gpt2-large
a mitt is a toy.,mitt,toy,55,-41.92520523071289,-5.240650653839111,774031360,gpt2-large
a horse is a toy.,horse,toy,56,-35.28491401672363,-5.04070200238909,774031360,gpt2-large
a gun is a toy.,gun,toy,57,-34.65693712234497,-4.950991017477853,774031360,gpt2-large
animals are toys.,animals,toy,58,-34.65910816192627,-5.776518026987712,774031360,gpt2-large
a tennis racket is a toy.,tennis racket,toy,59,-38.148860454559326,-4.768607556819916,774031360,gpt2-large
books are toys.,books,toy,60,-40.98526191711426,-8.197052383422852,774031360,gpt2-large
a robin is a bird.,robin,bird,1,-33.902228355407715,-4.237778544425964,774031360,gpt2-large
a sparrow is a bird.,sparrow,bird,2,-32.21625518798828,-4.027031898498535,774031360,gpt2-large
a bluejay is a bird.,bluejay,bird,3,-39.88079118728638,-4.985098898410797,774031360,gpt2-large
a bluebird is a bird.,bluebird,bird,4,-35.64790201187134,-4.455987751483917,774031360,gpt2-large
a canary is a bird.,canary,bird,5,-35.439488887786865,-4.429936110973358,774031360,gpt2-large
a blackbird is a bird.,blackbird,bird,6,-34.92156744003296,-4.36519593000412,774031360,gpt2-large
a dove is a bird.,dove,bird,7,-33.31482124328613,-4.759260177612305,774031360,gpt2-large
a lark is a bird.,lark,bird,8,-42.23063564300537,-5.278829455375671,774031360,gpt2-large
a swallow is a bird.,swallow,bird,9,-34.461912631988525,-4.923130375998361,774031360,gpt2-large
a parakeet is a bird.,parakeet,bird,10,-35.84910869598389,-3.9832342995537653,774031360,gpt2-large
an oriole is a bird.,oriole,bird,11,-39.78929567337036,-4.973661959171295,774031360,gpt2-large
a mockingbird is a bird.,mockingbird,bird,12,-38.91796684265137,-4.864745855331421,774031360,gpt2-large
a redbird is a bird.,redbird,bird,13,-38.066481590270996,-4.7583101987838745,774031360,gpt2-large
a wren is a bird.,wren,bird,14,-35.087088108062744,-4.385886013507843,774031360,gpt2-large
a finch is a bird.,finch,bird,15,-35.19609498977661,-4.399511873722076,774031360,gpt2-large
a starling is a bird.,starling,bird,16,-33.99398469924927,-4.2492480874061584,774031360,gpt2-large
a cardinal is a bird.,cardinal,bird,17,-36.39914131164551,-5.199877330235073,774031360,gpt2-large
an eagle is a bird.,eagle,bird,18,-34.30117464065552,-4.900167805807931,774031360,gpt2-large
a hummingbird is a bird.,hummingbird,bird,19,-34.175623416900635,-4.271952927112579,774031360,gpt2-large
a seagull is a bird.,seagull,bird,20,-35.77021646499634,-3.9744684961107044,774031360,gpt2-large
a woodpecker is a bird.,woodpecker,bird,21,-33.86522054672241,-3.7628022829691568,774031360,gpt2-large
a pigeon is a bird.,pigeon,bird,22,-32.344276905059814,-4.620610986437116,774031360,gpt2-large
a thrush is a bird.,thrush,bird,23,-38.271273612976074,-4.783909201622009,774031360,gpt2-large
a falcon is a bird.,falcon,bird,24,-33.65750741958618,-4.207188427448273,774031360,gpt2-large
a crow is a bird.,crow,bird,25,-33.863741874694824,-4.837677410670689,774031360,gpt2-large
a hawk is a bird.,hawk,bird,26,-33.56839084625244,-4.795484406607492,774031360,gpt2-large
a raven is a bird.,raven,bird,27,-33.99065923690796,-4.855808462415423,774031360,gpt2-large
a goldfinch is a bird.,goldfinch,bird,28,-37.02896547317505,-4.11432949701945,774031360,gpt2-large
a parrot is a bird.,parrot,bird,29,-32.972919940948486,-4.121614992618561,774031360,gpt2-large
a sandpiper is a bird.,sandpiper,bird,30,-36.948537826538086,-4.105393091837565,774031360,gpt2-large
a pheasant is a bird.,pheasant,bird,31,-34.052405834198,-3.783600648244222,774031360,gpt2-large
a catbird is a bird.,catbird,bird,32,-38.132405281066895,-4.766550660133362,774031360,gpt2-large
a crane is a bird.,crane,bird,33,-38.45657539367676,-5.493796484810965,774031360,gpt2-large
an albatross is a bird.,albatross,bird,34,-35.29845428466797,-3.9220504760742188,774031360,gpt2-large
a condor is a bird.,condor,bird,35,-34.481361389160156,-4.3101701736450195,774031360,gpt2-large
a toucan is a bird.,toucan,bird,36,-34.09927034378052,-4.262408792972565,774031360,gpt2-large
an owl is a bird.,owl,bird,37,-33.191227436065674,-4.741603919437954,774031360,gpt2-large
a pelican is a bird.,pelican,bird,38,-34.55006647109985,-4.318758308887482,774031360,gpt2-large
geese are birds.,geese,bird,39,-36.32518196105957,-6.054196993509929,774031360,gpt2-large
a vulture is a bird.,vulture,bird,40,-34.671764850616455,-4.333970606327057,774031360,gpt2-large
a stork is a bird.,stork,bird,41,-35.901517391204834,-4.487689673900604,774031360,gpt2-large
a buzzard is a bird.,buzzard,bird,42,-33.985289096832275,-4.248161137104034,774031360,gpt2-large
a swan is a bird.,swan,bird,43,-34.12652921676636,-4.265816152095795,774031360,gpt2-large
a flamingo is a bird.,flamingo,bird,44,-34.61296892166138,-4.326621115207672,774031360,gpt2-large
a duck is a bird.,duck,bird,45,-32.27872610092163,-4.611246585845947,774031360,gpt2-large
a peacock is a bird.,peacock,bird,46,-34.61111259460449,-4.3263890743255615,774031360,gpt2-large
an egret is a bird.,egret,bird,47,-36.69334697723389,-4.586668372154236,774031360,gpt2-large
a chicken is a bird.,chicken,bird,48,-33.84373092651367,-4.8348187037876675,774031360,gpt2-large
a turkey is a bird.,turkey,bird,49,-34.962934494018555,-4.994704927716937,774031360,gpt2-large
an ostrich is a bird.,ostrich,bird,50,-34.42663240432739,-4.303329050540924,774031360,gpt2-large
a titmouse is a bird.,titmouse,bird,51,-39.967777729034424,-4.995972216129303,774031360,gpt2-large
an emu is a bird.,emu,bird,52,-35.591618061065674,-4.448952257633209,774031360,gpt2-large
a penguin is a bird.,penguin,bird,53,-33.10792398452759,-4.1384904980659485,774031360,gpt2-large
a bat is a bird.,bat,bird,54,-33.94734191894531,-4.849620274135044,774031360,gpt2-large
football is a sport.,football,sport,1,-33.04787826538086,-5.50797971089681,774031360,gpt2-large
baseball is a sport.,baseball,sport,2,-32.47674608230591,-4.63953515461513,774031360,gpt2-large
basketball is a sport.,basketball,sport,3,-34.17806625366211,-5.696344375610352,774031360,gpt2-large
tennis is a sport.,tennis,sport,4,-32.76701545715332,-4.68100220816476,774031360,gpt2-large
softball is a sport.,softball,sport,5,-37.63255071640015,-5.37607867377145,774031360,gpt2-large
canoeing is a sport.,canoeing,sport,6,-36.162081241607666,-4.520260155200958,774031360,gpt2-large
handball is a sport.,handball,sport,7,-38.22157382965088,-5.460224832807269,774031360,gpt2-large
rugby is a sport.,rugby,sport,8,-34.45907163619995,-4.922724519457136,774031360,gpt2-large
hockey is a sport.,hockey,sport,9,-32.43181085586548,-4.633115836552212,774031360,gpt2-large
ice hockey is a sport.,ice hockey,sport,10,-38.6298508644104,-5.5185501234872,774031360,gpt2-large
swimming is a sport.,swimming,sport,11,-33.479817390441895,-4.782831055777414,774031360,gpt2-large
track is a sport.,track,sport,12,-39.349202156066895,-6.558200359344482,774031360,gpt2-large
boxing is a sport.,boxing,sport,13,-35.37443208694458,-5.89573868115743,774031360,gpt2-large
volleyball is a sport.,volleyball,sport,14,-34.90525531768799,-4.3631569147109985,774031360,gpt2-large
lacrosse is a sport.,lacrosse,sport,15,-37.20249366760254,-4.650311708450317,774031360,gpt2-large
skiing is a sport.,skiing,sport,16,-34.38159132003784,-4.911655902862549,774031360,gpt2-large
golf is a sport.,golf,sport,17,-33.1075644493103,-4.729652064187186,774031360,gpt2-large
polo is a sport.,polo,sport,18,-41.082961082458496,-5.868994440351214,774031360,gpt2-large
surfing is a sport.,surfing,sport,19,-33.82402229309082,-4.83200318472726,774031360,gpt2-large
