preamble,stimulus,item,category,rank,score,params,model
A doll,is a toy.,doll,toy,1,-1.2796096801757812,356461657,roberta-large
A top,is a toy.,top,toy,2,-10.846855163574219,356461657,roberta-large
A jack-in-the-box,is a toy.,jack-in-the-box,toy,3,-6.285514831542969,356461657,roberta-large
A toy soldier,is a toy.,toy soldier,toy,4,-5.457035064697266,356461657,roberta-large
A yo-yo,is a toy.,yo-yo,toy,5,-0.8470649719238281,356461657,roberta-large
A block,is a toy.,block,toy,6,-7.42889404296875,356461657,roberta-large
Marbles,are toys.,marbles,toy,7,-6.9846954345703125,356461657,roberta-large
A rattle,is a toy.,rattle,toy,8,-5.585933685302734,356461657,roberta-large
A stuffed animal,is a toy.,stuffed animal,toy,9,-1.9114990234375,356461657,roberta-large
A water pistol,is a toy.,water pistol,toy,10,-5.451591491699219,356461657,roberta-large
A teddy bear,is a toy.,teddy bear,toy,11,-2.5347557067871094,356461657,roberta-large
A rocking horse,is a toy.,rocking horse,toy,12,-4.038967132568359,356461657,roberta-large
A doll house,is a toy.,doll house,toy,13,-2.8711891174316406,356461657,roberta-large
A ball,is a toy.,ball,toy,14,-6.04974365234375,356461657,roberta-large
Jacks,are toys.,jacks,toy,15,-8.244739532470703,356461657,roberta-large
Paper dolls,are toys.,paper dolls,toy,16,-7.175983428955078,356461657,roberta-large
An erector set,is a toy.,erector set,toy,17,-5.544223785400391,356461657,roberta-large
A hula hoop,is a toy.,hula hoop,toy,18,-5.040740966796875,356461657,roberta-large
A jump rope,is a toy.,jump rope,toy,19,-6.564998626708984,356461657,roberta-large
A pogo stick,is a toy.,pogo stick,toy,20,-4.921649932861328,356461657,roberta-large
A clay,is a toy.,clay,toy,21,-9.787910461425781,356461657,roberta-large
A wagon,is a toy.,wagon,toy,22,-9.657798767089844,356461657,roberta-large
A kite,is a toy.,kite,toy,23,-5.599571228027344,356461657,roberta-large
A train,is a toy.,train,toy,24,-7.019264221191406,356461657,roberta-large
A tricycle,is a toy.,tricycle,toy,25,-5.837757110595703,356461657,roberta-large
A coloring book,is a toy.,coloring book,toy,26,-1.9576568603515625,356461657,roberta-large
Crayons,are toys.,crayons,toy,27,-8.23897933959961,356461657,roberta-large
A truck,is a toy.,truck,toy,28,-8.032493591308594,356461657,roberta-large
A puzzle,is a toy.,puzzle,toy,29,-7.3064117431640625,356461657,roberta-large
A fire engine,is a toy.,fire engine,toy,30,-7.016139984130859,356461657,roberta-large
A balloon,is a toy.,balloon,toy,31,-5.2932281494140625,356461657,roberta-large
Skates,are toys.,skates,toy,32,-13.422348022460938,356461657,roberta-large
A baseball,is a toy.,baseball,toy,33,-4.760128021240234,356461657,roberta-large
A drum,is a toy.,drum,toy,34,-6.092357635498047,356461657,roberta-large
A football,is a toy.,football,toy,35,-3.6973953247070312,356461657,roberta-large
A game,is a toy.,game,toy,36,-6.076877593994141,356461657,roberta-large
A swing,is a toy.,swing,toy,37,-7.522010803222656,356461657,roberta-large
A boat,is a toy.,boat,toy,38,-7.776615142822266,356461657,roberta-large
A monopoly,is a toy.,monopoly,toy,39,-12.618247985839844,356461657,roberta-large
A sled,is a toy.,sled,toy,40,-6.349857330322266,356461657,roberta-large
A seesaw,is a toy.,seesaw,toy,41,-6.887119293212891,356461657,roberta-large
Stilts,are toys.,stilts,toy,42,-8.86007308959961,356461657,roberta-large
Checkers,are toys.,checkers,toy,43,-13.89242172241211,356461657,roberta-large
A bat,is a toy.,bat,toy,44,-10.061767578125,356461657,roberta-large
A car,is a toy.,car,toy,45,-4.822551727294922,356461657,roberta-large
An airplane,is a toy.,airplane,toy,46,-7.3276519775390625,356461657,roberta-large
A bicycle,is a toy.,bicycle,toy,47,-4.259700775146484,356461657,roberta-large
A tractor,is a toy.,tractor,toy,48,-7.616474151611328,356461657,roberta-large
A sandbox,is a toy.,sandbox,toy,49,-5.362110137939453,356461657,roberta-large
A bike,is a toy.,bike,toy,50,-4.649787902832031,356461657,roberta-large
A bow and arrow,is a toy.,bow and arrow,toy,51,-7.440944671630859,356461657,roberta-large
A rope,is a toy.,rope,toy,52,-9.309051513671875,356461657,roberta-large
Dishes,are toys.,dishes,toy,53,-16.734466552734375,356461657,roberta-large
Cards,are toys.,cards,toy,54,-11.105819702148438,356461657,roberta-large
A mitt,is a toy.,mitt,toy,55,-8.710582733154297,356461657,roberta-large
A horse,is a toy.,horse,toy,56,-8.055583953857422,356461657,roberta-large
A gun,is a toy.,gun,toy,57,-3.9419288635253906,356461657,roberta-large
Animals,are toys.,animals,toy,58,-8.836170196533203,356461657,roberta-large
A tennis racket,is a toy.,tennis racket,toy,59,-2.9160003662109375,356461657,roberta-large
Books,are toys.,books,toy,60,-7.503086090087891,356461657,roberta-large
A robin,is a bird.,robin,bird,1,-1.2981948852539062,356461657,roberta-large
A sparrow,is a bird.,sparrow,bird,2,-1.0937767028808594,356461657,roberta-large
A bluejay,is a bird.,bluejay,bird,3,-2.685577392578125,356461657,roberta-large
A bluebird,is a bird.,bluebird,bird,4,-2.780101776123047,356461657,roberta-large
A canary,is a bird.,canary,bird,5,-1.6564750671386719,356461657,roberta-large
A blackbird,is a bird.,blackbird,bird,6,-3.788726806640625,356461657,roberta-large
A dove,is a bird.,dove,bird,7,-0.8311920166015625,356461657,roberta-large
A lark,is a bird.,lark,bird,8,-0.8994407653808594,356461657,roberta-large
A swallow,is a bird.,swallow,bird,9,-3.1123695373535156,356461657,roberta-large
A parakeet,is a bird.,parakeet,bird,10,-0.5414009094238281,356461657,roberta-large
An oriole,is a bird.,oriole,bird,11,-0.9936027526855469,356461657,roberta-large
A mockingbird,is a bird.,mockingbird,bird,12,-2.501293182373047,356461657,roberta-large
A redbird,is a bird.,redbird,bird,13,-3.8961029052734375,356461657,roberta-large
A wren,is a bird.,wren,bird,14,-1.9457893371582031,356461657,roberta-large
A finch,is a bird.,finch,bird,15,-1.1375541687011719,356461657,roberta-large
A starling,is a bird.,starling,bird,16,-1.7174911499023438,356461657,roberta-large
A cardinal,is a bird.,cardinal,bird,17,-10.287063598632812,356461657,roberta-large
An eagle,is a bird.,eagle,bird,18,-1.0610237121582031,356461657,roberta-large
