preamble,stimulus,item,category,rank,score,params,model
A gun is a,weapon.,gun,weapon,1,-3.5091068744659424,0,5gram
A pistol is a,weapon.,pistol,weapon,2,-5.47002100944519,0,5gram
A revolver is a,weapon.,revolver,weapon,3,-5.443655729293823,0,5gram
A machine gun is a,weapon.,machine gun,weapon,4,-3.542177677154541,0,5gram
A rifle is a,weapon.,rifle,weapon,5,-3.345962643623352,0,5gram
A switchblade is a,weapon.,switchblade,weapon,6,-5.4069578647613525,0,5gram
A knife is a,weapon.,knife,weapon,7,-5.581795930862427,0,5gram
A dagger is a,weapon.,dagger,weapon,8,-5.518568277359009,0,5gram
A shotgun is a,weapon.,shotgun,weapon,9,-5.483374357223511,0,5gram
A sword is a,weapon.,sword,weapon,10,-5.530075311660767,0,5gram
A bomb is a,weapon.,bomb,weapon,11,-4.382097125053406,0,5gram
A hand grenade is a,weapon.,hand grenade,weapon,12,-5.427216291427612,0,5gram
An atom bomb is a,weapon.,Atom bomb,weapon,13,-4.492515206336975,0,5gram
A bayonet is a,weapon.,bayonet,weapon,14,-5.399959325790405,0,5gram
A spear is a,weapon.,spear,weapon,15,-5.542149782180786,0,5gram
A bazooka is a,weapon.,bazooka,weapon,16,-5.315775156021118,0,5gram
A cannon is a,weapon.,cannon,weapon,17,-5.473072290420532,0,5gram
A bow and arrow is a,weapon.,bow and arrow,weapon,18,-3.439547896385193,0,5gram
A club is a,weapon.,club,weapon,19,-5.734303712844849,0,5gram
A lance is a,weapon.,lance,weapon,20,-5.52135443687439,0,5gram
A brass knuckle is a,weapon.,brass knuckle,weapon,21,-5.400042772293091,0,5gram
A bullet is a,weapon.,bullet,weapon,22,-5.742675065994263,0,5gram
A tomahawk is a,weapon.,tomahawk,weapon,23,-5.521656274795532,0,5gram
A mortar is a,weapon.,mortar,weapon,24,-5.3578197956085205,0,5gram
An arrow is a,weapon.,arrow,weapon,25,-3.472610354423523,0,5gram
A blackjack is a,weapon.,blackjack,weapon,26,-5.373861074447632,0,5gram
A tank is a,weapon.,tank,weapon,27,-5.475702524185181,0,5gram
Teargas is a,weapon.,teargas,weapon,28,-5.322033166885376,0,5gram
A missile is a,weapon.,missile,weapon,29,-5.576324701309204,0,5gram
A whip is a,weapon.,whip,weapon,30,-3.9957412481307983,0,5gram
An ice pick is a,weapon.,ice pick,weapon,31,-5.4439918994903564,0,5gram
A hatchet is a,weapon.,hatchet,weapon,32,-5.446030378341675,0,5gram
A slingshot is a,weapon.,slingshot,weapon,33,-3.362735867500305,0,5gram
A fist is a,weapon.,fist,weapon,34,-5.577583074569702,0,5gram
An axe is a,weapon.,axe,weapon,35,-2.6385914087295532,0,5gram
A bow is a,weapon.,bow,weapon,36,-5.55245041847229,0,5gram
A razor is a,weapon.,razor,weapon,37,-5.497418165206909,0,5gram
A razor blade is a,weapon.,razor blade,weapon,38,-4.243884444236755,0,5gram
A rocket is a,weapon.,rocket,weapon,39,-4.267562747001648,0,5gram
A judo is a,weapon.,judo,weapon,40,-5.341538667678833,0,5gram
A stick is a,weapon.,stick,weapon,41,-5.447271108627319,0,5gram
A poison is a,weapon.,poison,weapon,42,-3.863493323326111,0,5gram
A rock is a,weapon.,rock,weapon,43,-5.885730504989624,0,5gram
A stone is a,weapon.,stone,weapon,44,-5.609480619430542,0,5gram
Gas is a,weapon.,gas,weapon,45,-5.5641491413116455,0,5gram
A chain is a,weapon.,chain,weapon,46,-5.580213785171509,0,5gram
A scissor is a,weapon.,scissor,weapon,47,-5.322033166885376,0,5gram
A brick is a,weapon.,brick,weapon,48,-5.445361852645874,0,5gram
A pitchfork is a,weapon.,pitchfork,weapon,49,-5.308077573776245,0,5gram
A hammer is a,weapon.,hammer,weapon,50,-4.396334528923035,0,5gram
A word is a,weapon.,word,weapon,51,-5.545769453048706,0,5gram
A hand is a,weapon.,hand,weapon,52,-5.50378155708313,0,5gram
A pipe is a,weapon.,pipe,weapon,53,-5.489736318588257,0,5gram
A rope is a,weapon.,rope,weapon,54,-5.543601751327515,0,5gram
An airplane is a,weapon.,airplane,weapon,55,-5.382251024246216,0,5gram
A foot is a,weapon.,foot,weapon,56,-5.470123052597046,0,5gram
A car is a,weapon.,car,weapon,57,-5.552773714065552,0,5gram
A screwdriver is a,weapon.,screwdriver,weapon,58,-5.370379686355591,0,5gram
Glass is a,weapon.,glass,weapon,59,-5.588702440261841,0,5gram
A shoe is a,weapon.,shoe,weapon,60,-5.488811254501343,0,5gram
Orange is a,fruit.,orange,fruit,1,-6.0254881381988525,0,5gram
Apple is a,fruit.,apple,fruit,2,-5.9651172161102295,0,5gram
Banana is a,fruit.,banana,fruit,3,-6.045231580734253,0,5gram
Peach is a,fruit.,peach,fruit,4,-5.878219842910767,0,5gram
Pear is a,fruit.,pear,fruit,5,-3.4398895502090454,0,5gram
Apricot is a,fruit.,apricot,fruit,6,-2.3966466188430786,0,5gram
Tangerine is a,fruit.,tangerine,fruit,7,-5.84909987449646,0,5gram
Plum is a,fruit.,plum,fruit,8,-3.536963105201721,0,5gram
Grape is a,fruit.,grape,fruit,9,-4.53446102142334,0,5gram
Nectarine is a,fruit.,nectarine,fruit,10,-5.704273462295532,0,5gram
Strawberry is a,fruit.,strawberry,fruit,11,-5.85496973991394,0,5gram
Grapefruit is a,fruit.,grapefruit,fruit,12,-5.855819463729858,0,5gram
Berry is a,fruit.,berry,fruit,13,-5.952781438827515,0,5gram
Cherry is a,fruit.,cherry,fruit,14,-6.123465299606323,0,5gram
Pineapple is a,fruit.,pineapple,fruit,15,-5.812970876693726,0,5gram
Blackberry is a,fruit.,blackberry,fruit,16,-5.9806177616119385,0,5gram
Melon is a,fruit.,melon,fruit,17,-5.88544774055481,0,5gram
Blueberry is a,fruit.,blueberry,fruit,18,-6.043858766555786,0,5gram
Raspberry is a,fruit.,raspberry,fruit,19,-6.023597002029419,0,5gram
Lemon is a,fruit.,lemon,fruit,20,-5.895123243331909,0,5gram
Black raspberry is a,fruit.,black raspberry,fruit,21,-6.023597002029419,0,5gram
Boysenberry is a,fruit.,boysenberry,fruit,22,-5.704273462295532,0,5gram
Watermelon is a,fruit.,watermelon,fruit,23,-5.839744806289673,0,5gram
Cantaloupe is a,fruit.,cantaloupe,fruit,24,-1.6394448280334473,0,5gram
Lime is a,fruit.,lime,fruit,25,-5.850281476974487,0,5gram
Tangelo is a,fruit.,tangelo,fruit,26,-5.704273462295532,0,5gram
Papaya is a,fruit.,papaya,fruit,27,-2.6684311628341675,0,5gram
Honeydew is a,fruit.,honeydew,fruit,28,-5.7890965938568115,0,5gram
Fig is a,fruit.,fig,fruit,29,-5.989607572555542,0,5gram
Mango is a,fruit.,mango,fruit,30,-6.202641725540161,0,5gram
Guava is a,fruit.,guava,fruit,31,-5.879567861557007,0,5gram
Pomegranate is a,fruit.,pomegranate,fruit,32,-5.8094398975372314,0,5gram
Cranberry is a,fruit.,cranberry,fruit,33,-5.9023520946502686,0,5gram
Passion fruit is a,fruit.,passion fruit,fruit,34,-4.462410569190979,0,5gram
Prune is a,fruit.,prune,fruit,35,-5.7575905323028564,0,5gram
Gooseberry is a,fruit.,gooseberry,fruit,36,-5.842564344406128,0,5gram
Date is a,fruit.,date,fruit,37,-5.885164976119995,0,5gram
Kumquat is a,fruit.,kumquat,fruit,38,-5.704273462295532,0,5gram
Raisin is a,fruit.,raisin,fruit,39,-5.812970876693726,0,5gram
Muskmelon is a,fruit.,muskmelon,fruit,40,-5.704273462295532,0,5gram
Persimmon is a,fruit.,persimmon,fruit,41,-5.812970876693726,0,5gram
Pawpaw is a,fruit.,pawpaw,fruit,42,-5.884207010269165,0,5gram
Coconut is a,fruit.,coconut,fruit,43,-5.96528172492981,0,5gram
Avocado is a,fruit.,avocado,fruit,44,-5.84870171546936,0,5gram
Pumpkin is a,fruit.,pumpkin,fruit,45,-5.849218130111694,0,5gram
Tomato is a,fruit.,tomato,fruit,46,-2.237921893596649,0,5gram
Nut is a,fruit.,nut,fruit,47,-3.6905906200408936,0,5gram
Gourd is a,fruit.,gourd,fruit,48,-5.863616704940796,0,5gram
Olive is a,fruit.,olive,fruit,49,-6.0505897998809814,0,5gram
Pickle is a,fruit.,pickle,fruit,50,-5.9730470180511475,0,5gram
Squash is a,fruit.,squash,fruit,51,-5.988256216049194,0,5gram
A doll is a,toy.,doll,toy,1,-4.089861512184143,0,5gram
A top is a,toy.,top,toy,2,-2.974258542060852,0,5gram
A jack-in-the-box is a,toy.,jack-in-the-box,toy,3,-5.490807414054871,0,5gram
A toy soldier is a,toy.,toy soldier,toy,4,-5.8784321546554565,0,5gram
A yo-yo is a,toy.,yo-yo,toy,5,-5.490807414054871,0,5gram
A block is a,toy.,block,toy,6,-6.034927248954773,0,5gram
Marbles are,toys.,marbles,toy,7,-6.255873799324036,0,5gram
A rattle is a,toy.,rattle,toy,8,-5.617733359336853,0,5gram
A stuffed animal is a,toy.,stuffed animal,toy,9,-5.625695586204529,0,5gram
A water pistol is a,toy.,water pistol,toy,10,-5.63673198223114,0,5gram
A teddy bear is a,toy.,teddy bear,toy,11,-3.9781532287597656,0,5gram
A rocking horse is a,toy.,rocking horse,toy,12,-2.8183958530426025,0,5gram
A doll house is a,toy.,doll house,toy,13,-6.338592529296875,0,5gram
A ball is a,toy.,ball,toy,14,-5.080534934997559,0,5gram
Jacks are,toys.,jacks,toy,15,-6.390721440315247,0,5gram
Paper dolls are,toys.,paper dolls,toy,16,-4.852408170700073,0,5gram
An erector set is a,toy.,erector set,toy,17,-5.178892612457275,0,5gram
A hula hoop is a,toy.,hula hoop,toy,18,-2.21433687210083,0,5gram
A jump rope is a,toy.,jump rope,toy,19,-5.685620665550232,0,5gram
A pogo stick is a,toy.,pogo stick,toy,20,-5.674699187278748,0,5gram
A clay is a,toy.,clay,toy,21,-5.669255614280701,0,5gram
A wagon is a,toy.,wagon,toy,22,-5.702843070030212,0,5gram
A kite is a,toy.,kite,toy,23,-5.758562445640564,0,5gram
A train is a,toy.,train,toy,24,-5.14185643196106,0,5gram
A tricycle is a,toy.,tricycle,toy,25,-5.599504828453064,0,5gram
A coloring book is a,toy.,coloring book,toy,26,-5.7085264921188354,0,5gram
Crayons are,toys.,crayons,toy,27,-6.185787796974182,0,5gram
A truck is a,toy.,truck,toy,28,-5.774603724479675,0,5gram
A puzzle is a,toy.,puzzle,toy,29,-4.45262336730957,0,5gram
A fire engine is a,toy.,fire engine,toy,30,-5.825993895530701,0,5gram
A balloon is a,toy.,balloon,toy,31,-5.761844515800476,0,5gram
Skates are,toys.,skates,toy,32,-6.297155022621155,0,5gram
A baseball is a,toy.,baseball,toy,33,-5.804158091545105,0,5gram
A drum is a,toy.,drum,toy,34,-6.080410838127136,0,5gram
A football is a,toy.,football,toy,35,-5.808051943778992,0,5gram
A game is a,toy.,game,toy,36,-5.894734740257263,0,5gram
A swing is a,toy.,swing,toy,37,-5.952211260795593,0,5gram
A boat is a,toy.,boat,toy,38,-4.956438779830933,0,5gram
A monopoly is a,toy.,monopoly,toy,39,-5.704450011253357,0,5gram
A sled is a,toy.,sled,toy,40,-5.619010329246521,0,5gram
A seesaw is a,toy.,seesaw,toy,41,-5.623983263969421,0,5gram
Stilts are,toys.,stilts,toy,42,-6.307801842689514,0,5gram
Checkers are,toys.,checkers,toy,43,-6.148257374763489,0,5gram
A bat is a,toy.,bat,toy,44,-5.871433615684509,0,5gram
A car is a,toy.,car,toy,45,-5.120216369628906,0,5gram
An airplane is a,toy.,airplane,toy,46,-5.604342341423035,0,5gram
A bicycle is a,toy.,bicycle,toy,47,-5.849204897880554,0,5gram
A tractor is a,toy.,tractor,toy,48,-5.630569338798523,0,5gram
A sandbox is a,toy.,sandbox,toy,49,-5.61241090297699,0,5gram
A bike is a,toy.,bike,toy,50,-5.729556918144226,0,5gram
A bow and arrow is a,toy.,bow and arrow,toy,51,-5.686318755149841,0,5gram
A rope is a,toy.,rope,toy,52,-5.7656930685043335,0,5gram
Dishes are,toys.,dishes,toy,53,-6.600287079811096,0,5gram
Cards are,toys.,cards,toy,54,-6.888269543647766,0,5gram
A mitt is a,toy.,mitt,toy,55,-5.544124484062195,0,5gram
A horse is a,toy.,horse,toy,56,-3.989784002304077,0,5gram
A gun is a,toy.,gun,toy,57,-4.116311550140381,0,5gram
Animals are,toys.,animals,toy,58,-6.769426465034485,0,5gram
A tennis racket is a,toy.,tennis racket,toy,59,-5.743730902671814,0,5gram
Books are,toys.,books,toy,60,-6.775330662727356,0,5gram
A pant is a type of,clothing.,pant,clothing,1,-4.250643312931061,0,5gram
A shirt is a type of,clothing.,shirt,clothing,2,-4.250643312931061,0,5gram
A dress is a type of,clothing.,dress,clothing,3,-4.250643312931061,0,5gram
A skirt is a type of,clothing.,skirt,clothing,4,-4.250643312931061,0,5gram
A blouse is a type of,clothing.,blouse,clothing,5,-4.250643312931061,0,5gram
A suit is a type of,clothing.,suit,clothing,6,-4.250643312931061,0,5gram
A slack is a type of,clothing.,slack,clothing,7,-4.250643312931061,0,5gram
A jacket is a type of,clothing.,jacket,clothing,8,-4.250643312931061,0,5gram
A coat is a type of,clothing.,coat,clothing,9,-4.250643312931061,0,5gram
A sweater is a type of,clothing.,sweater,clothing,10,-4.250643312931061,0,5gram
A sweatshirt is a type of,clothing.,sweatshirt,clothing,11,-4.250643312931061,0,5gram
An underpant is a type of,clothing.,underpant,clothing,12,-4.250643312931061,0,5gram
A sports jacket is a type of,clothing.,sports jacket,clothing,13,-4.250643312931061,0,5gram
A jumper is a type of,clothing.,jumper,clothing,14,-4.250643312931061,0,5gram
A panty is a type of,clothing.,panty,clothing,15,-4.250643312931061,0,5gram
A sock is a type of,clothing.,sock,clothing,16,-4.250643312931061,0,5gram
A parka is a type of,clothing.,parka,clothing,17,-4.250643312931061,0,5gram
A pajama is a type of,clothing.,pajama,clothing,18,-4.250643312931061,0,5gram
An undershirt is a type of,clothing.,undershirt,clothing,19,-4.250643312931061,0,5gram
An overcoat is a type of,clothing.,overcoat,clothing,20,-4.250643312931061,0,5gram
A nightgown is a type of,clothing.,nightgown,clothing,21,-4.250643312931061,0,5gram
A raincoat is a type of,clothing.,raincoat,clothing,22,-4.250643312931061,0,5gram
A bathing suit is a type of,clothing.,bathing suit,clothing,23,-4.250643312931061,0,5gram
A bathrobe is a type of,clothing.,bathrobe,clothing,24,-4.250643312931061,0,5gram
A slip is a type of,clothing.,slip,clothing,25,-4.250643312931061,0,5gram
A bra is a type of,clothing.,bra,clothing,26,-4.250643312931061,0,5gram
A shoe is a type of,clothing.,shoe,clothing,27,-4.250643312931061,0,5gram
A tuxedo is a type of,clothing.,tuxedo,clothing,28,-4.250643312931061,0,5gram
A stocking is a type of,clothing.,stocking,clothing,29,-4.250643312931061,0,5gram
A vest is a type of,clothing.,vest,clothing,30,-4.250643312931061,0,5gram
A nylon is a type of,clothing.,nylon,clothing,31,-4.250643312931061,0,5gram
A cape is a type of,clothing.,cape,clothing,32,-4.250643312931061,0,5gram
