preamble,stimulus,item,category,rank,score,params,model
A gun is a,weapon.,gun,weapon,1,-1.0974140167236328,11221680,albert-base-v1
A pistol is a,weapon.,pistol,weapon,2,-1.6066827774047852,11221680,albert-base-v1
A revolver is a,weapon.,revolver,weapon,3,-1.9914207458496094,11221680,albert-base-v1
A machine gun is a,weapon.,machine gun,weapon,4,-1.089695930480957,11221680,albert-base-v1
A rifle is a,weapon.,rifle,weapon,5,-1.688796043395996,11221680,albert-base-v1
A switchblade is a,weapon.,switchblade,weapon,6,-3.4893455505371094,11221680,albert-base-v1
A knife is a,weapon.,knife,weapon,7,-2.218499183654785,11221680,albert-base-v1
A dagger is a,weapon.,dagger,weapon,8,-2.642378807067871,11221680,albert-base-v1
A shotgun is a,weapon.,shotgun,weapon,9,-2.2768564224243164,11221680,albert-base-v1
A sword is a,weapon.,sword,weapon,10,-1.6596403121948242,11221680,albert-base-v1
A bomb is a,weapon.,bomb,weapon,11,-2.0790481567382812,11221680,albert-base-v1
A hand grenade is a,weapon.,hand grenade,weapon,12,-1.1379461288452148,11221680,albert-base-v1
An atom bomb is a,weapon.,Atom bomb,weapon,13,-3.067567825317383,11221680,albert-base-v1
A bayonet is a,weapon.,bayonet,weapon,14,-1.7710256576538086,11221680,albert-base-v1
A spear is a,weapon.,spear,weapon,15,-2.2374229431152344,11221680,albert-base-v1
A bazooka is a,weapon.,bazooka,weapon,16,-4.625925064086914,11221680,albert-base-v1
A cannon is a,weapon.,cannon,weapon,17,-1.8956451416015625,11221680,albert-base-v1
A bow and arrow is a,weapon.,bow and arrow,weapon,18,-3.369927406311035,11221680,albert-base-v1
A club is a,weapon.,club,weapon,19,-8.745025634765625,11221680,albert-base-v1
A lance is a,weapon.,lance,weapon,20,-3.4039344787597656,11221680,albert-base-v1
A brass knuckle is a,weapon.,brass knuckle,weapon,21,-4.103425979614258,11221680,albert-base-v1
A bullet is a,weapon.,bullet,weapon,22,-2.67380428314209,11221680,albert-base-v1
A tomahawk is a,weapon.,tomahawk,weapon,23,-4.125652313232422,11221680,albert-base-v1
A mortar is a,weapon.,mortar,weapon,24,-2.527355194091797,11221680,albert-base-v1
An arrow is a,weapon.,arrow,weapon,25,-2.786787986755371,11221680,albert-base-v1
A blackjack is a,weapon.,blackjack,weapon,26,-4.340777397155762,11221680,albert-base-v1
A tank is a,weapon.,tank,weapon,27,-3.240952491760254,11221680,albert-base-v1
Teargas is a,weapon.,teargas,weapon,28,-8.385149002075195,11221680,albert-base-v1
A missile is a,weapon.,missile,weapon,29,-1.296248435974121,11221680,albert-base-v1
A whip is a,weapon.,whip,weapon,30,-3.7152891159057617,11221680,albert-base-v1
An ice pick is a,weapon.,ice pick,weapon,31,-4.823343276977539,11221680,albert-base-v1
A hatchet is a,weapon.,hatchet,weapon,32,-5.188365936279297,11221680,albert-base-v1
A slingshot is a,weapon.,slingshot,weapon,33,-2.6336631774902344,11221680,albert-base-v1
A fist is a,weapon.,fist,weapon,34,-3.135997772216797,11221680,albert-base-v1
An axe is a,weapon.,axe,weapon,35,-3.3980941772460938,11221680,albert-base-v1
A bow is a,weapon.,bow,weapon,36,-3.434366226196289,11221680,albert-base-v1
A razor is a,weapon.,razor,weapon,37,-3.688688278198242,11221680,albert-base-v1
A razor blade is a,weapon.,razor blade,weapon,38,-2.389829635620117,11221680,albert-base-v1
A rocket is a,weapon.,rocket,weapon,39,-2.788705825805664,11221680,albert-base-v1
A judo is a,weapon.,judo,weapon,40,-4.122018814086914,11221680,albert-base-v1
A stick is a,weapon.,stick,weapon,41,-4.457927703857422,11221680,albert-base-v1
A poison is a,weapon.,poison,weapon,42,-3.9834184646606445,11221680,albert-base-v1
A rock is a,weapon.,rock,weapon,43,-6.315716743469238,11221680,albert-base-v1
A stone is a,weapon.,stone,weapon,44,-5.479345321655273,11221680,albert-base-v1
Gas is a,weapon.,gas,weapon,45,-6.470175743103027,11221680,albert-base-v1
A chain is a,weapon.,chain,weapon,46,-5.872708320617676,11221680,albert-base-v1
A scissor is a,weapon.,scissor,weapon,47,-3.8836069107055664,11221680,albert-base-v1
A brick is a,weapon.,brick,weapon,48,-7.528024673461914,11221680,albert-base-v1
A pitchfork is a,weapon.,pitchfork,weapon,49,-3.4611873626708984,11221680,albert-base-v1
A hammer is a,weapon.,hammer,weapon,50,-2.958004951477051,11221680,albert-base-v1
A word is a,weapon.,word,weapon,51,-7.3307013511657715,11221680,albert-base-v1
A hand is a,weapon.,hand,weapon,52,-4.757420539855957,11221680,albert-base-v1
A pipe is a,weapon.,pipe,weapon,53,-4.595895767211914,11221680,albert-base-v1
A rope is a,weapon.,rope,weapon,54,-5.070923805236816,11221680,albert-base-v1
An airplane is a,weapon.,airplane,weapon,55,-4.950722694396973,11221680,albert-base-v1
A foot is a,weapon.,foot,weapon,56,-5.045764923095703,11221680,albert-base-v1
A car is a,weapon.,car,weapon,57,-6.107236862182617,11221680,albert-base-v1
A screwdriver is a,weapon.,screwdriver,weapon,58,-4.467560768127441,11221680,albert-base-v1
Glass is a,weapon.,glass,weapon,59,-5.12264347076416,11221680,albert-base-v1
