preamble,stimulus,item,category,rank,score,params,model
A gun is a,weapon.,gun,weapon,1,-1.2752208709716797,54821040,albert-xlarge-v1
A pistol is a,weapon.,pistol,weapon,2,-2.820192337036133,54821040,albert-xlarge-v1
A revolver is a,weapon.,revolver,weapon,3,-3.6383705139160156,54821040,albert-xlarge-v1
A machine gun is a,weapon.,machine gun,weapon,4,-2.4292068481445312,54821040,albert-xlarge-v1
A rifle is a,weapon.,rifle,weapon,5,-2.1458959579467773,54821040,albert-xlarge-v1
A switchblade is a,weapon.,switchblade,weapon,6,-3.515186309814453,54821040,albert-xlarge-v1
A knife is a,weapon.,knife,weapon,7,-2.4991579055786133,54821040,albert-xlarge-v1
A dagger is a,weapon.,dagger,weapon,8,-2.000185966491699,54821040,albert-xlarge-v1
A shotgun is a,weapon.,shotgun,weapon,9,-2.9811582565307617,54821040,albert-xlarge-v1
A sword is a,weapon.,sword,weapon,10,-1.7078285217285156,54821040,albert-xlarge-v1
A bomb is a,weapon.,bomb,weapon,11,-2.55979061126709,54821040,albert-xlarge-v1
A hand grenade is a,weapon.,hand grenade,weapon,12,-2.883315086364746,54821040,albert-xlarge-v1
An atom bomb is a,weapon.,Atom bomb,weapon,13,-2.6411209106445312,54821040,albert-xlarge-v1
A bayonet is a,weapon.,bayonet,weapon,14,-2.595050811767578,54821040,albert-xlarge-v1
A spear is a,weapon.,spear,weapon,15,-1.9796638488769531,54821040,albert-xlarge-v1
A bazooka is a,weapon.,bazooka,weapon,16,-7.118260860443115,54821040,albert-xlarge-v1
A cannon is a,weapon.,cannon,weapon,17,-2.3433151245117188,54821040,albert-xlarge-v1
A bow and arrow is a,weapon.,bow and arrow,weapon,18,-0.6674556732177734,54821040,albert-xlarge-v1
A club is a,weapon.,club,weapon,19,-8.060115814208984,54821040,albert-xlarge-v1
A lance is a,weapon.,lance,weapon,20,-3.2762222290039062,54821040,albert-xlarge-v1
A brass knuckle is a,weapon.,brass knuckle,weapon,21,-5.275793075561523,54821040,albert-xlarge-v1
A bullet is a,weapon.,bullet,weapon,22,-2.704832077026367,54821040,albert-xlarge-v1
A tomahawk is a,weapon.,tomahawk,weapon,23,-4.026894569396973,54821040,albert-xlarge-v1
A mortar is a,weapon.,mortar,weapon,24,-5.884913444519043,54821040,albert-xlarge-v1
An arrow is a,weapon.,arrow,weapon,25,-3.4917383193969727,54821040,albert-xlarge-v1
A blackjack is a,weapon.,blackjack,weapon,26,-5.535826683044434,54821040,albert-xlarge-v1
A tank is a,weapon.,tank,weapon,27,-6.577719688415527,54821040,albert-xlarge-v1
Teargas is a,weapon.,teargas,weapon,28,-7.743320941925049,54821040,albert-xlarge-v1
A missile is a,weapon.,missile,weapon,29,-2.48555850982666,54821040,albert-xlarge-v1
A whip is a,weapon.,whip,weapon,30,-2.8874711990356445,54821040,albert-xlarge-v1
An ice pick is a,weapon.,ice pick,weapon,31,-4.399748802185059,54821040,albert-xlarge-v1
A hatchet is a,weapon.,hatchet,weapon,32,-4.323329925537109,54821040,albert-xlarge-v1
A slingshot is a,weapon.,slingshot,weapon,33,-2.843358039855957,54821040,albert-xlarge-v1
A fist is a,weapon.,fist,weapon,34,-4.02665901184082,54821040,albert-xlarge-v1
An axe is a,weapon.,axe,weapon,35,-4.5350751876831055,54821040,albert-xlarge-v1
A bow is a,weapon.,bow,weapon,36,-2.959941864013672,54821040,albert-xlarge-v1
A razor is a,weapon.,razor,weapon,37,-4.121459007263184,54821040,albert-xlarge-v1
A razor blade is a,weapon.,razor blade,weapon,38,-4.655853271484375,54821040,albert-xlarge-v1
A rocket is a,weapon.,rocket,weapon,39,-5.058608055114746,54821040,albert-xlarge-v1
A judo is a,weapon.,judo,weapon,40,-5.602709770202637,54821040,albert-xlarge-v1
A stick is a,weapon.,stick,weapon,41,-4.524630546569824,54821040,albert-xlarge-v1
A poison is a,weapon.,poison,weapon,42,-4.219301223754883,54821040,albert-xlarge-v1
A rock is a,weapon.,rock,weapon,43,-7.066905975341797,54821040,albert-xlarge-v1
A stone is a,weapon.,stone,weapon,44,-4.482601165771484,54821040,albert-xlarge-v1
Gas is a,weapon.,gas,weapon,45,-6.712994575500488,54821040,albert-xlarge-v1
A chain is a,weapon.,chain,weapon,46,-7.928856372833252,54821040,albert-xlarge-v1
A scissor is a,weapon.,scissor,weapon,47,-4.980180740356445,54821040,albert-xlarge-v1
A brick is a,weapon.,brick,weapon,48,-8.877998352050781,54821040,albert-xlarge-v1
A pitchfork is a,weapon.,pitchfork,weapon,49,-4.897635459899902,54821040,albert-xlarge-v1
A hammer is a,weapon.,hammer,weapon,50,-3.384373664855957,54821040,albert-xlarge-v1
A word is a,weapon.,word,weapon,51,-4.9461259841918945,54821040,albert-xlarge-v1
A hand is a,weapon.,hand,weapon,52,-3.8737430572509766,54821040,albert-xlarge-v1
A pipe is a,weapon.,pipe,weapon,53,-6.517557144165039,54821040,albert-xlarge-v1
A rope is a,weapon.,rope,weapon,54,-6.4713945388793945,54821040,albert-xlarge-v1
An airplane is a,weapon.,airplane,weapon,55,-6.096549987792969,54821040,albert-xlarge-v1
A foot is a,weapon.,foot,weapon,56,-6.219788551330566,54821040,albert-xlarge-v1
A car is a,weapon.,car,weapon,57,-5.753456115722656,54821040,albert-xlarge-v1
A screwdriver is a,weapon.,screwdriver,weapon,58,-5.2825775146484375,54821040,albert-xlarge-v1
Glass is a,weapon.,glass,weapon,59,-12.305767059326172,54821040,albert-xlarge-v1
A shoe is a,weapon.,shoe,weapon,60,-6.615514755249023,54821040,albert-xlarge-v1
Orange is a,fruit.,orange,fruit,1,-10.444815635681152,54821040,albert-xlarge-v1
Apple is a,fruit.,apple,fruit,2,-13.508315086364746,54821040,albert-xlarge-v1
Banana is a,fruit.,banana,fruit,3,-8.777551651000977,54821040,albert-xlarge-v1
Peach is a,fruit.,peach,fruit,4,-14.330340385437012,54821040,albert-xlarge-v1
Pear is a,fruit.,pear,fruit,5,-12.862167358398438,54821040,albert-xlarge-v1
Apricot is a,fruit.,apricot,fruit,6,-8.682743072509766,54821040,albert-xlarge-v1
Tangerine is a,fruit.,tangerine,fruit,7,-10.200077056884766,54821040,albert-xlarge-v1
Plum is a,fruit.,plum,fruit,8,-5.7450151443481445,54821040,albert-xlarge-v1
Grape is a,fruit.,grape,fruit,9,-8.821300506591797,54821040,albert-xlarge-v1
Nectarine is a,fruit.,nectarine,fruit,10,-10.750264167785645,54821040,albert-xlarge-v1
Strawberry is a,fruit.,strawberry,fruit,11,-5.716152191162109,54821040,albert-xlarge-v1
Grapefruit is a,fruit.,grapefruit,fruit,12,-7.528074264526367,54821040,albert-xlarge-v1
Berry is a,fruit.,berry,fruit,13,-17.059091567993164,54821040,albert-xlarge-v1
Cherry is a,fruit.,cherry,fruit,14,-16.296390533447266,54821040,albert-xlarge-v1
Pineapple is a,fruit.,pineapple,fruit,15,-5.502405166625977,54821040,albert-xlarge-v1
Blackberry is a,fruit.,blackberry,fruit,16,-12.642070770263672,54821040,albert-xlarge-v1
Melon is a,fruit.,melon,fruit,17,-13.922548294067383,54821040,albert-xlarge-v1
Blueberry is a,fruit.,blueberry,fruit,18,-8.286691665649414,54821040,albert-xlarge-v1
Raspberry is a,fruit.,raspberry,fruit,19,-6.842133045196533,54821040,albert-xlarge-v1
Lemon is a,fruit.,lemon,fruit,20,-12.620150566101074,54821040,albert-xlarge-v1
Black raspberry is a,fruit.,black raspberry,fruit,21,-9.58230209350586,54821040,albert-xlarge-v1
Boysenberry is a,fruit.,boysenberry,fruit,22,-6.103466987609863,54821040,albert-xlarge-v1
Watermelon is a,fruit.,watermelon,fruit,23,-10.943252563476562,54821040,albert-xlarge-v1
Cantaloupe is a,fruit.,cantaloupe,fruit,24,-11.677210807800293,54821040,albert-xlarge-v1
Lime is a,fruit.,lime,fruit,25,-7.266373634338379,54821040,albert-xlarge-v1
Tangelo is a,fruit.,tangelo,fruit,26,-16.001224517822266,54821040,albert-xlarge-v1
Papaya is a,fruit.,papaya,fruit,27,-13.339275360107422,54821040,albert-xlarge-v1
Honeydew is a,fruit.,honeydew,fruit,28,-7.209558010101318,54821040,albert-xlarge-v1
Fig is a,fruit.,fig,fruit,29,-9.030220985412598,54821040,albert-xlarge-v1
