preamble,stimulus,item,category,rank,score,params,model
A gun is a,weapon.,gun,weapon,1,-1.0886726379394531,109514298,bert-base-uncased
A pistol is a,weapon.,pistol,weapon,2,-1.9237480163574219,109514298,bert-base-uncased
A revolver is a,weapon.,revolver,weapon,3,-2.7366724014282227,109514298,bert-base-uncased
A machine gun is a,weapon.,machine gun,weapon,4,-0.7621650695800781,109514298,bert-base-uncased
A rifle is a,weapon.,rifle,weapon,5,-1.4126415252685547,109514298,bert-base-uncased
A switchblade is a,weapon.,switchblade,weapon,6,-1.8697786331176758,109514298,bert-base-uncased
A knife is a,weapon.,knife,weapon,7,-1.5052862167358398,109514298,bert-base-uncased
A dagger is a,weapon.,dagger,weapon,8,-0.8716936111450195,109514298,bert-base-uncased
A shotgun is a,weapon.,shotgun,weapon,9,-2.8852853775024414,109514298,bert-base-uncased
A sword is a,weapon.,sword,weapon,10,-0.8459157943725586,109514298,bert-base-uncased
A bomb is a,weapon.,bomb,weapon,11,-1.4842290878295898,109514298,bert-base-uncased
A hand grenade is a,weapon.,hand grenade,weapon,12,-1.1071529388427734,109514298,bert-base-uncased
An atom bomb is a,weapon.,Atom bomb,weapon,13,-1.119821548461914,109514298,bert-base-uncased
A bayonet is a,weapon.,bayonet,weapon,14,-0.37224674224853516,109514298,bert-base-uncased
A spear is a,weapon.,spear,weapon,15,-0.6296281814575195,109514298,bert-base-uncased
A bazooka is a,weapon.,bazooka,weapon,16,-0.9459953308105469,109514298,bert-base-uncased
A cannon is a,weapon.,cannon,weapon,17,-1.8698320388793945,109514298,bert-base-uncased
A bow and arrow is a,weapon.,bow and arrow,weapon,18,-0.665074348449707,109514298,bert-base-uncased
A club is a,weapon.,club,weapon,19,-9.786983489990234,109514298,bert-base-uncased
A lance is a,weapon.,lance,weapon,20,-2.7412919998168945,109514298,bert-base-uncased
A brass knuckle is a,weapon.,brass knuckle,weapon,21,-2.4560775756835938,109514298,bert-base-uncased
A bullet is a,weapon.,bullet,weapon,22,-2.8920421600341797,109514298,bert-base-uncased
A tomahawk is a,weapon.,tomahawk,weapon,23,-1.9271621704101562,109514298,bert-base-uncased
A mortar is a,weapon.,mortar,weapon,24,-7.049540996551514,109514298,bert-base-uncased
An arrow is a,weapon.,arrow,weapon,25,-2.011791229248047,109514298,bert-base-uncased
A blackjack is a,weapon.,blackjack,weapon,26,-8.110296249389648,109514298,bert-base-uncased
A tank is a,weapon.,tank,weapon,27,-6.110871315002441,109514298,bert-base-uncased
Teargas is a,weapon.,teargas,weapon,28,-10.059569358825684,109514298,bert-base-uncased
A missile is a,weapon.,missile,weapon,29,-1.3763446807861328,109514298,bert-base-uncased
A whip is a,weapon.,whip,weapon,30,-4.226503372192383,109514298,bert-base-uncased
An ice pick is a,weapon.,ice pick,weapon,31,-3.583019256591797,109514298,bert-base-uncased
A hatchet is a,weapon.,hatchet,weapon,32,-2.8002233505249023,109514298,bert-base-uncased
A slingshot is a,weapon.,slingshot,weapon,33,-1.3440160751342773,109514298,bert-base-uncased
A fist is a,weapon.,fist,weapon,34,-2.2629213333129883,109514298,bert-base-uncased
An axe is a,weapon.,axe,weapon,35,-0.5776481628417969,109514298,bert-base-uncased
A bow is a,weapon.,bow,weapon,36,-2.6487503051757812,109514298,bert-base-uncased
A razor is a,weapon.,razor,weapon,37,-4.33888053894043,109514298,bert-base-uncased
A razor blade is a,weapon.,razor blade,weapon,38,-3.2648916244506836,109514298,bert-base-uncased
A rocket is a,weapon.,rocket,weapon,39,-3.716794013977051,109514298,bert-base-uncased
A judo is a,weapon.,judo,weapon,40,-4.331037998199463,109514298,bert-base-uncased
A stick is a,weapon.,stick,weapon,41,-2.3999557495117188,109514298,bert-base-uncased
A poison is a,weapon.,poison,weapon,42,-3.502711296081543,109514298,bert-base-uncased
A rock is a,weapon.,rock,weapon,43,-7.095277309417725,109514298,bert-base-uncased
A stone is a,weapon.,stone,weapon,44,-6.507724285125732,109514298,bert-base-uncased
Gas is a,weapon.,gas,weapon,45,-5.053020477294922,109514298,bert-base-uncased
A chain is a,weapon.,chain,weapon,46,-7.480181694030762,109514298,bert-base-uncased
A scissor is a,weapon.,scissor,weapon,47,-3.8529343605041504,109514298,bert-base-uncased
A brick is a,weapon.,brick,weapon,48,-6.243093967437744,109514298,bert-base-uncased
A pitchfork is a,weapon.,pitchfork,weapon,49,-4.698253631591797,109514298,bert-base-uncased
A hammer is a,weapon.,hammer,weapon,50,-2.6789941787719727,109514298,bert-base-uncased
A word is a,weapon.,word,weapon,51,-7.020442008972168,109514298,bert-base-uncased
A hand is a,weapon.,hand,weapon,52,-3.761859893798828,109514298,bert-base-uncased
A pipe is a,weapon.,pipe,weapon,53,-6.731520175933838,109514298,bert-base-uncased
A rope is a,weapon.,rope,weapon,54,-7.09824800491333,109514298,bert-base-uncased
An airplane is a,weapon.,airplane,weapon,55,-5.1380486488342285,109514298,bert-base-uncased
A foot is a,weapon.,foot,weapon,56,-5.815401077270508,109514298,bert-base-uncased
A car is a,weapon.,car,weapon,57,-6.442250728607178,109514298,bert-base-uncased
A screwdriver is a,weapon.,screwdriver,weapon,58,-4.462488174438477,109514298,bert-base-uncased
Glass is a,weapon.,glass,weapon,59,-4.82420015335083,109514298,bert-base-uncased
A shoe is a,weapon.,shoe,weapon,60,-6.190848350524902,109514298,bert-base-uncased
Orange is a,fruit.,orange,fruit,1,-6.408238887786865,109514298,bert-base-uncased
Apple is a,fruit.,apple,fruit,2,-3.2906394004821777,109514298,bert-base-uncased
Banana is a,fruit.,banana,fruit,3,-2.9586915969848633,109514298,bert-base-uncased
Peach is a,fruit.,peach,fruit,4,-11.382037162780762,109514298,bert-base-uncased
Pear is a,fruit.,pear,fruit,5,-3.121788501739502,109514298,bert-base-uncased
Apricot is a,fruit.,apricot,fruit,6,-4.158790588378906,109514298,bert-base-uncased
Tangerine is a,fruit.,tangerine,fruit,7,-5.9681549072265625,109514298,bert-base-uncased
Plum is a,fruit.,plum,fruit,8,-8.15836238861084,109514298,bert-base-uncased
Grape is a,fruit.,grape,fruit,9,-4.1134138107299805,109514298,bert-base-uncased
Nectarine is a,fruit.,nectarine,fruit,10,-5.880650997161865,109514298,bert-base-uncased
Strawberry is a,fruit.,strawberry,fruit,11,-4.9289870262146,109514298,bert-base-uncased
Grapefruit is a,fruit.,grapefruit,fruit,12,-3.6453561782836914,109514298,bert-base-uncased
Berry is a,fruit.,berry,fruit,13,-14.099051475524902,109514298,bert-base-uncased
Cherry is a,fruit.,cherry,fruit,14,-11.391669273376465,109514298,bert-base-uncased
Pineapple is a,fruit.,pineapple,fruit,15,-2.5016984939575195,109514298,bert-base-uncased
Blackberry is a,fruit.,blackberry,fruit,16,-5.418970584869385,109514298,bert-base-uncased
Melon is a,fruit.,melon,fruit,17,-7.548213005065918,109514298,bert-base-uncased
Blueberry is a,fruit.,blueberry,fruit,18,-4.020443439483643,109514298,bert-base-uncased
Raspberry is a,fruit.,raspberry,fruit,19,-4.007871627807617,109514298,bert-base-uncased
Lemon is a,fruit.,lemon,fruit,20,-8.919285774230957,109514298,bert-base-uncased
Black raspberry is a,fruit.,black raspberry,fruit,21,-3.590909957885742,109514298,bert-base-uncased
Boysenberry is a,fruit.,boysenberry,fruit,22,-9.843852043151855,109514298,bert-base-uncased
Watermelon is a,fruit.,watermelon,fruit,23,-4.972203731536865,109514298,bert-base-uncased
Cantaloupe is a,fruit.,cantaloupe,fruit,24,-6.948434352874756,109514298,bert-base-uncased
Lime is a,fruit.,lime,fruit,25,-5.390863418579102,109514298,bert-base-uncased
Tangelo is a,fruit.,tangelo,fruit,26,-9.955371856689453,109514298,bert-base-uncased
Papaya is a,fruit.,papaya,fruit,27,-8.367714881896973,109514298,bert-base-uncased
Honeydew is a,fruit.,honeydew,fruit,28,-6.57486629486084,109514298,bert-base-uncased
Fig is a,fruit.,fig,fruit,29,-4.927587032318115,109514298,bert-base-uncased
Mango is a,fruit.,mango,fruit,30,-4.866385459899902,109514298,bert-base-uncased
Guava is a,fruit.,guava,fruit,31,-2.9911937713623047,109514298,bert-base-uncased
Pomegranate is a,fruit.,pomegranate,fruit,32,-4.981550216674805,109514298,bert-base-uncased
Cranberry is a,fruit.,cranberry,fruit,33,-5.06709098815918,109514298,bert-base-uncased
Passion fruit is a,fruit.,passion fruit,fruit,34,-2.068242073059082,109514298,bert-base-uncased
Prune is a,fruit.,prune,fruit,35,-6.112159252166748,109514298,bert-base-uncased
Gooseberry is a,fruit.,gooseberry,fruit,36,-4.037400245666504,109514298,bert-base-uncased
Date is a,fruit.,date,fruit,37,-11.702221870422363,109514298,bert-base-uncased
Kumquat is a,fruit.,kumquat,fruit,38,-9.477008819580078,109514298,bert-base-uncased
Raisin is a,fruit.,raisin,fruit,39,-7.6769633293151855,109514298,bert-base-uncased
Muskmelon is a,fruit.,muskmelon,fruit,40,-5.0741286277771,109514298,bert-base-uncased
Persimmon is a,fruit.,persimmon,fruit,41,-4.499854564666748,109514298,bert-base-uncased
Pawpaw is a,fruit.,pawpaw,fruit,42,-10.521098136901855,109514298,bert-base-uncased
Coconut is a,fruit.,coconut,fruit,43,-3.785895824432373,109514298,bert-base-uncased
Avocado is a,fruit.,avocado,fruit,44,-6.04729700088501,109514298,bert-base-uncased
Pumpkin is a,fruit.,pumpkin,fruit,45,-6.875851631164551,109514298,bert-base-uncased
Tomato is a,fruit.,tomato,fruit,46,-5.09150505065918,109514298,bert-base-uncased
Nut is a,fruit.,nut,fruit,47,-8.25024700164795,109514298,bert-base-uncased
Gourd is a,fruit.,gourd,fruit,48,-8.605334281921387,109514298,bert-base-uncased
Olive is a,fruit.,olive,fruit,49,-11.024629592895508,109514298,bert-base-uncased
Pickle is a,fruit.,pickle,fruit,50,-8.572759628295898,109514298,bert-base-uncased
Squash is a,fruit.,squash,fruit,51,-7.986245632171631,109514298,bert-base-uncased
A doll is a,toy.,doll,toy,1,-3.421004295349121,109514298,bert-base-uncased
A top is a,toy.,top,toy,2,-9.411115646362305,109514298,bert-base-uncased
A jack-in-the-box is a,toy.,jack-in-the-box,toy,3,-2.950263023376465,109514298,bert-base-uncased
A toy soldier is a,toy.,toy soldier,toy,4,-0.2782936096191406,109514298,bert-base-uncased
A yo-yo is a,toy.,yo-yo,toy,5,-3.4906115531921387,109514298,bert-base-uncased
A block is a,toy.,block,toy,6,-10.304295539855957,109514298,bert-base-uncased
Marbles are,toys.,marbles,toy,7,-9.503021240234375,109514298,bert-base-uncased
A rattle is a,toy.,rattle,toy,8,-5.934671878814697,109514298,bert-base-uncased
A stuffed animal is a,toy.,stuffed animal,toy,9,-1.0961217880249023,109514298,bert-base-uncased
A water pistol is a,toy.,water pistol,toy,10,-9.620285034179688,109514298,bert-base-uncased
A teddy bear is a,toy.,teddy bear,toy,11,-0.7546625137329102,109514298,bert-base-uncased
A rocking horse is a,toy.,rocking horse,toy,12,-5.29378604888916,109514298,bert-base-uncased
A doll house is a,toy.,doll house,toy,13,-2.3483657836914062,109514298,bert-base-uncased
A ball is a,toy.,ball,toy,14,-6.857056617736816,109514298,bert-base-uncased
Jacks are,toys.,jacks,toy,15,-6.006873607635498,109514298,bert-base-uncased
Paper dolls are,toys.,paper dolls,toy,16,-8.18844223022461,109514298,bert-base-uncased
An erector set is a,toy.,erector set,toy,17,-8.179937362670898,109514298,bert-base-uncased
A hula hoop is a,toy.,hula hoop,toy,18,-5.84999942779541,109514298,bert-base-uncased
A jump rope is a,toy.,jump rope,toy,19,-12.652220726013184,109514298,bert-base-uncased
A pogo stick is a,toy.,pogo stick,toy,20,-4.2999267578125,109514298,bert-base-uncased
A clay is a,toy.,clay,toy,21,-11.201889038085938,109514298,bert-base-uncased
A wagon is a,toy.,wagon,toy,22,-8.59811782836914,109514298,bert-base-uncased
A kite is a,toy.,kite,toy,23,-9.141138076782227,109514298,bert-base-uncased
A train is a,toy.,train,toy,24,-7.347944259643555,109514298,bert-base-uncased
A tricycle is a,toy.,tricycle,toy,25,-8.690951347351074,109514298,bert-base-uncased
A coloring book is a,toy.,coloring book,toy,26,-3.72945499420166,109514298,bert-base-uncased
Crayons are,toys.,crayons,toy,27,-9.489500999450684,109514298,bert-base-uncased
A truck is a,toy.,truck,toy,28,-7.995959281921387,109514298,bert-base-uncased
A puzzle is a,toy.,puzzle,toy,29,-8.356612205505371,109514298,bert-base-uncased
A fire engine is a,toy.,fire engine,toy,30,-8.380270004272461,109514298,bert-base-uncased
A balloon is a,toy.,balloon,toy,31,-6.0538434982299805,109514298,bert-base-uncased
Skates are,toys.,skates,toy,32,-11.185017585754395,109514298,bert-base-uncased
A baseball is a,toy.,baseball,toy,33,-7.272496223449707,109514298,bert-base-uncased
A drum is a,toy.,drum,toy,34,-6.18103551864624,109514298,bert-base-uncased
A football is a,toy.,football,toy,35,-7.1427741050720215,109514298,bert-base-uncased
A game is a,toy.,game,toy,36,-8.455278396606445,109514298,bert-base-uncased
A swing is a,toy.,swing,toy,37,-7.658016204833984,109514298,bert-base-uncased
A boat is a,toy.,boat,toy,38,-8.89080810546875,109514298,bert-base-uncased
A monopoly is a,toy.,monopoly,toy,39,-12.073100090026855,109514298,bert-base-uncased
A sled is a,toy.,sled,toy,40,-8.037897109985352,109514298,bert-base-uncased
A seesaw is a,toy.,seesaw,toy,41,-6.178770542144775,109514298,bert-base-uncased
Stilts are,toys.,stilts,toy,42,-9.774423599243164,109514298,bert-base-uncased
Checkers are,toys.,checkers,toy,43,-11.400224685668945,109514298,bert-base-uncased
A bat is a,toy.,bat,toy,44,-7.7974629402160645,109514298,bert-base-uncased
A car is a,toy.,car,toy,45,-7.28328800201416,109514298,bert-base-uncased
An airplane is a,toy.,airplane,toy,46,-6.101038932800293,109514298,bert-base-uncased
A bicycle is a,toy.,bicycle,toy,47,-7.971551895141602,109514298,bert-base-uncased
A tractor is a,toy.,tractor,toy,48,-7.977807521820068,109514298,bert-base-uncased
A sandbox is a,toy.,sandbox,toy,49,-5.855055809020996,109514298,bert-base-uncased
A bike is a,toy.,bike,toy,50,-7.212540626525879,109514298,bert-base-uncased
A bow and arrow is a,toy.,bow and arrow,toy,51,-7.893491268157959,109514298,bert-base-uncased
A rope is a,toy.,rope,toy,52,-9.086381912231445,109514298,bert-base-uncased
Dishes are,toys.,dishes,toy,53,-14.31710147857666,109514298,bert-base-uncased
Cards are,toys.,cards,toy,54,-11.045815467834473,109514298,bert-base-uncased
A mitt is a,toy.,mitt,toy,55,-6.378083229064941,109514298,bert-base-uncased
A horse is a,toy.,horse,toy,56,-9.565559387207031,109514298,bert-base-uncased
A gun is a,toy.,gun,toy,57,-7.619699954986572,109514298,bert-base-uncased
Animals are,toys.,animals,toy,58,-8.828887939453125,109514298,bert-base-uncased
A tennis racket is a,toy.,tennis racket,toy,59,-4.690648078918457,109514298,bert-base-uncased
Books are,toys.,books,toy,60,-8.443145751953125,109514298,bert-base-uncased
A pant is a type of,clothing.,pant,clothing,1,-4.221885681152344,109514298,bert-base-uncased
A shirt is a type of,clothing.,shirt,clothing,2,-2.5602855682373047,109514298,bert-base-uncased
A dress is a type of,clothing.,dress,clothing,3,-2.7913761138916016,109514298,bert-base-uncased
A skirt is a type of,clothing.,skirt,clothing,4,-4.670113563537598,109514298,bert-base-uncased
A blouse is a type of,clothing.,blouse,clothing,5,-6.400612831115723,109514298,bert-base-uncased
A suit is a type of,clothing.,suit,clothing,6,-7.068444728851318,109514298,bert-base-uncased
A slack is a type of,clothing.,slack,clothing,7,-7.527965545654297,109514298,bert-base-uncased
A jacket is a type of,clothing.,jacket,clothing,8,-3.0216598510742188,109514298,bert-base-uncased
A coat is a type of,clothing.,coat,clothing,9,-5.532094955444336,109514298,bert-base-uncased
A sweater is a type of,clothing.,sweater,clothing,10,-4.840827941894531,109514298,bert-base-uncased
A sweatshirt is a type of,clothing.,sweatshirt,clothing,11,-3.83870792388916,109514298,bert-base-uncased
An underpant is a type of,clothing.,underpant,clothing,12,-4.3239312171936035,109514298,bert-base-uncased
A sports jacket is a type of,clothing.,sports jacket,clothing,13,-5.723344802856445,109514298,bert-base-uncased
A jumper is a type of,clothing.,jumper,clothing,14,-7.817121982574463,109514298,bert-base-uncased
A panty is a type of,clothing.,panty,clothing,15,-2.5787124633789062,109514298,bert-base-uncased
A sock is a type of,clothing.,sock,clothing,16,-5.119904518127441,109514298,bert-base-uncased
A parka is a type of,clothing.,parka,clothing,17,-4.561244010925293,109514298,bert-base-uncased
A pajama is a type of,clothing.,pajama,clothing,18,-2.8739614486694336,109514298,bert-base-uncased
An undershirt is a type of,clothing.,undershirt,clothing,19,-2.5706253051757812,109514298,bert-base-uncased
An overcoat is a type of,clothing.,overcoat,clothing,20,-4.781014442443848,109514298,bert-base-uncased
A nightgown is a type of,clothing.,nightgown,clothing,21,-2.144559860229492,109514298,bert-base-uncased
A raincoat is a type of,clothing.,raincoat,clothing,22,-4.566272735595703,109514298,bert-base-uncased
A bathing suit is a type of,clothing.,bathing suit,clothing,23,-2.4645090103149414,109514298,bert-base-uncased
A bathrobe is a type of,clothing.,bathrobe,clothing,24,-2.99483585357666,109514298,bert-base-uncased
A slip is a type of,clothing.,slip,clothing,25,-6.6683454513549805,109514298,bert-base-uncased
A bra is a type of,clothing.,bra,clothing,26,-4.112648010253906,109514298,bert-base-uncased
A shoe is a type of,clothing.,shoe,clothing,27,-6.338164329528809,109514298,bert-base-uncased
A tuxedo is a type of,clothing.,tuxedo,clothing,28,-3.9076194763183594,109514298,bert-base-uncased
A stocking is a type of,clothing.,stocking,clothing,29,-5.140950679779053,109514298,bert-base-uncased
A vest is a type of,clothing.,vest,clothing,30,-2.379532814025879,109514298,bert-base-uncased
A nylon is a type of,clothing.,nylon,clothing,31,-4.471226692199707,109514298,bert-base-uncased
A cape is a type of,clothing.,cape,clothing,32,-5.838691234588623,109514298,bert-base-uncased
A boot is a type of,clothing.,boot,clothing,33,-6.109891414642334,109514298,bert-base-uncased
A sandal is a type of,clothing.,sandal,clothing,34,-4.574202060699463,109514298,bert-base-uncased
A tie is a type of,clothing.,tie,clothing,35,-6.3622846603393555,109514298,bert-base-uncased
A girdle is a type of,clothing.,girdle,clothing,36,-3.75101375579834,109514298,bert-base-uncased
A belt is a type of,clothing.,belt,clothing,37,-4.888825416564941,109514298,bert-base-uncased
A scarf is a type of,clothing.,scarf,clothing,38,-7.116934776306152,109514298,bert-base-uncased
A mitten is a type of,clothing.,mitten,clothing,39,-5.966200351715088,109514298,bert-base-uncased
A slipper is a type of,clothing.,slipper,clothing,40,-4.729331970214844,109514298,bert-base-uncased
A hat is a type of,clothing.,hat,clothing,41,-5.73069953918457,109514298,bert-base-uncased
An overshoe is a type of,clothing.,overshoe,clothing,42,-8.059061050415039,109514298,bert-base-uncased
A glove is a type of,clothing.,glove,clothing,43,-6.846225738525391,109514298,bert-base-uncased
An apron is a type of,clothing.,apron,clothing,44,-6.560519218444824,109514298,bert-base-uncased
