preamble,stimulus,item,category,rank,score,params,model
A gun is a,weapon.,gun,weapon,1,0.1944470913771308,66985530,distilbert-base-uncased
A pistol is a,weapon.,pistol,weapon,2,0.11213356481670757,66985530,distilbert-base-uncased
A revolver is a,weapon.,revolver,weapon,3,0.023957018503559004,66985530,distilbert-base-uncased
A machine gun is a,weapon.,machine gun,weapon,4,0.39602908482324783,66985530,distilbert-base-uncased
A rifle is a,weapon.,rifle,weapon,5,0.09315723712654353,66985530,distilbert-base-uncased
A switchblade is a,weapon.,switchblade,weapon,6,0.017905354316082405,66985530,distilbert-base-uncased
A knife is a,weapon.,knife,weapon,7,0.23958492958930855,66985530,distilbert-base-uncased
A dagger is a,weapon.,dagger,weapon,8,0.08597578645720087,66985530,distilbert-base-uncased
A shotgun is a,weapon.,shotgun,weapon,9,0.06816679623950145,66985530,distilbert-base-uncased
A sword is a,weapon.,sword,weapon,10,0.3566691307521104,66985530,distilbert-base-uncased
A bomb is a,weapon.,bomb,weapon,11,0.28861670423380276,66985530,distilbert-base-uncased
A hand grenade is a,weapon.,hand grenade,weapon,12,0.3709967822293984,66985530,distilbert-base-uncased
An atom bomb is a,weapon.,Atom bomb,weapon,13,0.24767343672882755,66985530,distilbert-base-uncased
A bayonet is a,weapon.,bayonet,weapon,14,0.6582628878786924,66985530,distilbert-base-uncased
A spear is a,weapon.,spear,weapon,15,0.311071281393288,66985530,distilbert-base-uncased
A bazooka is a,weapon.,bazooka,weapon,16,0.014130058919539766,66985530,distilbert-base-uncased
A cannon is a,weapon.,cannon,weapon,17,0.10888505007669905,66985530,distilbert-base-uncased
A bow and arrow is a,weapon.,bow and arrow,weapon,18,0.43603185427969543,66985530,distilbert-base-uncased
A club is a,weapon.,club,weapon,19,0.00034971062155720066,66985530,distilbert-base-uncased
A lance is a,weapon.,lance,weapon,20,0.06718348146314557,66985530,distilbert-base-uncased
A brass knuckle is a,weapon.,brass knuckle,weapon,21,0.09870172580952581,66985530,distilbert-base-uncased
A bullet is a,weapon.,bullet,weapon,22,0.10815872811749018,66985530,distilbert-base-uncased
A tomahawk is a,weapon.,tomahawk,weapon,23,0.06361871909486687,66985530,distilbert-base-uncased
A mortar is a,weapon.,mortar,weapon,24,0.08856775837036361,66985530,distilbert-base-uncased
An arrow is a,weapon.,arrow,weapon,25,0.13082203026184142,66985530,distilbert-base-uncased
A blackjack is a,weapon.,blackjack,weapon,26,0.002379683705834781,66985530,distilbert-base-uncased
A tank is a,weapon.,tank,weapon,27,0.012971096560924052,66985530,distilbert-base-uncased
Teargas is a,weapon.,teargas,weapon,28,4.789365714122555e-05,66985530,distilbert-base-uncased
A missile is a,weapon.,missile,weapon,29,0.1604908546874059,66985530,distilbert-base-uncased
A whip is a,weapon.,whip,weapon,30,0.028566705519888044,66985530,distilbert-base-uncased
An ice pick is a,weapon.,ice pick,weapon,31,0.06969420442713128,66985530,distilbert-base-uncased
A hatchet is a,weapon.,hatchet,weapon,32,0.019688753942262827,66985530,distilbert-base-uncased
A slingshot is a,weapon.,slingshot,weapon,33,0.14654516561263803,66985530,distilbert-base-uncased
A fist is a,weapon.,fist,weapon,34,0.09225878870333967,66985530,distilbert-base-uncased
An axe is a,weapon.,axe,weapon,35,0.47771410679298654,66985530,distilbert-base-uncased
A bow is a,weapon.,bow,weapon,36,0.12703719807020727,66985530,distilbert-base-uncased
A razor is a,weapon.,razor,weapon,37,0.011437186291817883,66985530,distilbert-base-uncased
A razor blade is a,weapon.,razor blade,weapon,38,0.0525449185616004,66985530,distilbert-base-uncased
A rocket is a,weapon.,rocket,weapon,39,0.03491115066539717,66985530,distilbert-base-uncased
A judo is a,weapon.,judo,weapon,40,0.01174584929816048,66985530,distilbert-base-uncased
A stick is a,weapon.,stick,weapon,41,0.09128887508847974,66985530,distilbert-base-uncased
A poison is a,weapon.,poison,weapon,42,0.016414463078800408,66985530,distilbert-base-uncased
A rock is a,weapon.,rock,weapon,43,0.003238345529939658,66985530,distilbert-base-uncased
A stone is a,weapon.,stone,weapon,44,0.006436783634346489,66985530,distilbert-base-uncased
Gas is a,weapon.,gas,weapon,45,0.0048775929542324075,66985530,distilbert-base-uncased
A chain is a,weapon.,chain,weapon,46,0.0012146929034556597,66985530,distilbert-base-uncased
A scissor is a,weapon.,scissor,weapon,47,0.07332210808716245,66985530,distilbert-base-uncased
A brick is a,weapon.,brick,weapon,48,0.001679058472585465,66985530,distilbert-base-uncased
A pitchfork is a,weapon.,pitchfork,weapon,49,0.03621792687953586,66985530,distilbert-base-uncased
A hammer is a,weapon.,hammer,weapon,50,0.05582745732821529,66985530,distilbert-base-uncased
A word is a,weapon.,word,weapon,51,0.0007846361198861412,66985530,distilbert-base-uncased
A hand is a,weapon.,hand,weapon,52,0.03886272302816679,66985530,distilbert-base-uncased
A pipe is a,weapon.,pipe,weapon,53,0.0037383699452501105,66985530,distilbert-base-uncased
A rope is a,weapon.,rope,weapon,54,0.005190752221618524,66985530,distilbert-base-uncased
An airplane is a,weapon.,airplane,weapon,55,0.008264343539536256,66985530,distilbert-base-uncased
A foot is a,weapon.,foot,weapon,56,0.02396903914192613,66985530,distilbert-base-uncased
A car is a,weapon.,car,weapon,57,0.006764350832868919,66985530,distilbert-base-uncased
