preamble,stimulus,item,category,rank,score,params,model
A gun is a,weapon.,gun,weapon,1,0.14725628873101212,81913344,distilgpt2
A pistol is a,weapon.,pistol,weapon,2,0.10099863112710658,81913344,distilgpt2
A revolver is a,weapon.,revolver,weapon,3,0.067122705438008,81913344,distilgpt2
A machine gun is a,weapon.,machine gun,weapon,4,0.11760914431387642,81913344,distilgpt2
A rifle is a,weapon.,rifle,weapon,5,0.0809049240553255,81913344,distilgpt2
A switchblade is a,weapon.,switchblade,weapon,6,0.012623727209103206,81913344,distilgpt2
A knife is a,weapon.,knife,weapon,7,0.1162167875727869,81913344,distilgpt2
A dagger is a,weapon.,dagger,weapon,8,0.08203866854940453,81913344,distilgpt2
A shotgun is a,weapon.,shotgun,weapon,9,0.07732203497239934,81913344,distilgpt2
A sword is a,weapon.,sword,weapon,10,0.108509173331203,81913344,distilgpt2
A bomb is a,weapon.,bomb,weapon,11,0.0368644874231531,81913344,distilgpt2
A hand grenade is a,weapon.,hand grenade,weapon,12,0.12664104387298958,81913344,distilgpt2
An atom bomb is a,weapon.,Atom bomb,weapon,13,0.03077723703843761,81913344,distilgpt2
A bayonet is a,weapon.,bayonet,weapon,14,0.032132319613844836,81913344,distilgpt2
A spear is a,weapon.,spear,weapon,15,0.05973069475444737,81913344,distilgpt2
A bazooka is a,weapon.,bazooka,weapon,16,0.0008782841040118882,81913344,distilgpt2
A cannon is a,weapon.,cannon,weapon,17,0.10614891710063129,81913344,distilgpt2
A bow and arrow is a,weapon.,bow and arrow,weapon,18,0.06118076573018302,81913344,distilgpt2
A club is a,weapon.,club,weapon,19,9.554467723156844e-05,81913344,distilgpt2
A lance is a,weapon.,lance,weapon,20,0.004544138656927416,81913344,distilgpt2
A brass knuckle is a,weapon.,brass knuckle,weapon,21,0.00371818152029633,81913344,distilgpt2
A bullet is a,weapon.,bullet,weapon,22,0.007826986062214106,81913344,distilgpt2
A tomahawk is a,weapon.,tomahawk,weapon,23,0.016854437109568427,81913344,distilgpt2
A mortar is a,weapon.,mortar,weapon,24,0.05459390134951149,81913344,distilgpt2
An arrow is a,weapon.,arrow,weapon,25,0.011255392194500788,81913344,distilgpt2
A blackjack is a,weapon.,blackjack,weapon,26,0.0011739387311327594,81913344,distilgpt2
A tank is a,weapon.,tank,weapon,27,0.005915673994935332,81913344,distilgpt2
Teargas is a,weapon.,teargas,weapon,28,0.0018920400511499877,81913344,distilgpt2
A missile is a,weapon.,missile,weapon,29,0.08216018409657705,81913344,distilgpt2
A whip is a,weapon.,whip,weapon,30,0.011118747630830596,81913344,distilgpt2
An ice pick is a,weapon.,ice pick,weapon,31,0.0026733083891359666,81913344,distilgpt2
A hatchet is a,weapon.,hatchet,weapon,32,0.03770992218405746,81913344,distilgpt2
A slingshot is a,weapon.,slingshot,weapon,33,0.0015058843596632554,81913344,distilgpt2
A fist is a,weapon.,fist,weapon,34,0.020492598684624615,81913344,distilgpt2
An axe is a,weapon.,axe,weapon,35,0.06513702135288052,81913344,distilgpt2
A bow is a,weapon.,bow,weapon,36,0.009035478690831466,81913344,distilgpt2
A razor is a,weapon.,razor,weapon,37,0.007648562097946874,81913344,distilgpt2
A razor blade is a,weapon.,razor blade,weapon,38,0.014197678426286189,81913344,distilgpt2
A rocket is a,weapon.,rocket,weapon,39,0.011565241180740399,81913344,distilgpt2
A judo is a,weapon.,judo,weapon,40,0.00030439534406643767,81913344,distilgpt2
A stick is a,weapon.,stick,weapon,41,0.002782877779120614,81913344,distilgpt2
A poison is a,weapon.,poison,weapon,42,0.003506498888285597,81913344,distilgpt2
A rock is a,weapon.,rock,weapon,43,0.0008516714019967734,81913344,distilgpt2
A stone is a,weapon.,stone,weapon,44,0.001025279919154607,81913344,distilgpt2
Gas is a,weapon.,gas,weapon,45,0.000612703893140628,81913344,distilgpt2
A chain is a,weapon.,chain,weapon,46,0.0004593318566688393,81913344,distilgpt2
A scissor is a,weapon.,scissor,weapon,47,0.0008780965023243028,81913344,distilgpt2
A brick is a,weapon.,brick,weapon,48,0.000554838320390702,81913344,distilgpt2
A pitchfork is a,weapon.,pitchfork,weapon,49,0.001809623926931268,81913344,distilgpt2
A hammer is a,weapon.,hammer,weapon,50,0.04596653653896194,81913344,distilgpt2
A word is a,weapon.,word,weapon,51,0.00034247857648170976,81913344,distilgpt2
A hand is a,weapon.,hand,weapon,52,0.0068674346172495244,81913344,distilgpt2
A pipe is a,weapon.,pipe,weapon,53,0.0008668009941721912,81913344,distilgpt2
A rope is a,weapon.,rope,weapon,54,0.0030139481121658476,81913344,distilgpt2
An airplane is a,weapon.,airplane,weapon,55,0.0014007447910873516,81913344,distilgpt2
A foot is a,weapon.,foot,weapon,56,0.0018293285263913425,81913344,distilgpt2
A car is a,weapon.,car,weapon,57,0.0023735754093146683,81913344,distilgpt2
A screwdriver is a,weapon.,screwdriver,weapon,58,0.00100099460383922,81913344,distilgpt2
Glass is a,weapon.,glass,weapon,59,0.00019598363431069487,81913344,distilgpt2
A shoe is a,weapon.,shoe,weapon,60,0.0015752842456480977,81913344,distilgpt2
Orange is a,fruit.,orange,fruit,1,0.0005121696163717002,81913344,distilgpt2
Apple is a,fruit.,apple,fruit,2,3.886092181648213e-05,81913344,distilgpt2
Banana is a,fruit.,banana,fruit,3,0.004718528000459044,81913344,distilgpt2
Peach is a,fruit.,peach,fruit,4,0.0015673241644649672,81913344,distilgpt2
Pear is a,fruit.,pear,fruit,5,0.00020136656468064913,81913344,distilgpt2
Apricot is a,fruit.,apricot,fruit,6,0.0003548859307887045,81913344,distilgpt2
Tangerine is a,fruit.,tangerine,fruit,7,0.00032887381369166145,81913344,distilgpt2
Plum is a,fruit.,plum,fruit,8,0.0005771893164651371,81913344,distilgpt2
Grape is a,fruit.,grape,fruit,9,0.0005005572071346137,81913344,distilgpt2
Nectarine is a,fruit.,nectarine,fruit,10,0.0005347238723260377,81913344,distilgpt2
Strawberry is a,fruit.,strawberry,fruit,11,0.009471195660264338,81913344,distilgpt2
Grapefruit is a,fruit.,grapefruit,fruit,12,0.0293619077822125,81913344,distilgpt2
Berry is a,fruit.,berry,fruit,13,0.00021123733868127107,81913344,distilgpt2
Cherry is a,fruit.,cherry,fruit,14,0.0014469302949053652,81913344,distilgpt2
Pineapple is a,fruit.,pineapple,fruit,15,0.0059353168278709215,81913344,distilgpt2
Blackberry is a,fruit.,blackberry,fruit,16,0.00019892493652069046,81913344,distilgpt2
Melon is a,fruit.,melon,fruit,17,7.693237484586713e-05,81913344,distilgpt2
Blueberry is a,fruit.,blueberry,fruit,18,0.00617019930446447,81913344,distilgpt2
Raspberry is a,fruit.,raspberry,fruit,19,0.0001743234221520315,81913344,distilgpt2
Lemon is a,fruit.,lemon,fruit,20,0.0003952203107918766,81913344,distilgpt2
Black raspberry is a,fruit.,black raspberry,fruit,21,0.002027471393448154,81913344,distilgpt2
Boysenberry is a,fruit.,boysenberry,fruit,22,0.000660983845136194,81913344,distilgpt2
Watermelon is a,fruit.,watermelon,fruit,23,0.021202953157383728,81913344,distilgpt2
Cantaloupe is a,fruit.,cantaloupe,fruit,24,0.0006629661525159511,81913344,distilgpt2
Lime is a,fruit.,lime,fruit,25,0.0001176098620795874,81913344,distilgpt2
Tangelo is a,fruit.,tangelo,fruit,26,2.1563700129475757e-05,81913344,distilgpt2
Papaya is a,fruit.,papaya,fruit,27,0.0009303852556592132,81913344,distilgpt2
Honeydew is a,fruit.,honeydew,fruit,28,0.00043284761647819806,81913344,distilgpt2
Fig is a,fruit.,fig,fruit,29,0.0001005410344718523,81913344,distilgpt2
Mango is a,fruit.,mango,fruit,30,0.0001646932704181908,81913344,distilgpt2
Guava is a,fruit.,guava,fruit,31,0.0012725787824520753,81913344,distilgpt2
Pomegranate is a,fruit.,pomegranate,fruit,32,0.008167765018831381,81913344,distilgpt2
Cranberry is a,fruit.,cranberry,fruit,33,0.004398202042636001,81913344,distilgpt2
Passion fruit is a,fruit.,passion fruit,fruit,34,0.020231536172594322,81913344,distilgpt2
Prune is a,fruit.,prune,fruit,35,9.627678033692195e-05,81913344,distilgpt2
Gooseberry is a,fruit.,gooseberry,fruit,36,0.004954264484453025,81913344,distilgpt2
Date is a,fruit.,date,fruit,37,7.4455093799845135e-06,81913344,distilgpt2
Kumquat is a,fruit.,kumquat,fruit,38,0.00018875262886179894,81913344,distilgpt2
Raisin is a,fruit.,raisin,fruit,39,5.813255470961024e-05,81913344,distilgpt2
Muskmelon is a,fruit.,muskmelon,fruit,40,0.0001586851413639141,81913344,distilgpt2
Persimmon is a,fruit.,persimmon,fruit,41,0.00017399854461838603,81913344,distilgpt2
Pawpaw is a,fruit.,pawpaw,fruit,42,0.0001696524066921253,81913344,distilgpt2
Coconut is a,fruit.,coconut,fruit,43,0.007972565348280922,81913344,distilgpt2
Avocado is a,fruit.,avocado,fruit,44,0.005084866460760567,81913344,distilgpt2
Pumpkin is a,fruit.,pumpkin,fruit,45,0.0004358499237513051,81913344,distilgpt2
Tomato is a,fruit.,tomato,fruit,46,0.000150329505578409,81913344,distilgpt2
Nut is a,fruit.,nut,fruit,47,0.0017360216177421289,81913344,distilgpt2
Gourd is a,fruit.,gourd,fruit,48,9.77172191042017e-05,81913344,distilgpt2
Olive is a,fruit.,olive,fruit,49,0.0001499755237551096,81913344,distilgpt2
Pickle is a,fruit.,pickle,fruit,50,0.0005777157872229302,81913344,distilgpt2
Squash is a,fruit.,squash,fruit,51,5.790878904432359e-05,81913344,distilgpt2
A doll is a,toy.,doll,toy,1,0.016725507786532985,81913344,distilgpt2
A top is a,toy.,top,toy,2,0.0002628149156363175,81913344,distilgpt2
A jack-in-the-box is a,toy.,jack-in-the-box,toy,3,0.0019384681353612617,81913344,distilgpt2
A toy soldier is a,toy.,toy soldier,toy,4,0.006482119536367385,81913344,distilgpt2
A yo-yo is a,toy.,yo-yo,toy,5,0.0025889943816734314,81913344,distilgpt2
A block is a,toy.,block,toy,6,5.243191022522832e-05,81913344,distilgpt2
Marbles are,toys.,marbles,toy,7,1.2296847828455129e-05,81913344,distilgpt2
A rattle is a,toy.,rattle,toy,8,0.00032181231558065545,81913344,distilgpt2
A stuffed animal is a,toy.,stuffed animal,toy,9,0.0029602229511782583,81913344,distilgpt2
A water pistol is a,toy.,water pistol,toy,10,0.0014492890851157728,81913344,distilgpt2
A teddy bear is a,toy.,teddy bear,toy,11,0.00926182423555177,81913344,distilgpt2
A rocking horse is a,toy.,rocking horse,toy,12,0.0008416945440826631,81913344,distilgpt2
A doll house is a,toy.,doll house,toy,13,0.001377508787433735,81913344,distilgpt2
A ball is a,toy.,ball,toy,14,0.001345224170101442,81913344,distilgpt2
Jacks are,toys.,jacks,toy,15,4.431577179228103e-05,81913344,distilgpt2
Paper dolls are,toys.,paper dolls,toy,16,0.0009385483851236757,81913344,distilgpt2
An erector set is a,toy.,erector set,toy,17,0.0006315626675892799,81913344,distilgpt2
A hula hoop is a,toy.,hula hoop,toy,18,0.0009254367673487954,81913344,distilgpt2
A jump rope is a,toy.,jump rope,toy,19,0.0002825848560039705,81913344,distilgpt2
A pogo stick is a,toy.,pogo stick,toy,20,0.003354423241906729,81913344,distilgpt2
A clay is a,toy.,clay,toy,21,0.00030106716304723145,81913344,distilgpt2
A wagon is a,toy.,wagon,toy,22,0.0013180180748483226,81913344,distilgpt2
A kite is a,toy.,kite,toy,23,0.0005970079251642835,81913344,distilgpt2
A train is a,toy.,train,toy,24,0.0004969840289783834,81913344,distilgpt2
A tricycle is a,toy.,tricycle,toy,25,0.0009069142575108924,81913344,distilgpt2
A coloring book is a,toy.,coloring book,toy,26,0.0006309630565326275,81913344,distilgpt2
Crayons are,toys.,crayons,toy,27,5.0501814999821573e-05,81913344,distilgpt2
A truck is a,toy.,truck,toy,28,0.0009352246259062972,81913344,distilgpt2
A puzzle is a,toy.,puzzle,toy,29,0.0003094850599643557,81913344,distilgpt2
A fire engine is a,toy.,fire engine,toy,30,0.00023317709918145425,81913344,distilgpt2
A balloon is a,toy.,balloon,toy,31,0.0013604583359695277,81913344,distilgpt2
Skates are,toys.,skates,toy,32,6.109181696018363e-05,81913344,distilgpt2
A baseball is a,toy.,baseball,toy,33,0.0006641254538944425,81913344,distilgpt2
A drum is a,toy.,drum,toy,34,0.0004265711880687514,81913344,distilgpt2
A football is a,toy.,football,toy,35,0.00021355211885466305,81913344,distilgpt2
A game is a,toy.,game,toy,36,0.00019960221188725677,81913344,distilgpt2
A swing is a,toy.,swing,toy,37,6.929267718460032e-05,81913344,distilgpt2
A boat is a,toy.,boat,toy,38,0.000750846565033426,81913344,distilgpt2
A monopoly is a,toy.,monopoly,toy,39,1.7892490548598057e-05,81913344,distilgpt2
A sled is a,toy.,sled,toy,40,0.001447272550641883,81913344,distilgpt2
