preamble,stimulus,item,category,rank,score,params,model
A gun is a,weapon.,gun,weapon,1,-1.8443479537963867,82170201,distilroberta-base
A pistol is a,weapon.,pistol,weapon,2,-1.8335275650024414,82170201,distilroberta-base
A revolver is a,weapon.,revolver,weapon,3,-2.617617607116699,82170201,distilroberta-base
A machine gun is a,weapon.,machine gun,weapon,4,-2.05294132232666,82170201,distilroberta-base
A rifle is a,weapon.,rifle,weapon,5,-2.371371269226074,82170201,distilroberta-base
A switchblade is a,weapon.,switchblade,weapon,6,-3.6836299896240234,82170201,distilroberta-base
A knife is a,weapon.,knife,weapon,7,-1.478525161743164,82170201,distilroberta-base
A dagger is a,weapon.,dagger,weapon,8,-2.693571090698242,82170201,distilroberta-base
A shotgun is a,weapon.,shotgun,weapon,9,-1.7291193008422852,82170201,distilroberta-base
A sword is a,weapon.,sword,weapon,10,-2.2745847702026367,82170201,distilroberta-base
A bomb is a,weapon.,bomb,weapon,11,-3.21286678314209,82170201,distilroberta-base
A hand grenade is a,weapon.,hand grenade,weapon,12,-2.116457939147949,82170201,distilroberta-base
An atom bomb is a,weapon.,Atom bomb,weapon,13,-3.6976451873779297,82170201,distilroberta-base
A bayonet is a,weapon.,bayonet,weapon,14,-2.405978202819824,82170201,distilroberta-base
A spear is a,weapon.,spear,weapon,15,-3.098416328430176,82170201,distilroberta-base
A bazooka is a,weapon.,bazooka,weapon,16,-6.789067268371582,82170201,distilroberta-base
A cannon is a,weapon.,cannon,weapon,17,-2.925281524658203,82170201,distilroberta-base
A bow and arrow is a,weapon.,bow and arrow,weapon,18,-1.8909406661987305,82170201,distilroberta-base
A club is a,weapon.,club,weapon,19,-7.643318176269531,82170201,distilroberta-base
A lance is a,weapon.,lance,weapon,20,-5.99976921081543,82170201,distilroberta-base
A brass knuckle is a,weapon.,brass knuckle,weapon,21,-4.409568786621094,82170201,distilroberta-base
A bullet is a,weapon.,bullet,weapon,22,-3.5113372802734375,82170201,distilroberta-base
A tomahawk is a,weapon.,tomahawk,weapon,23,-5.30216121673584,82170201,distilroberta-base
A mortar is a,weapon.,mortar,weapon,24,-3.892786979675293,82170201,distilroberta-base
An arrow is a,weapon.,arrow,weapon,25,-4.541393280029297,82170201,distilroberta-base
A blackjack is a,weapon.,blackjack,weapon,26,-6.233509063720703,82170201,distilroberta-base
A tank is a,weapon.,tank,weapon,27,-3.995981216430664,82170201,distilroberta-base
Teargas is a,weapon.,teargas,weapon,28,-7.688742160797119,82170201,distilroberta-base
A missile is a,weapon.,missile,weapon,29,-2.929978370666504,82170201,distilroberta-base
A whip is a,weapon.,whip,weapon,30,-4.272548675537109,82170201,distilroberta-base
An ice pick is a,weapon.,ice pick,weapon,31,-4.868172645568848,82170201,distilroberta-base
A hatchet is a,weapon.,hatchet,weapon,32,-2.985565185546875,82170201,distilroberta-base
A slingshot is a,weapon.,slingshot,weapon,33,-4.113796234130859,82170201,distilroberta-base
A fist is a,weapon.,fist,weapon,34,-4.066576957702637,82170201,distilroberta-base
An axe is a,weapon.,axe,weapon,35,-3.1145944595336914,82170201,distilroberta-base
A bow is a,weapon.,bow,weapon,36,-3.84023380279541,82170201,distilroberta-base
A razor is a,weapon.,razor,weapon,37,-3.9306602478027344,82170201,distilroberta-base
A razor blade is a,weapon.,razor blade,weapon,38,-2.892667770385742,82170201,distilroberta-base
A rocket is a,weapon.,rocket,weapon,39,-4.018760681152344,82170201,distilroberta-base
A judo is a,weapon.,judo,weapon,40,-5.479683876037598,82170201,distilroberta-base
A stick is a,weapon.,stick,weapon,41,-4.8081464767456055,82170201,distilroberta-base
A poison is a,weapon.,poison,weapon,42,-4.142351150512695,82170201,distilroberta-base
A rock is a,weapon.,rock,weapon,43,-7.302011489868164,82170201,distilroberta-base
A stone is a,weapon.,stone,weapon,44,-5.619163513183594,82170201,distilroberta-base
Gas is a,weapon.,gas,weapon,45,-5.752551078796387,82170201,distilroberta-base
A chain is a,weapon.,chain,weapon,46,-6.899657249450684,82170201,distilroberta-base
A scissor is a,weapon.,scissor,weapon,47,-4.813510894775391,82170201,distilroberta-base
A brick is a,weapon.,brick,weapon,48,-7.7230119705200195,82170201,distilroberta-base
A pitchfork is a,weapon.,pitchfork,weapon,49,-4.326930999755859,82170201,distilroberta-base
A hammer is a,weapon.,hammer,weapon,50,-4.481583595275879,82170201,distilroberta-base
A word is a,weapon.,word,weapon,51,-7.064993858337402,82170201,distilroberta-base
A hand is a,weapon.,hand,weapon,52,-4.364508628845215,82170201,distilroberta-base
A pipe is a,weapon.,pipe,weapon,53,-5.8144683837890625,82170201,distilroberta-base
A rope is a,weapon.,rope,weapon,54,-4.759427070617676,82170201,distilroberta-base
An airplane is a,weapon.,airplane,weapon,55,-4.851731300354004,82170201,distilroberta-base
A foot is a,weapon.,foot,weapon,56,-5.502270698547363,82170201,distilroberta-base
A car is a,weapon.,car,weapon,57,-5.973025321960449,82170201,distilroberta-base
A screwdriver is a,weapon.,screwdriver,weapon,58,-4.4249420166015625,82170201,distilroberta-base
Glass is a,weapon.,glass,weapon,59,-7.110182285308838,82170201,distilroberta-base
A shoe is a,weapon.,shoe,weapon,60,-5.306649208068848,82170201,distilroberta-base
Orange is a,fruit.,orange,fruit,1,-7.85043478012085,82170201,distilroberta-base
Apple is a,fruit.,apple,fruit,2,-9.395015716552734,82170201,distilroberta-base
Banana is a,fruit.,banana,fruit,3,-7.26790714263916,82170201,distilroberta-base
Peach is a,fruit.,peach,fruit,4,-8.580583572387695,82170201,distilroberta-base
Pear is a,fruit.,pear,fruit,5,-9.379846572875977,82170201,distilroberta-base
Apricot is a,fruit.,apricot,fruit,6,-5.442591667175293,82170201,distilroberta-base
Tangerine is a,fruit.,tangerine,fruit,7,-7.216095924377441,82170201,distilroberta-base
Plum is a,fruit.,plum,fruit,8,-6.535460472106934,82170201,distilroberta-base
Grape is a,fruit.,grape,fruit,9,-7.729642868041992,82170201,distilroberta-base
Nectarine is a,fruit.,nectarine,fruit,10,-6.862177848815918,82170201,distilroberta-base
Strawberry is a,fruit.,strawberry,fruit,11,-5.748724937438965,82170201,distilroberta-base
Grapefruit is a,fruit.,grapefruit,fruit,12,-4.263054847717285,82170201,distilroberta-base
Berry is a,fruit.,berry,fruit,13,-10.483211517333984,82170201,distilroberta-base
Cherry is a,fruit.,cherry,fruit,14,-7.07900857925415,82170201,distilroberta-base
Pineapple is a,fruit.,pineapple,fruit,15,-5.109662055969238,82170201,distilroberta-base
Blackberry is a,fruit.,blackberry,fruit,16,-6.426509857177734,82170201,distilroberta-base
Melon is a,fruit.,melon,fruit,17,-12.233328819274902,82170201,distilroberta-base
Blueberry is a,fruit.,blueberry,fruit,18,-5.30204963684082,82170201,distilroberta-base
Raspberry is a,fruit.,raspberry,fruit,19,-6.716672897338867,82170201,distilroberta-base
Lemon is a,fruit.,lemon,fruit,20,-10.152690887451172,82170201,distilroberta-base
Black raspberry is a,fruit.,black raspberry,fruit,21,-4.938665390014648,82170201,distilroberta-base
Boysenberry is a,fruit.,boysenberry,fruit,22,-9.045999526977539,82170201,distilroberta-base
Watermelon is a,fruit.,watermelon,fruit,23,-4.33793830871582,82170201,distilroberta-base
Cantaloupe is a,fruit.,cantaloupe,fruit,24,-9.470932006835938,82170201,distilroberta-base
Lime is a,fruit.,lime,fruit,25,-8.671186447143555,82170201,distilroberta-base
Tangelo is a,fruit.,tangelo,fruit,26,-10.974672317504883,82170201,distilroberta-base
Papaya is a,fruit.,papaya,fruit,27,-8.267568588256836,82170201,distilroberta-base
Honeydew is a,fruit.,honeydew,fruit,28,-10.193450927734375,82170201,distilroberta-base
Fig is a,fruit.,fig,fruit,29,-7.741967678070068,82170201,distilroberta-base
Mango is a,fruit.,mango,fruit,30,-7.230709552764893,82170201,distilroberta-base
Guava is a,fruit.,guava,fruit,31,-10.346420288085938,82170201,distilroberta-base
Pomegranate is a,fruit.,pomegranate,fruit,32,-5.157891273498535,82170201,distilroberta-base
Cranberry is a,fruit.,cranberry,fruit,33,-8.485695838928223,82170201,distilroberta-base
Passion fruit is a,fruit.,passion fruit,fruit,34,-4.483114242553711,82170201,distilroberta-base
Prune is a,fruit.,prune,fruit,35,-10.857120513916016,82170201,distilroberta-base
Gooseberry is a,fruit.,gooseberry,fruit,36,-6.302811622619629,82170201,distilroberta-base
Date is a,fruit.,date,fruit,37,-9.138288497924805,82170201,distilroberta-base
Kumquat is a,fruit.,kumquat,fruit,38,-11.40640640258789,82170201,distilroberta-base
Raisin is a,fruit.,raisin,fruit,39,-12.495664596557617,82170201,distilroberta-base
Muskmelon is a,fruit.,muskmelon,fruit,40,-10.688596725463867,82170201,distilroberta-base
Persimmon is a,fruit.,persimmon,fruit,41,-9.19321060180664,82170201,distilroberta-base
Pawpaw is a,fruit.,pawpaw,fruit,42,-10.64617919921875,82170201,distilroberta-base
Coconut is a,fruit.,coconut,fruit,43,-5.619839668273926,82170201,distilroberta-base
Avocado is a,fruit.,avocado,fruit,44,-5.532279014587402,82170201,distilroberta-base
Pumpkin is a,fruit.,pumpkin,fruit,45,-9.09710693359375,82170201,distilroberta-base
Tomato is a,fruit.,tomato,fruit,46,-11.297679901123047,82170201,distilroberta-base
Nut is a,fruit.,nut,fruit,47,-7.065176010131836,82170201,distilroberta-base
Gourd is a,fruit.,gourd,fruit,48,-11.633718490600586,82170201,distilroberta-base
Olive is a,fruit.,olive,fruit,49,-9.89769172668457,82170201,distilroberta-base
Pickle is a,fruit.,pickle,fruit,50,-8.681127548217773,82170201,distilroberta-base
Squash is a,fruit.,squash,fruit,51,-8.82132339477539,82170201,distilroberta-base
A doll is a,toy.,doll,toy,1,-2.998702049255371,82170201,distilroberta-base
A top is a,toy.,top,toy,2,-8.9882230758667,82170201,distilroberta-base
A jack-in-the-box is a,toy.,jack-in-the-box,toy,3,-5.068171501159668,82170201,distilroberta-base
A toy soldier is a,toy.,toy soldier,toy,4,-2.524747848510742,82170201,distilroberta-base
A yo-yo is a,toy.,yo-yo,toy,5,-5.089485168457031,82170201,distilroberta-base
A block is a,toy.,block,toy,6,-7.09493350982666,82170201,distilroberta-base
Marbles are,toys.,marbles,toy,7,-8.713445663452148,82170201,distilroberta-base
A rattle is a,toy.,rattle,toy,8,-5.508378028869629,82170201,distilroberta-base
A stuffed animal is a,toy.,stuffed animal,toy,9,-3.3567686080932617,82170201,distilroberta-base
A water pistol is a,toy.,water pistol,toy,10,-4.036296844482422,82170201,distilroberta-base
A teddy bear is a,toy.,teddy bear,toy,11,-3.192981719970703,82170201,distilroberta-base
A rocking horse is a,toy.,rocking horse,toy,12,-5.154603958129883,82170201,distilroberta-base
A doll house is a,toy.,doll house,toy,13,-3.920413017272949,82170201,distilroberta-base
A ball is a,toy.,ball,toy,14,-4.695967674255371,82170201,distilroberta-base
Jacks are,toys.,jacks,toy,15,-10.415010452270508,82170201,distilroberta-base
Paper dolls are,toys.,paper dolls,toy,16,-4.768032073974609,82170201,distilroberta-base
An erector set is a,toy.,erector set,toy,17,-4.644868850708008,82170201,distilroberta-base
A hula hoop is a,toy.,hula hoop,toy,18,-4.043816566467285,82170201,distilroberta-base
A jump rope is a,toy.,jump rope,toy,19,-4.925942420959473,82170201,distilroberta-base
A pogo stick is a,toy.,pogo stick,toy,20,-3.7424936294555664,82170201,distilroberta-base
A clay is a,toy.,clay,toy,21,-6.241033554077148,82170201,distilroberta-base
A wagon is a,toy.,wagon,toy,22,-4.724881172180176,82170201,distilroberta-base
A kite is a,toy.,kite,toy,23,-5.450142860412598,82170201,distilroberta-base
