preamble,stimulus,item,category,rank,score,params,model
A gun is a,weapon.,gun,weapon,1,-1.9918670654296875,124440576,gpt2
A pistol is a,weapon.,pistol,weapon,2,-2.421783447265625,124440576,gpt2
A revolver is a,weapon.,revolver,weapon,3,-2.8205795288085938,124440576,gpt2
A machine gun is a,weapon.,machine gun,weapon,4,-2.285980224609375,124440576,gpt2
A rifle is a,weapon.,rifle,weapon,5,-2.2299728393554688,124440576,gpt2
A switchblade is a,weapon.,switchblade,weapon,6,-4.5128631591796875,124440576,gpt2
A knife is a,weapon.,knife,weapon,7,-2.5369338989257812,124440576,gpt2
A dagger is a,weapon.,dagger,weapon,8,-2.6219024658203125,124440576,gpt2
A shotgun is a,weapon.,shotgun,weapon,9,-2.6664810180664062,124440576,gpt2
A sword is a,weapon.,sword,weapon,10,-2.0537185668945312,124440576,gpt2
A bomb is a,weapon.,bomb,weapon,11,-3.759552001953125,124440576,gpt2
A hand grenade is a,weapon.,hand grenade,weapon,12,-2.7515487670898438,124440576,gpt2
An atom bomb is a,weapon.,Atom bomb,weapon,13,-3.2947769165039062,124440576,gpt2
A bayonet is a,weapon.,bayonet,weapon,14,-2.7349166870117188,124440576,gpt2
A spear is a,weapon.,spear,weapon,15,-2.6599960327148438,124440576,gpt2
A bazooka is a,weapon.,bazooka,weapon,16,-4.5582122802734375,124440576,gpt2
A cannon is a,weapon.,cannon,weapon,17,-2.7127227783203125,124440576,gpt2
A bow and arrow is a,weapon.,bow and arrow,weapon,18,-2.9053192138671875,124440576,gpt2
A club is a,weapon.,club,weapon,19,-8.575485229492188,124440576,gpt2
A lance is a,weapon.,lance,weapon,20,-3.0432586669921875,124440576,gpt2
A brass knuckle is a,weapon.,brass knuckle,weapon,21,-5.1099700927734375,124440576,gpt2
A bullet is a,weapon.,bullet,weapon,22,-4.671089172363281,124440576,gpt2
A tomahawk is a,weapon.,tomahawk,weapon,23,-2.4268035888671875,124440576,gpt2
A mortar is a,weapon.,mortar,weapon,24,-4.603523254394531,124440576,gpt2
An arrow is a,weapon.,arrow,weapon,25,-4.813774108886719,124440576,gpt2
A blackjack is a,weapon.,blackjack,weapon,26,-6.820365905761719,124440576,gpt2
A tank is a,weapon.,tank,weapon,27,-6.245452880859375,124440576,gpt2
Teargas is a,weapon.,teargas,weapon,28,-5.9519195556640625,124440576,gpt2
A missile is a,weapon.,missile,weapon,29,-2.9606399536132812,124440576,gpt2
A whip is a,weapon.,whip,weapon,30,-3.7640533447265625,124440576,gpt2
An ice pick is a,weapon.,ice pick,weapon,31,-5.76361083984375,124440576,gpt2
A hatchet is a,weapon.,hatchet,weapon,32,-3.2381973266601562,124440576,gpt2
A slingshot is a,weapon.,slingshot,weapon,33,-3.418792724609375,124440576,gpt2
A fist is a,weapon.,fist,weapon,34,-3.78521728515625,124440576,gpt2
An axe is a,weapon.,axe,weapon,35,-2.6358642578125,124440576,gpt2
A bow is a,weapon.,bow,weapon,36,-3.94305419921875,124440576,gpt2
A razor is a,weapon.,razor,weapon,37,-5.2975921630859375,124440576,gpt2
A razor blade is a,weapon.,razor blade,weapon,38,-4.609184265136719,124440576,gpt2
A rocket is a,weapon.,rocket,weapon,39,-4.87481689453125,124440576,gpt2
A judo is a,weapon.,judo,weapon,40,-7.1186370849609375,124440576,gpt2
A stick is a,weapon.,stick,weapon,41,-5.591514587402344,124440576,gpt2
A poison is a,weapon.,poison,weapon,42,-6.17694091796875,124440576,gpt2
A rock is a,weapon.,rock,weapon,43,-8.10772705078125,124440576,gpt2
A stone is a,weapon.,stone,weapon,44,-8.238410949707031,124440576,gpt2
Gas is a,weapon.,gas,weapon,45,-7.451080322265625,124440576,gpt2
A chain is a,weapon.,chain,weapon,46,-7.566658020019531,124440576,gpt2
A scissor is a,weapon.,scissor,weapon,47,-5.279045104980469,124440576,gpt2
A brick is a,weapon.,brick,weapon,48,-9.348800659179688,124440576,gpt2
A pitchfork is a,weapon.,pitchfork,weapon,49,-5.261695861816406,124440576,gpt2
A hammer is a,weapon.,hammer,weapon,50,-3.5423736572265625,124440576,gpt2
A word is a,weapon.,word,weapon,51,-7.974266052246094,124440576,gpt2
A hand is a,weapon.,hand,weapon,52,-5.12457275390625,124440576,gpt2
A pipe is a,weapon.,pipe,weapon,53,-7.1973876953125,124440576,gpt2
A rope is a,weapon.,rope,weapon,54,-7.3231201171875,124440576,gpt2
An airplane is a,weapon.,airplane,weapon,55,-7.155876159667969,124440576,gpt2
A foot is a,weapon.,foot,weapon,56,-7.734893798828125,124440576,gpt2
A car is a,weapon.,car,weapon,57,-7.428985595703125,124440576,gpt2
A screwdriver is a,weapon.,screwdriver,weapon,58,-7.1341400146484375,124440576,gpt2
Glass is a,weapon.,glass,weapon,59,-8.43328857421875,124440576,gpt2
A shoe is a,weapon.,shoe,weapon,60,-7.8262939453125,124440576,gpt2
Orange is a,fruit.,orange,fruit,1,-7.258819580078125,124440576,gpt2
Apple is a,fruit.,apple,fruit,2,-9.863410949707031,124440576,gpt2
Banana is a,fruit.,banana,fruit,3,-5.053596496582031,124440576,gpt2
Peach is a,fruit.,peach,fruit,4,-4.550315856933594,124440576,gpt2
Pear is a,fruit.,pear,fruit,5,-8.131309509277344,124440576,gpt2
Apricot is a,fruit.,apricot,fruit,6,-5.918052673339844,124440576,gpt2
Tangerine is a,fruit.,tangerine,fruit,7,-7.4311981201171875,124440576,gpt2
Plum is a,fruit.,plum,fruit,8,-6.514984130859375,124440576,gpt2
Grape is a,fruit.,grape,fruit,9,-5.356147766113281,124440576,gpt2
Nectarine is a,fruit.,nectarine,fruit,10,-7.330360412597656,124440576,gpt2
Strawberry is a,fruit.,strawberry,fruit,11,-3.7398910522460938,124440576,gpt2
Grapefruit is a,fruit.,grapefruit,fruit,12,-3.1120071411132812,124440576,gpt2
Berry is a,fruit.,berry,fruit,13,-8.050941467285156,124440576,gpt2
Cherry is a,fruit.,cherry,fruit,14,-6.2325897216796875,124440576,gpt2
Pineapple is a,fruit.,pineapple,fruit,15,-5.552406311035156,124440576,gpt2
Blackberry is a,fruit.,blackberry,fruit,16,-8.278900146484375,124440576,gpt2
Melon is a,fruit.,melon,fruit,17,-8.2503662109375,124440576,gpt2
Blueberry is a,fruit.,blueberry,fruit,18,-3.9586639404296875,124440576,gpt2
Raspberry is a,fruit.,raspberry,fruit,19,-8.205123901367188,124440576,gpt2
Lemon is a,fruit.,lemon,fruit,20,-4.986412048339844,124440576,gpt2
Black raspberry is a,fruit.,black raspberry,fruit,21,-4.716865539550781,124440576,gpt2
Boysenberry is a,fruit.,boysenberry,fruit,22,-6.555976867675781,124440576,gpt2
Watermelon is a,fruit.,watermelon,fruit,23,-3.347991943359375,124440576,gpt2
Cantaloupe is a,fruit.,cantaloupe,fruit,24,-6.918403625488281,124440576,gpt2
Lime is a,fruit.,lime,fruit,25,-6.9610443115234375,124440576,gpt2
Tangelo is a,fruit.,tangelo,fruit,26,-10.222572326660156,124440576,gpt2
Papaya is a,fruit.,papaya,fruit,27,-6.0303802490234375,124440576,gpt2
Honeydew is a,fruit.,honeydew,fruit,28,-6.872505187988281,124440576,gpt2
Fig is a,fruit.,fig,fruit,29,-8.898963928222656,124440576,gpt2
Mango is a,fruit.,mango,fruit,30,-6.665153503417969,124440576,gpt2
Guava is a,fruit.,guava,fruit,31,-6.646820068359375,124440576,gpt2
Pomegranate is a,fruit.,pomegranate,fruit,32,-4.0784454345703125,124440576,gpt2
Cranberry is a,fruit.,cranberry,fruit,33,-3.9776763916015625,124440576,gpt2
Passion fruit is a,fruit.,passion fruit,fruit,34,-3.1727447509765625,124440576,gpt2
Prune is a,fruit.,prune,fruit,35,-8.571159362792969,124440576,gpt2
Gooseberry is a,fruit.,gooseberry,fruit,36,-4.692283630371094,124440576,gpt2
Date is a,fruit.,date,fruit,37,-10.198196411132812,124440576,gpt2
Kumquat is a,fruit.,kumquat,fruit,38,-7.805061340332031,124440576,gpt2
Raisin is a,fruit.,raisin,fruit,39,-8.4190673828125,124440576,gpt2
Muskmelon is a,fruit.,muskmelon,fruit,40,-8.167587280273438,124440576,gpt2
Persimmon is a,fruit.,persimmon,fruit,41,-7.3606109619140625,124440576,gpt2
Pawpaw is a,fruit.,pawpaw,fruit,42,-9.582687377929688,124440576,gpt2
Coconut is a,fruit.,coconut,fruit,43,-5.2953033447265625,124440576,gpt2
Avocado is a,fruit.,avocado,fruit,44,-4.689300537109375,124440576,gpt2
Pumpkin is a,fruit.,pumpkin,fruit,45,-5.308235168457031,124440576,gpt2
Tomato is a,fruit.,tomato,fruit,46,-5.519432067871094,124440576,gpt2
Nut is a,fruit.,nut,fruit,47,-6.9172515869140625,124440576,gpt2
Gourd is a,fruit.,gourd,fruit,48,-7.637229919433594,124440576,gpt2
Olive is a,fruit.,olive,fruit,49,-6.4399566650390625,124440576,gpt2
Pickle is a,fruit.,pickle,fruit,50,-5.7397308349609375,124440576,gpt2
Squash is a,fruit.,squash,fruit,51,-9.140594482421875,124440576,gpt2
A doll is a,toy.,doll,toy,1,-2.9967498779296875,124440576,gpt2
A top is a,toy.,top,toy,2,-7.850395202636719,124440576,gpt2
A jack-in-the-box is a,toy.,jack-in-the-box,toy,3,-5.609046936035156,124440576,gpt2
A toy soldier is a,toy.,toy soldier,toy,4,-5.3840789794921875,124440576,gpt2
A yo-yo is a,toy.,yo-yo,toy,5,-4.0712127685546875,124440576,gpt2
A block is a,toy.,block,toy,6,-11.509475708007812,124440576,gpt2
Marbles are,toys.,marbles,toy,7,-9.222358703613281,124440576,gpt2
A rattle is a,toy.,rattle,toy,8,-8.504585266113281,124440576,gpt2
A stuffed animal is a,toy.,stuffed animal,toy,9,-3.65118408203125,124440576,gpt2
A water pistol is a,toy.,water pistol,toy,10,-6.95477294921875,124440576,gpt2
A teddy bear is a,toy.,teddy bear,toy,11,-3.0688934326171875,124440576,gpt2
A rocking horse is a,toy.,rocking horse,toy,12,-6.527900695800781,124440576,gpt2
A doll house is a,toy.,doll house,toy,13,-5.872314453125,124440576,gpt2
A ball is a,toy.,ball,toy,14,-6.471366882324219,124440576,gpt2
Jacks are,toys.,jacks,toy,15,-10.597579956054688,124440576,gpt2
Paper dolls are,toys.,paper dolls,toy,16,-5.496429443359375,124440576,gpt2
An erector set is a,toy.,erector set,toy,17,-6.141716003417969,124440576,gpt2
A hula hoop is a,toy.,hula hoop,toy,18,-6.003791809082031,124440576,gpt2
A jump rope is a,toy.,jump rope,toy,19,-7.979896545410156,124440576,gpt2
A pogo stick is a,toy.,pogo stick,toy,20,-4.58251953125,124440576,gpt2
A clay is a,toy.,clay,toy,21,-8.199142456054688,124440576,gpt2
A wagon is a,toy.,wagon,toy,22,-6.9069366455078125,124440576,gpt2
A kite is a,toy.,kite,toy,23,-5.545310974121094,124440576,gpt2
A train is a,toy.,train,toy,24,-9.086166381835938,124440576,gpt2
A tricycle is a,toy.,tricycle,toy,25,-7.0791168212890625,124440576,gpt2
A coloring book is a,toy.,coloring book,toy,26,-6.33087158203125,124440576,gpt2
Crayons are,toys.,crayons,toy,27,-8.495651245117188,124440576,gpt2
A truck is a,toy.,truck,toy,28,-7.9712677001953125,124440576,gpt2
A puzzle is a,toy.,puzzle,toy,29,-8.28582763671875,124440576,gpt2
A fire engine is a,toy.,fire engine,toy,30,-8.514923095703125,124440576,gpt2
A balloon is a,toy.,balloon,toy,31,-6.460906982421875,124440576,gpt2
Skates are,toys.,skates,toy,32,-9.068183898925781,124440576,gpt2
A baseball is a,toy.,baseball,toy,33,-6.5599365234375,124440576,gpt2
A drum is a,toy.,drum,toy,34,-7.796875,124440576,gpt2
A football is a,toy.,football,toy,35,-7.74749755859375,124440576,gpt2
A game is a,toy.,game,toy,36,-7.986747741699219,124440576,gpt2
A swing is a,toy.,swing,toy,37,-10.624092102050781,124440576,gpt2
A boat is a,toy.,boat,toy,38,-7.6079254150390625,124440576,gpt2
A monopoly is a,toy.,monopoly,toy,39,-11.040664672851562,124440576,gpt2
A sled is a,toy.,sled,toy,40,-6.252265930175781,124440576,gpt2
A seesaw is a,toy.,seesaw,toy,41,-8.052589416503906,124440576,gpt2
Stilts are,toys.,stilts,toy,42,-7.9981689453125,124440576,gpt2
Checkers are,toys.,checkers,toy,43,-10.434867858886719,124440576,gpt2
A bat is a,toy.,bat,toy,44,-6.090034484863281,124440576,gpt2
A car is a,toy.,car,toy,45,-6.41436767578125,124440576,gpt2
An airplane is a,toy.,airplane,toy,46,-7.298881530761719,124440576,gpt2
A bicycle is a,toy.,bicycle,toy,47,-6.712501525878906,124440576,gpt2
A tractor is a,toy.,tractor,toy,48,-8.201484680175781,124440576,gpt2
A sandbox is a,toy.,sandbox,toy,49,-8.571319580078125,124440576,gpt2
A bike is a,toy.,bike,toy,50,-6.597343444824219,124440576,gpt2
A bow and arrow is a,toy.,bow and arrow,toy,51,-7.687309265136719,124440576,gpt2
A rope is a,toy.,rope,toy,52,-8.381118774414062,124440576,gpt2
Dishes are,toys.,dishes,toy,53,-9.289863586425781,124440576,gpt2
Cards are,toys.,cards,toy,54,-9.837234497070312,124440576,gpt2
A mitt is a,toy.,mitt,toy,55,-6.588203430175781,124440576,gpt2
A horse is a,toy.,horse,toy,56,-6.897026062011719,124440576,gpt2
A gun is a,toy.,gun,toy,57,-5.11956787109375,124440576,gpt2
Animals are,toys.,animals,toy,58,-9.749580383300781,124440576,gpt2
A tennis racket is a,toy.,tennis racket,toy,59,-6.519660949707031,124440576,gpt2
Books are,toys.,books,toy,60,-9.450126647949219,124440576,gpt2
A pant is a type of,clothing.,pant,clothing,1,-3.1466598510742188,124440576,gpt2
A shirt is a type of,clothing.,shirt,clothing,2,-2.304290771484375,124440576,gpt2
A dress is a type of,clothing.,dress,clothing,3,-1.9343032836914062,124440576,gpt2
A skirt is a type of,clothing.,skirt,clothing,4,-2.857635498046875,124440576,gpt2
A blouse is a type of,clothing.,blouse,clothing,5,-2.8431396484375,124440576,gpt2
A suit is a type of,clothing.,suit,clothing,6,-6.375205993652344,124440576,gpt2
A slack is a type of,clothing.,slack,clothing,7,-7.0817718505859375,124440576,gpt2
A jacket is a type of,clothing.,jacket,clothing,8,-2.461395263671875,124440576,gpt2
A coat is a type of,clothing.,coat,clothing,9,-2.8815078735351562,124440576,gpt2
A sweater is a type of,clothing.,sweater,clothing,10,-2.5001678466796875,124440576,gpt2
A sweatshirt is a type of,clothing.,sweatshirt,clothing,11,-2.1443939208984375,124440576,gpt2
An underpant is a type of,clothing.,underpant,clothing,12,-6.145111083984375,124440576,gpt2
A sports jacket is a type of,clothing.,sports jacket,clothing,13,-2.6774215698242188,124440576,gpt2
A jumper is a type of,clothing.,jumper,clothing,14,-5.5067138671875,124440576,gpt2
A panty is a type of,clothing.,panty,clothing,15,-3.1418609619140625,124440576,gpt2
A sock is a type of,clothing.,sock,clothing,16,-4.062042236328125,124440576,gpt2
A parka is a type of,clothing.,parka,clothing,17,-5.644416809082031,124440576,gpt2
A pajama is a type of,clothing.,pajama,clothing,18,-4.65130615234375,124440576,gpt2
An undershirt is a type of,clothing.,undershirt,clothing,19,-2.1334228515625,124440576,gpt2
An overcoat is a type of,clothing.,overcoat,clothing,20,-3.5648880004882812,124440576,gpt2
A nightgown is a type of,clothing.,nightgown,clothing,21,-3.2016677856445312,124440576,gpt2
A raincoat is a type of,clothing.,raincoat,clothing,22,-2.49688720703125,124440576,gpt2
A bathing suit is a type of,clothing.,bathing suit,clothing,23,-2.0290603637695312,124440576,gpt2
A bathrobe is a type of,clothing.,bathrobe,clothing,24,-2.6506271362304688,124440576,gpt2
A slip is a type of,clothing.,slip,clothing,25,-6.562095642089844,124440576,gpt2
A bra is a type of,clothing.,bra,clothing,26,-2.937744140625,124440576,gpt2
A shoe is a type of,clothing.,shoe,clothing,27,-4.754051208496094,124440576,gpt2
A tuxedo is a type of,clothing.,tuxedo,clothing,28,-3.22271728515625,124440576,gpt2
A stocking is a type of,clothing.,stocking,clothing,29,-3.6014328002929688,124440576,gpt2
A vest is a type of,clothing.,vest,clothing,30,-3.3513336181640625,124440576,gpt2
A nylon is a type of,clothing.,nylon,clothing,31,-4.90130615234375,124440576,gpt2
A cape is a type of,clothing.,cape,clothing,32,-3.6190338134765625,124440576,gpt2
A boot is a type of,clothing.,boot,clothing,33,-5.058555603027344,124440576,gpt2
A sandal is a type of,clothing.,sandal,clothing,34,-5.7736663818359375,124440576,gpt2
A tie is a type of,clothing.,tie,clothing,35,-5.351585388183594,124440576,gpt2
A girdle is a type of,clothing.,girdle,clothing,36,-3.1823654174804688,124440576,gpt2
A belt is a type of,clothing.,belt,clothing,37,-4.849578857421875,124440576,gpt2
A scarf is a type of,clothing.,scarf,clothing,38,-3.1764297485351562,124440576,gpt2
A mitten is a type of,clothing.,mitten,clothing,39,-7.369102478027344,124440576,gpt2
A slipper is a type of,clothing.,slipper,clothing,40,-6.387908935546875,124440576,gpt2
A hat is a type of,clothing.,hat,clothing,41,-3.3555908203125,124440576,gpt2
