stimulus,item,category,feature,logprob,normalized_logprob,params,model
a robin is alive.,robin,bird,1,-35.65976333618164,-5.0942519051688055,81913344,distilgpt2
a sparrow is alive.,sparrow,bird,1,-36.044219970703125,-5.149174281529018,81913344,distilgpt2
a bluejay is alive.,bluejay,bird,1,-39.79243087768555,-5.684632982526507,81913344,distilgpt2
a bluebird is alive.,bluebird,bird,1,-36.916805267333984,-5.273829323904855,81913344,distilgpt2
a canary is alive.,canary,bird,1,-36.245765686035156,-5.1779665265764505,81913344,distilgpt2
a blackbird is alive.,blackbird,bird,1,-35.10136413574219,-5.0144805908203125,81913344,distilgpt2
a dove is alive.,dove,bird,1,-34.71936798095703,-5.786561330159505,81913344,distilgpt2
a lark is alive.,lark,bird,1,-36.60922622680664,-5.229889460972378,81913344,distilgpt2
a swallow is alive.,swallow,bird,1,-35.787872314453125,-5.9646453857421875,81913344,distilgpt2
a parakeet is alive.,parakeet,bird,1,-40.016639709472656,-5.002079963684082,81913344,distilgpt2
an oriole is alive.,oriole,bird,1,-39.223876953125,-5.603410993303571,81913344,distilgpt2
a mockingbird is alive.,mockingbird,bird,1,-42.73670959472656,-6.105244227818081,81913344,distilgpt2
a redbird is alive.,redbird,bird,1,-37.68724822998047,-5.3838926042829245,81913344,distilgpt2
a wren is alive.,wren,bird,1,-39.907264709472656,-5.7010378156389505,81913344,distilgpt2
a finch is alive.,finch,bird,1,-41.06045913696289,-5.865779876708984,81913344,distilgpt2
a starling is alive.,starling,bird,1,-40.03955078125,-5.719935825892857,81913344,distilgpt2
a cardinal is alive.,cardinal,bird,1,-34.592445373535156,-5.765407562255859,81913344,distilgpt2
an eagle is alive.,eagle,bird,1,-31.65677261352539,-5.276128768920898,81913344,distilgpt2
a hummingbird is alive.,hummingbird,bird,1,-34.211021423339844,-4.887288774762835,81913344,distilgpt2
a seagull is alive.,seagull,bird,1,-37.25553512573242,-4.656941890716553,81913344,distilgpt2
a woodpecker is alive.,woodpecker,bird,1,-37.293678283691406,-4.661709785461426,81913344,distilgpt2
a pigeon is alive.,pigeon,bird,1,-34.712158203125,-5.785359700520833,81913344,distilgpt2
a thrush is alive.,thrush,bird,1,-39.685791015625,-5.669398716517857,81913344,distilgpt2
