stimulus,item,category,feature,logprob,normalized_logprob,params,model
a robin is alive.,robin,bird,1,-39.748619079589844,-5.678374154227121,354824192,gpt2-medium
a sparrow is alive.,sparrow,bird,1,-39.72819900512695,-5.675457000732422,354824192,gpt2-medium
a bluejay is alive.,bluejay,bird,1,-45.86674118041992,-6.552391597202846,354824192,gpt2-medium
a bluebird is alive.,bluebird,bird,1,-42.57942581176758,-6.082775115966797,354824192,gpt2-medium
a canary is alive.,canary,bird,1,-41.51924419403076,-5.931320599147251,354824192,gpt2-medium
a blackbird is alive.,blackbird,bird,1,-42.870201110839844,-6.124314444405692,354824192,gpt2-medium
a dove is alive.,dove,bird,1,-39.54621887207031,-6.591036478678386,354824192,gpt2-medium
a lark is alive.,lark,bird,1,-40.87252426147461,-5.838932037353516,354824192,gpt2-medium
a swallow is alive.,swallow,bird,1,-41.01164627075195,-6.835274378458659,354824192,gpt2-medium
a parakeet is alive.,parakeet,bird,1,-43.12923622131348,-5.391154527664185,354824192,gpt2-medium
an oriole is alive.,oriole,bird,1,-51.94797897338867,-7.421139853341239,354824192,gpt2-medium
a mockingbird is alive.,mockingbird,bird,1,-44.44359588623047,-6.349085126604352,354824192,gpt2-medium
a redbird is alive.,redbird,bird,1,-45.04570770263672,-6.4351011003766745,354824192,gpt2-medium
a wren is alive.,wren,bird,1,-44.721858978271484,-6.388836996895926,354824192,gpt2-medium
a finch is alive.,finch,bird,1,-44.28523635864258,-6.32646233694894,354824192,gpt2-medium
a starling is alive.,starling,bird,1,-42.88542938232422,-6.126489911760602,354824192,gpt2-medium
a cardinal is alive.,cardinal,bird,1,-41.57524490356445,-6.929207483927409,354824192,gpt2-medium
an eagle is alive.,eagle,bird,1,-39.65920639038086,-6.6098677317301435,354824192,gpt2-medium
a hummingbird is alive.,hummingbird,bird,1,-41.27483367919922,-5.8964048113141745,354824192,gpt2-medium
a seagull is alive.,seagull,bird,1,-41.08111572265625,-5.135139465332031,354824192,gpt2-medium
a woodpecker is alive.,woodpecker,bird,1,-42.06173324584961,-5.257716655731201,354824192,gpt2-medium
a pigeon is alive.,pigeon,bird,1,-38.96227264404297,-6.493712107340495,354824192,gpt2-medium
a thrush is alive.,thrush,bird,1,-42.85954284667969,-6.122791835239956,354824192,gpt2-medium
a falcon is alive.,falcon,bird,1,-40.055503845214844,-5.722214835030692,354824192,gpt2-medium
a crow is alive.,crow,bird,1,-38.471153259277344,-6.411858876546224,354824192,gpt2-medium
a hawk is alive.,hawk,bird,1,-40.824485778808594,-6.804080963134766,354824192,gpt2-medium
a raven is alive.,raven,bird,1,-38.86996078491211,-6.478326797485352,354824192,gpt2-medium
a goldfinch is alive.,goldfinch,bird,1,-45.130287170410156,-5.6412858963012695,354824192,gpt2-medium
a parrot is alive.,parrot,bird,1,-40.35009002685547,-5.764298575265067,354824192,gpt2-medium
a sandpiper is alive.,sandpiper,bird,1,-45.720924377441406,-5.715115547180176,354824192,gpt2-medium
a pheasant is alive.,pheasant,bird,1,-39.488502502441406,-4.936062812805176,354824192,gpt2-medium
