stimulus,item,category,rank
a doll is a toy.,doll,toy,1
a top is a toy.,top,toy,2
a jack-in-the-box is a toy.,jack-in-the-box,toy,3
a toy soldier is a toy.,toy soldier,toy,4
a yo-yo is a toy.,yo-yo,toy,5
a block is a toy.,block,toy,6
marbles are toys.,marbles,toy,7
a rattle is a toy.,rattle,toy,8
a stuffed animal is a toy.,stuffed animal,toy,9
a water pistol is a toy.,water pistol,toy,10
a teddy bear is a toy.,teddy bear,toy,11
a rocking horse is a toy.,rocking horse,toy,12
a doll house is a toy.,doll house,toy,13
a ball is a toy.,ball,toy,14
jacks are toys.,jacks,toy,15
paper dolls are toys.,paper dolls,toy,16
an erector set is a toy.,erector set,toy,17
a hula hoop is a toy.,hula hoop,toy,18
a jump rope is a toy.,jump rope,toy,19
a pogo stick is a toy.,pogo stick,toy,20
a clay is a toy.,clay,toy,21
a wagon is a toy.,wagon,toy,22
a kite is a toy.,kite,toy,23
a train is a toy.,train,toy,24
a tricycle is a toy.,tricycle,toy,25
a coloring book is a toy.,coloring book,toy,26
crayons are toys.,crayons,toy,27
a truck is a toy.,truck,toy,28
a puzzle is a toy.,puzzle,toy,29
a fire engine is a toy.,fire engine,toy,30
a balloon is a toy.,balloon,toy,31
skates are toys.,skates,toy,32
a baseball is a toy.,baseball,toy,33
a drum is a toy.,drum,toy,34
a football is a toy.,football,toy,35
a game is a toy.,game,toy,36
a swing is a toy.,swing,toy,37
a boat is a toy.,boat,toy,38
a monopoly is a toy.,monopoly,toy,39
a sled is a toy.,sled,toy,40
a seesaw is a toy.,seesaw,toy,41
stilts are toys.,stilts,toy,42
checkers are toys.,checkers,toy,43
a bat is a toy.,bat,toy,44
a car is a toy.,car,toy,45
an airplane is a toy.,airplane,toy,46
a bicycle is a toy.,bicycle,toy,47
a tractor is a toy.,tractor,toy,48
a sandbox is a toy.,sandbox,toy,49
a bike is a toy.,bike,toy,50
a bow and arrow is a toy.,bow and arrow,toy,51
a rope is a toy.,rope,toy,52
dishes are toys.,dishes,toy,53
cards are toys.,cards,toy,54
a mitt is a toy.,mitt,toy,55
a horse is a toy.,horse,toy,56
a gun is a toy.,gun,toy,57
animals are toys.,animals,toy,58
a tennis racket is a toy.,tennis racket,toy,59
books are toys.,books,toy,60
a robin is a bird.,robin,bird,1
a sparrow is a bird.,sparrow,bird,2
a bluejay is a bird.,bluejay,bird,3
a bluebird is a bird.,bluebird,bird,4
a canary is a bird.,canary,bird,5
a blackbird is a bird.,blackbird,bird,6
a dove is a bird.,dove,bird,7
a lark is a bird.,lark,bird,8
a swallow is a bird.,swallow,bird,9
a parakeet is a bird.,parakeet,bird,10
an oriole is a bird.,oriole,bird,11
a mockingbird is a bird.,mockingbird,bird,12
a redbird is a bird.,redbird,bird,13
a wren is a bird.,wren,bird,14
a finch is a bird.,finch,bird,15
a starling is a bird.,starling,bird,16
a cardinal is a bird.,cardinal,bird,17
an eagle is a bird.,eagle,bird,18
a hummingbird is a bird.,hummingbird,bird,19
a seagull is a bird.,seagull,bird,20
a woodpecker is a bird.,woodpecker,bird,21
a pigeon is a bird.,pigeon,bird,22
a thrush is a bird.,thrush,bird,23
a falcon is a bird.,falcon,bird,24
a crow is a bird.,crow,bird,25
a hawk is a bird.,hawk,bird,26
a raven is a bird.,raven,bird,27
a goldfinch is a bird.,goldfinch,bird,28
a parrot is a bird.,parrot,bird,29
a sandpiper is a bird.,sandpiper,bird,30
a pheasant is a bird.,pheasant,bird,31
a catbird is a bird.,catbird,bird,32
a crane is a bird.,crane,bird,33
albatross are birds.,albatross,bird,34
a condor is a bird.,condor,bird,35
a toucan is a bird.,toucan,bird,36
an owl is a bird.,owl,bird,37
a pelican is a bird.,pelican,bird,38
geese are birds.,geese,bird,39
a vulture is a bird.,vulture,bird,40
a stork is a bird.,stork,bird,41
a buzzard is a bird.,buzzard,bird,42
a swan is a bird.,swan,bird,43
a flamingo is a bird.,flamingo,bird,44
a duck is a bird.,duck,bird,45
a peacock is a bird.,peacock,bird,46
an egret is a bird.,egret,bird,47
a chicken is a bird.,chicken,bird,48
a turkey is a bird.,turkey,bird,49
an ostrich is a bird.,ostrich,bird,50
a titmouse is a bird.,titmouse,bird,51
an emu is a bird.,emu,bird,52
a penguin is a bird.,penguin,bird,53
a bat is a bird.,bat,bird,54
football is a sport.,football,sport,1
baseball is a sport.,baseball,sport,2
basketball is a sport.,basketball,sport,3
tennis is a sport.,tennis,sport,4
softball is a sport.,softball,sport,5
canoeing is a sport.,canoeing,sport,6
handball is a sport.,handball,sport,7
rugby is a sport.,rugby,sport,8
hockey is a sport.,hockey,sport,9
ice hockey is a sport.,ice hockey,sport,10
swimming is a sport.,swimming,sport,11
track is a sport.,track,sport,12
boxing is a sport.,boxing,sport,13
volleyball is a sport.,volleyball,sport,14
lacrosse is a sport.,lacrosse,sport,15
skiing is a sport.,skiing,sport,16
golf is a sport.,golf,sport,17
polo is a sport.,polo,sport,18
surfing is a sport.,surfing,sport,19
wrestling is a sport.,wrestling,sport,20
gymnastics is a sport.,gymnastics,sport,21
cricket is a sport.,cricket,sport,22
squash is a sport.,squash,sport,23
badminton is a sport.,badminton,sport,24
racing is a sport.,racing,sport,25
pole vault is a sport.,pole vault,sport,26
fencing is a sport.,fencing,sport,27
bowling is a sport.,bowling,sport,28
water skiing is a sport.,water skiing,sport,29
ice skating is a sport.,ice skating,sport,30
jai alai is a sport.,jai alai,sport,31
skating is a sport.,skating,sport,32
skindiving is a sport.,skindiving,sport,33
sailing is a sport.,sailing,sport,34
diving is a sport.,diving,sport,35
archery is a sport.,archery,sport,36
judo is a sport.,judo,sport,37
car racing is a sport.,car racing,sport,38
ping pong is a sport.,ping pong,sport,39
rowing is a sport.,rowing,sport,40
fishing is a sport.,fishing,sport,41
horseback riding is a sport.,horseback riding,sport,42
running is a sport.,running,sport,43
horse racing is a sport.,horse racing,sport,44
hiking is a sport.,hiking,sport,45
weight lifting is a sport.,weight lifting,sport,46
croquet is a sport.,croquet,sport,47
horseshoes is a sport.,horseshoes,sport,48
boating is a sport.,boating,sport,49
pool is a sport.,pool,sport,50
billiards is a sport.,billiards,sport,51
hunting is a sport.,hunting,sport,52
jump rope is a sport.,jump rope,sport,53
camping is a sport.,camping,sport,54
chess is a sport.,chess,sport,55
dancing is a sport.,dancing,sport,56
checkers is a sport.,checkers,sport,57
cards is a sport.,cards,sport,58
sunbathing is a sport.,sunbathing,sport,59
pea is a vegetable.,pea,vegetable,1
carrot is a vegetable.,carrot,vegetable,2
green beans are vegetables.,green beans,vegetable,3
string beans are vegetables.,string beans,vegetable,4
spinach is a vegetable.,spinach,vegetable,5
broccoli is a vegetable.,broccoli,vegetable,6
